speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 856 ‘‘DIÁLOGO DR. - LUCCHETTI’’ DEL 6 DE MARZO DE 1998 —En la imagen se aprecia una sala en la cual hay un juego de muebles de color beige, un gran televisor y una biblioteca. —No aparece persona alguna, se percibe voces en off.
"El señor		.—"	 (?) digamos (?)
El señor MONTESINOS TORRES.—	 (?) mire, aquí tiene usted (?) que me llame (?) las 24 horas  no he salido de acá, salgo a Palacio de Gobierno cuando me llama el Presidente (?) y me comunica (?) que está pasando (?). Así que (?)
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Ya.
"El señor		.—"	 (?) 24 horas pertenece normalmente para comprar (?)
El señor MONTESINOS TORRES.—	 Claro, perfecto (?)
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Ya (?), y como digo, cualquier cosa (?)
Background	—Se desarrolla un diálogo ininteligible.
El señor MONTESINOS TORRES.—	 (?) conmigo.
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 (?) por favor.
"El señor		.—"	 (?) a mi nadie (?)
El señor MONTESINOS TORRES.—	 No, no, la ventaja del trato directo es que entre cabezas nos entendemos porque muchas veces cuando vienen los elementos intermediarios tergiversan las cosas, mientras usted da una orden a una persona, esa persona la interpreta a su manera y la ejecuta (?)
"El señor		.—"	 Claro.
El señor MONTESINOS TORRES.—	 Y entonces, cuando llega al receptor llega (?) ¿qué pasa? (?) conmigo (?) y el hecho que haya (?) no significa que no haya terminado (?), o sea, (?).
"El señor		.—"	 No.
El señor MONTESINOS TORRES.—	 (?)
"El señor		.—"	 Lo que sí (?)
El señor MONTESINOS TORRES.—	 (?)así es.
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Las posibilidades ...
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Así es.
"El señor		.—"	 (?) nadie (?) las posibilidades
El señor MONTESINOS TORRES.—	 He pedido, yo he pedido (?)
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Eso es lo que
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Claro, Valle Riestra es un hombre de mi absoluta confianza.
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Para sacar a Quiroga. Ahora, como le digo en el tema de Quiroga básicamente debió terminar bien esa primera parte (?) donde lo ha demandado. Ahora, saliendo de esto lo que queda es ver la sentencia final, ahí podrá tomarlo Valle Riestra ...
"El señor		.—"	 Eso lo puede tomar (?) (2)
El señor MONTESINOS TORRES.—	" (?) El señor		.— ¿El?"
El señor MONTESINOS TORRES.—	 Que vaya él, como Quiroga se ha ido (?) responsable
"El señor		.—"	 Claro.
El señor MONTESINOS TORRES.—	 (?)
"El señor		.—"	 Claro, es un poco de que en términos (?)
El señor MONTESINOS TORRES.—	 No, además él tiene nivel de intelectual, de político y de esas cosas (?) clásico.
"El señor		.—"	 Con ese nivel de ingenio
El señor MONTESINOS TORRES.—	 Dónde es el tiempo ...
"El señor		.—"	 Yo (?) me rebelo.
El señor MONTESINOS TORRES.—	 (?) Estoy totalmente de acuerdo.
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Estoy totalmente de acuerdo (?)
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Pero, yo lo tengo controlado al tipo las 24 horas del día.
"El señor		.—"	 (?) para mí es objetivo prioritario (?) solución.
El señor MONTESINOS TORRES.—	 La parte de amparo es de Valle Riestra.
"El señor		.—"	 Y que vaya poco por poco ...
El señor MONTESINOS TORRES.—	 En realidad, lo del amparo va a terminar en máximo la primera semana de febrero.
"El señor		.—"	 Sí, mejor, (?)
El señor MONTESINOS TORRES.—	 (?) ha sido Quiroga termina el amparo, (?) Quiroga, nada tiene que hacer.
"El señor		.—"	 En esta parte ...
El señor MONTESINOS TORRES.—	 En esta parte ...
"El señor		.—"	 (?) la posibilidad de encontrar a un buen abogado tradicional.
El señor MONTESINOS TORRES.—	 Sí.
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Hasta que aparezca otro caballero en el escenario para que (?) salga un poco contento porque, ¿qué sucede? Como la gente aquí lo conoce a Ugaz y Ugaz aparece siempre defendiendo a personas con mucho dinero porque todos lo quieren por ser mafioso, Ugaz (?) mafioso. Entonces, (?) pero acá (?) qué cosa pasa, es un (?) y aparece Ugaz, un tipo (?) defiende a la gente acá en Lima que tiene mucho dinero, que hace contrabando, esas cosas.
"El señor		.—"	 (¿?) de bajo espíritu.
El señor MONTESINOS TORRES.—	 Usted tiene que buscarme una persona de mejor perfil ...
"El señor		.—"	 Pero que tenga la habilidad también como él.
El señor MONTESINOS TORRES.—	 Mire, (?) dos cosas: que la gente suya (?) tranquila (?)
"El señor		.—"	 Claro.
El señor MONTESINOS TORRES.—	 Entonces, ellos  no saben (?) del Tribunal porque en buena cuenta lo que (?) el documento yo lo reviso y (?) de la denuncia. Pero no le podemos decir (?)  pero, entonces, ahí tenemos que poner un abogado que le dé la tranquilidad y que ellos crean que este abogado (?)
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Déjeme sustentarlo, le doy una vuelta, yo me comunico con Valle Riestra.
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Claro, entonces, (?) consorcio, le digo que es importante, poco a poco y vamos a (?)
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 (?)
"El señor		.—"	 (¿?)
El señor MONTESINOS TORRES.—	 Pero por supuesto. La propuesta mía es que (?) Hay una policía que se llama del Ministerio Público en la Fiscalía, esa policía (?)
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 No, son (?)
"El señor		.—"	 Ya, doctor, (?)
El señor MONTESINOS TORRES.—	" Así es. El señor		.— (?)"
