speaker	speech
Background	 D epartamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VÍDEOS Núms. 888 Y 889, DEL 3 DE MAYO DE 1998 —El señor Alipio Montes de Oca espera en la sala. —El señor Vladimiro Montesinos ingresa a la sala.
El señor MONTESINOS TORRES.—	 Hola, hermano. ¡Qué ha sido de tu vida!
El señor MONTES DE OCA.—	 Tú te olvidas de los amigos, oiga. ¡Qué pasa!
El señor MONTESINOS TORRES.—	 Tú te vas a Arequipa.
El señor MONTES DE OCA.—	 Tuve que irme, pues. Son tan malos los oftalmólogos de acá, así que me fui a Arequipa, pues, compadre.
El señor MONTESINOS TORRES.—	 ¿Ah?
El señor MONTES DE OCA.—	 Son tan malos los oftamlólogos de acá, que me fui a Arequipa.
El señor MONTESINOS TORRES.—	 ¿Cuánto tiempo has estado allá?
El señor MONTES DE OCA.—	 (Ininteligible).
El señor MONTESINOS TORRES.—	 (Ininteligible) un problema del ojo.
El señor MONTES DE OCA.—	 (Ininteligible) Me voy al Hospital Almenara (ininteligible) dos semanas (ininteligible) al ojo. Me fui a la cama dos semanas de reposo.
El señor MONTESINOS TORRES.—	 Con un ojo fregado.
El señor MONTES DE OCA.—	 No podía leer, no podía hacer nada.
El señor MONTESINOS TORRES.—	 ¿Ni ver televisión ni nada?
El señor MONTES DE OCA.—	 Nada. Salí de vacaciones y a las dos semanas me salgo a la calle a manejar carro, no a manejar, sino salí en mi carro un rato
El señor MONTESINOS TORRES.—	 ¿Con un ojo?
El señor MONTES DE OCA.—	 Ya andaba cansado, ya estaba caminando, ya había recobrado la visión y en eso que estoy volteando así para ver el otro carro, cuando (ininteligible) y cuando uno lo mueve (ininteligible) ¿Cómo? (ininteligible). El segundo, dónde trabaja el primero (ininteligible) hasta mañana y ahí más o menos (ininteligible) para los amigos, yo cobro dos mil dólares (ininteligible). (Ininteligible) sino para las esquinas había que ponerle una (ininteligible) ¿Por qué? Porque existe (ininteligible). (2) Ya, ya le ha dicho (ininteligible).
El señor MONTESINOS TORRES.—	 ¿Ya estás harto tú ya?
El señor MONTES DE OCA.—	 (Ininteligible).
El señor MONTESINOS TORRES.—	 No, pero ¿cuándo te reincorporas tú?
El señor MONTES DE OCA.—	 El lunes.
El señor MONTESINOS TORRES.—	 ¿El lunes te reincorporas?
El señor MONTES DE OCA.—	 El lunes (ininteligible) pero a la parte administrativa.
El señor MONTESINOS TORRES.—	 Ya, de acuerdo (ininteligible) tenemos que cumplir órdenes.
El señor MONTES DE OCA.—	 Ya, di no más.
El señor MONTESINOS TORRES.—	 La primera es que te reincorpores a la Comisión Ejecutiva.
El señor MONTES DE OCA.—	 Ya.
El señor MONTESINOS TORRES.—	 Porque el lunes tengo que dar un golpe.
El señor MONTES DE OCA.—	 Ya.
El señor MONTESINOS TORRES.—	 Ya hablé con Víctor Raúl y con Serpa, están de acuerdo en que los (ininteligible) alguien les ha dicho lo que vamos a hacer el lunes. Y el siguiente paso es (ininteligible) del Jurado Nacional de Elecciones (ininteligible) el Presidente del Jurado (ininteligible).
El señor MONTES DE OCA.—	 Ya, por eso yo te estoy pidiendo (ininteligible) y que habíamos quedado te acuerdas (ininteligible). Entonces, conversamos más directos acá, quedamos así (ininteligible).
El señor MONTESINOS TORRES.—	 Claro, pero el problema de Serpa es (ininteligible) de que Serpa ha intervenido en el amparo de Martha Chávez.
El señor MONTES DE OCA.—	 Pero nada tiene que hacer.
El señor MONTESINOS TORRES.—	 ¿Por qué?
El señor MONTES DE OCA.—	 Ninguna situación la acogemos (ininteligible).
El señor MONTESINOS TORRES.—	 Acogernos a un trabajo que no se le ayudó (ininteligible).
