row_id,speech,speaker_std,file_id
1,"Levante su mano derecha, por favor. Usted jura que este testimonio, que va a dar en esta causa, es la verdad y nada más que la verdad, con el favor de Dios.",ALVA,1
2,Sí.,ALVA,1
3,"Señor Alva, mi nombre es Neil Lewis, y yo represento al señor Sigmund Markovich, que se encuentra sentado a mi derecha, en un procedi miento de la Corte, en la Corte del Circuito del Condado de Dade en la Florida. El señor Burnet, que se encuentra sentado acá, y yo vamos a hacerle algunas pre guntas bajo juramento. Si tiene alguna pregunta y si hago una pregunta que no se entiende, por favor, siéntase con libertad de pedirme que vuelva a repetir la próxi ma pregunta y voy a tratar de preguntársela en una forma más apropiada. ¿Podría dar su nombre completo, por favor?",LEWIS,1
4,Javier Alva Orlandini.,ALVA,1
5,"¿Dónde vive usted, doctor Alva?",LEWIS,1
6,En Lima.,ALVA,1
7,¿Y cuál es su ocupación?,LEWIS,1
8,"Mi profesión: abogado, actualmente soy miembro del Con greso del Perú.",ALVA,1
9,Voy a llamar su atención a la época donde antes que usted fuera miembro del Congreso. ¿Usted tuvo otro tipo de trabajo aparte de ser con gresista?,LEWIS,1
10,"En los últimos 40 años mi actividad se ha repartido, se ha distribuido entre ser abogado y político. Entre 1963 y 1968 fui diputado por Li ma, Perú; además, entre 1965 y 1966 Ministro de Gobierno; entre 1980 y 1985 he sido Senador y Vicepresidente del Perú; entre 1990 y 1992 Senador, y entre 1995 y el día de hoy, miembro del Congreso.",ALVA,1
11,"Gracias. Su conexión con su posición política, ¿usted conoció a un caballero llamado Percovich?",LEWIS,1
12,"Sí, Luis Percovich Roca.",ALVA,1
13,¿Usted sabe qué es lo que hace el señor Percovich?,LEWIS,1
14,"La profesión de Percovich es Químico-Farmaceútico, ha si do diputado entre 1963 y 1968 y entre 1980 y 1985; además en el segundo perío do, durante poco más o menos dos años, cerca de dos años, ha sido el primer Mi nistro de Pesquería y, posteriormente, Ministro del Interior y Presidente del Consejo de Ministros. También fue Presidente de la Cámara de Diputados entre 1981 y 1982, en ese lapso yo fui también Presidente de la Cámara de Senadores.",ALVA,1
15,¿Usted conoce al señor Sigmund Markovich?,LEWIS,1
16,"Personalmente lo conozco más o menos 12 años, pero por referencias mucho más tiempo.",ALVA,1
17,¿Cómo conoce usted al señor Markovich?,LEWIS,1
18,"Lo conocía por las actividades que él cumplía en el Perú co mo funcionario del gobierno de los Estados Unidos de América y también fúi su abogado durante poco más o menos dos años, dos o tres años.",ALVA,1
19,¿Lo conoce en un plano social y en plano profesional?,LEWIS,1
20,Así es.,ALVA,1
21,¿Durante la época que usted ha conocido al señor Marko vich alguna vez él le indicó que él era agente para el Centro de Inteligencia de los Estados Unidos?,LEWIS,1
22,Tenía conocimiento que la presencia del señor Markovich en el Perú estaba vinculada a actividades para prestar ayuda al gobierno peruano en la lucha antidrogas.,ALVA,1
23,Yo sé que hay ciertas cosas que son confidenciales en su po sición gubernamental...,LEWIS,1
24,... con el gobierno peruano y con la embajada de los Esta dos Unidos de América en el Perú.,ALVA,1
25,¿Usted conoce a Alan García?,LEWIS,1
26,Personalmente lo conozco.,ALVA,1
27,Él anteriormente fue Presidente del Perú ¿correcto?,LEWIS,1
28,"Sí. Primero fue Diputado por Lima en el período 1980 y 1985 y Presidente del Perú entre 1985 y 1990, precisamente yo competí con él en 1985.",ALVA,1
29,¿Usted está al tanto de las razones por las cuales se fue Alan García del Perú?,LEWIS,1
30,"En el Senado hubo una acusación formulada por la Cámara de Diputados por delito de enriquecimiento ilícito, y el Senado, el cual yo estaba in tegrándolo, acordó que había lugar a formación de causa y pasó el asunto al Minis terio Público para que formulara denuncia ante la Corte Suprema de Justicia.",ALVA,1
31,¿Su estado ahora es el de un fugitivo?,LEWIS,1
32,"Sí. Elay una serie de hechos que atribuyen a Alan García Circulados a su gestión como Presidente del Perú, que ha motivado que se abra, que se amplíe, el proceso penal contra él; y ésa es la razón por la cual ha salido del país en un exilio un tanto irregular.",ALVA,1
33,"Si él regresara al Perú ahora, ¿habría una persecución en contra de él?",LEWIS,1
34,El proceso judicial está abierto y tiene orden de detención.,ALVA,1
35,"¿El señor García, si usted sabe, él era miembro del Partido Aprista?",LEWIS,1
36,Sí.,ALVA,1
37,"Como miembro de este partido, ¿tuvo algún alegato que usted sepa del tráfico de drogas, o beneficio del tráfico de drogas por ese partido o por el señor García?",LEWIS,1
38,"Yo no puedo dar fe respecto de los delitos que son materia del proceso penal que se sigue actualmente en la Corte Suprema, hay varios deli tos, pero se le atribuyen una serie de hechos que hacen suponer que puede eventualmente estar vinculado al narcotráfico.",ALVA,1
39,¿Usted estaba enterado que se había incendiado la casa del señor Markovich?,LEWIS,1
40,"Sí, algún diario de Lima informó sobre este hecho.",ALVA,1
41,¿Usted recuerda cuándo podría haber sido eso?,LEWIS,1
42,"No puedo precisar, pero hace poco más o menos dos años.",ALVA,1
43,"Si yo le dijera que fue en un momento en agosto del 1994, ¿eso le refrescaría su memoria?",LEWIS,1
44,"Sí podría haber sido, un poco más o menos dos años.",ALVA,1
45,¿Alguna vez el señor Markovich habló con usted los hechos que estaban alrededor del hecho de que habían incendiado su casa?,LEWIS,1
46,En uno de sus viajes me comentó que había quedado des truida su casa como consecuencia del incendio.,ALVA,1
47,¿Él le indicó quién creía que estaba detrás de eso?,LEWIS,1
48,"Me parece que él comentó que podría ser cualquier, alguna represalia respecto de sus actividades en el Perú.",ALVA,1
49,¿Usted sabía si el señor Markovich y Alan García eran amigos?,LEWIS,1
50,"No tengo conocimiento que hayan sido amigos, podrían ha ber sido conocidos, pero el grado de amistad es una cosa muy íntima.",ALVA,1
51,"En cuanto a su conocimiento sobre el señor García, ¿él tie ne o tenía la habilidad de controlar o dirigir a otras personas, incluso ahora para actuar a su nombre?",LEWIS,1
52,"Sí, sin ninguna duda.",ALVA,1
53,"¿Él tiene la habilidad de vengarse, usa a la gente que él cree pueden haber causado sus problemas políticos o haber dado información con res pecto a sus actividades?",LEWIS,1
54,Es posible que haya algunos hechos que inducen a creer que ha tenido un comportamiento de ese tipo.,ALVA,1
55,¿Usted puede contarnos algunos de esos incidentes?,LEWIS,1
56,"Hizo aprobar en el Congreso una ley para estatizar la ban ca y mandó a la policía para que, con engaños, penetraran en algunos locales de los bancos que estatizaba, maltratando físicamente a los directores o gerentes de esos bancos. Incluso en una ocasión un Ministro de Justicia de Alan García, según sos pechas que tenemos, dispuso que el señor Markovich fuera detenido en el hotel Sheraton, poco más o menos en 1989, como represalia de carácter político.",ALVA,1
57,¿Usted sabe personalmente que esto sucedió?,LEWIS,1
58,"Me consta. Por esa época yo era abogado justamente del señor Markovich y tuve que protes tar, y fui al local policial para hablar con el Jefe de la Policía que no, que no se presentó, de manera que me quedé varias horas acompañando al señor Markovich. Fue un claro abuso policial, pero cumpliendo órdenes del gobierno.",ALVA,1
59,Esos cargos se desecharon después que al señor Markovich lo dejaron en libertad.,LEWIS,1
60,Fue puesto en libertad.,ALVA,1
61,"En cuanto a su posición en el gobierno, ¿usted está familiarizado con una operación contra los traficantes de drogas, llamada Operación Cóndor?",LEWIS,1
62,Tengo conocimiento de la Operación Cóndor que se realizó con la intervención de la Fuerza Armada del Perú y con apoyo de organismos especializados de los Estados Unidos de América.,ALVA,1
63,¿Tiene conocimiento de quiénes eran las personas que esta ban involucradas o esto está fuera de su área política?,LEWIS,1
64,"Sí, está fuera de mi conocimiento político.",ALVA,1
65,¿Usted tenía conocimiento si el señor Markovich se encon traba involucrado en esa operación?,LEWIS,1
66,"No me consta, pero sospecho.",ALVA,1
67,¿Usted se ha encontrado con el señor Markovich en los Es tados Unidos en algún momento?,LEWIS,1
