id,text,speaker_std,file_id
20001, Qué bárbaro ¿no?,MEDELIUS,40
20002," Pero Antonio es el que le ha pescado, me dice que hay una resolución contradictoria. Es decir, que si yo fuera, por ejemplo, un comentarista crítico de él le sacaría esa vaina. No hay coherencia acá, acá dijo tal cosa, aquí dice tal cosa, qué pasó. ¿Por qué?, de acuerdo al cliente, de acuerdo a la cara, de acuerdo al billete, de acuerdo a qué cosa. Yo lo cagaría, hermano. En el Poder Judicial sí puedes hacer jurisprudencia distinta, pero en actas no puedes hacer porque parece increíble. La suma no, ahora, eso de sumatoria, eso tampoco no es buen castellano, es suma de votos.",ARCE,40
20003," Suma, no sumatoria de votos.",MEDELIUS,40
20004," Claro, sumatoria no existe.",ARCE,40
20005," Pero realmente, compadre, que es increíble el manejo que ha tenido este compadre que entró con una aureola de...",MEDELIUS,40
20006, Hombre recto.,ARCE,40
20007," De hombre recto. Y en esto, puta, que ha hecho barbaridad y media, barbaridad y media ha cometido.",MEDELIUS,40
20008," Después ha venido uno del norte, ¿cómo se llama? (Ininteligible). Vino con un montón de actas. (Ininteligible). Yo lo conozco a él, ha sido congresista de Cambio 90. (Ininteligible) Olmos. Yo no sé qué ha ganado, no tengo ni idea, porque yo nunca miro eso, porque si yo me pusiera a ver eso.",ARCE,40
20009," Carajo, no podrías tramitar juicios tranquilo.",MEDELIUS,40
20010," No, yo miro los hechos, cómo es el acto qué voy a estar mirando porque lo peor (Ininteligible) tener nombres.",ARCE,40
20011," (Ininteligible) Qué gusto me da, carajo, que allí ya no puedes llevar esa carga subjetiva, hermano, de la amistad.",MEDELIUS,40
20012," No, al contrario, tranquilo yo iba. Él me dijo este rollo, y a mí qué mierda me importa. Barrantes fue mi amigo y (Ininteligible) un comunista. Y mira, la agarró, pues, y acá la perdió ella. Pero a la hora (Ininteligible) a las malas, no seas pendejo, a las malas (Ininteligible) computadora, para qué tanta huevada (Ininteligible).",ARCE,40
20013,—Risas.,BACKGROUND,40
20014," (Ininteligible) Ésa es otra cosa. Esas son cosas (Ininteligible) se pueden hacer, pero así no, exagerado. Yo te digo, lo de Miraflores para mí (Ininteligible) qué chucha. Yo no sé (Ininteligible)",ARCE,40
20015, Y hay gente que no vota ahí (Ininteligible). (2),MEDELIUS,40
20016," Es absurdo. Porque nunca se han puesto ustedes los pantalones bien puestos en decir que el no cambia de domicilio no vale su documento de identidad, nunca lo han dicho. Basta con (ininteligible) 30 días, ya no vale si no ha hecho cambio de domicilio. (ininteligible) todos los problemas a nivel nacional de mi cambio de domicilio. Ustedes no, están en (ininteligible), que a uno le conviene, que a mi no me conviene. No porque nos convenga sino porque no le conviene al país, hermano. Nada más.",ARCE,40
20017, Y hay que hacer una campaña publicitaria que ...,MEDELIUS,40
20018," Claro, hermano. (ininteligible)",ARCE,40
20019, Por delito contra la fe pública.,MEDELIUS,40
20020," (ininteligible) tienes un cambio domiciliario, hermano, en 24 horas a nivel nacional y el que se jode es el Reniec, porque tiene que tener las computadoras necesarias y como no hay un (ininteligible) billete (ininteligible) compras más computadoras descentralizando las cosa al máximo y listo.",ARCE,40
20021," Porque por ejemplo en La Punta, hermano, hay 4 mil votantes y votan 11 mil. O sea, la población de La Punta es 8 mil.",MEDELIUS,40
20022," ¿Por qué, hermano?",ARCE,40
20023, Y hay 11 mil votantes.,MEDELIUS,40
20024," Porque hay un problema pues, ahí está. Hay gente trabajadora que va, trabaja y la mayor cantidad de tiempo está ahí en La Punta; entonces él da como domicilio su centro de trabajo.",ARCE,40
20025, Claro.,MEDELIUS,40
20026," Eso es lo que pasa. En la avenida Argentina, toda la avenida Argentina, (ininteligible) es igual. Es gente que no vive ahí.",ARCE,40
20027," Pero (ininteligible) en el Callao, entonces van a votar al Callao. (ininteligible) en San Juan de Miraflores, en Lurigancho. (ininteligible)",MEDELIUS,40
20028," Esas son realidades, pues. La cosa es ponerse bien y decir, bueno, la ley establece que el que se cambia de domicilio tiene que poner en conocimiento a la autoridad a las 24 horas de haber hecho el cambio de domicilio; de lo contrario, el documento vale solo hasta 30 días después del cambio domiciliario. Todo el mundo en su sitio. Se acabó todo. Eso no interesa a quién le favorezca sino el Perú, hermano, es importante. (ininteligible) “x” comete un delito y (ininteligible) dónde vives, en tal sitio, siempre y cuando tenga el documento de identidad también, porque si no tiene el documento de identidad el domicilio es (ininteligible). Para nada, no sirve para nada, (ininteligible). Ahora, otra cosa. Para evitar la homonimia tienes que poner el nombre de los padres, hermano. Rómulo Muñoz Arce, ¿hijo de quién es? De Rómulo Muñoz y de Zoila Arce. ¿Rómulo Muñoz? Sí. Hijo de Eliceo Muñoz y de doña Pilar Arce. (ininteligible) y se acabó el problema. Entonces la homonimia desaparece. Pero por lo menos el 98% ha (ininteligible), pero el (ininteligible) electoral. Los que conocen estos temas no nos consultan, hermano, sino ustedes no ven los problemas políticos.",ARCE,40
20029, Tiene usted (initeligible) Vargas Prada (ininteligible),MEDELIUS,40
20030," No, ellos han sacado un reglamento, lo que han hecho es sacar la ley como ellos han querido. Lucho Rivera y la señora Martha Chávez han sacado la ley como él ha querido, como a él le ha dado la gana ha sacado la ley el señor Rivera, así ha sacado la ley, y Lucho Rivera al Congreso. Ustedes han discutido, han peleado y los puntos centrales no los han tocado. Por ejemplo, en esta elección municipal (ininteligible) 60 días, 60 días, tremenda y yo hablé y (ininteligible) los plazos. Y sabe lo que dijo Martha Chávez en el Congreso, y te debes acordar, “para eso están las computadoras, para hacer las cosas rápidas” Esa es la suma, esa es la suma de los votos, pues.",ARCE,40
20031, La computadora central al trabajar después de ...,MEDELIUS,40
20032," Después de la elección (ininteligible). Además, hay mucha gente que se ha pasado de tachas porque no ha habido tiempo de saber si verdaderamente correspondía hacer una tacha o no.",ARCE,40
20033," La logística, ¿cómo es ahí?",MEDELIUS,40
20034," La logística es una cosa. La logística de distribución de material electoral, si (ininteligible) electoral tiene que ser un despachador con 3 back up atrás y cambiar a la gente, cada 4 horas cambio de gente, cambio de gente, cambio de gente, y cambias, porque la gente se ...",ARCE,40
20035, ... se agota.,MEDELIUS,40
20036," Esa es una de las logísticas. La otra. La logística del proceso electoral es otra, hermano. Tú pones una tacha contra un candidato (ininteligible) ese qué se yo (ininteligible) que este va más adentro. En Ramón Castilla entra, hermano, a la selva por (ininteligible)",ARCE,40
20037, (ininteligible),MEDELIUS,40
20038, Cuando llega al Jurado Nacional ...,ARCE,40
20039," Hasta las huevas, ya no llegó.",MEDELIUS,40
20040," (ininteligible) (ininteligible) incluso para los congresistas también. (ininteligible) 100 días antes de las elecciones, entonces me permite hacer maravillas a mí, pues, hermano. Ahora, hay que cambiar en el orden. Hay que hacer que a los miembros de mesa se les prepare primero junto cuando empiezan los congresistas, con la postulación al Congreso ...",ARCE,40
20041, Hay que preparar ....,MEDELIUS,40
