Speaker	Total Word Count	Proportion of Word Count
MONTESINOS	411831	49.12%
DESCONOCIDO	53996	6.44%
DELGADO PARKER	26182	3.12%
KOURI	24713	2.95%
HURTADO MILLER	23024	2.75%
BOROBIO	20248	2.42%
SERPA	14058	1.68%
CALMELL	13197	1.57%
ARCE	12493	1.49%
CROUSILLAT	11591	1.38%
FERRERO	10987	1.31%
ALBARRACíN	10118	1.21%
ALEX KOURI	9550	1.14%
HERNANDEZ CANELO	8788	1.05%
CUCULIZA	8555	1.02%
SAUCEDO SANCHEZ	7264	0.87%
VALLE RIESTRA	7189	0.86%
JOY WAY	6516	0.78%
HUAMAN	6439	0.77%
MONTES DE OCA	5956	0.71%
ARANCIBIA	5826	0.69%
BERTINI	5549	0.66%
VIDAL	5324	0.64%
VILLANUEVA RUESTA	5292	0.63%
FUJIMORI	4933	0.59%
SANTANDER	4880	0.58%
SCHUTZ	4762	0.57%
LUCCHETTI	4479	0.53%
PERCOVICH	4459	0.53%
ROMERO SEMINARIO	4351	0.52%
BEDOYA	4334	0.52%
SILVA	4154	0.50%
SAUCHEDO SANCHEZ	4126	0.49%
VERA	4028	0.48%
SCHüTZ	3679	0.44%
GARCIA	3263	0.39%
BURNET	3245	0.39%
RICKETTS	3105	0.37%
BURNEI	3060	0.37%
MILITAR DESCONOCIDO	3021	0.36%
GUILLEN	2975	0.35%
LUPIS	2966	0.35%
LEWIS	2952	0.35%
TUDELA	2799	0.33%
PALERMO	2742	0.33%
VERA ABAD	2495	0.30%
MEDELIUS	2402	0.29%
SALGADO	1929	0.23%
BERGAMINO	1904	0.23%
ALVA	1892	0.23%
COSTA	1783	0.21%
AMERICANO	1708	0.20%
GAMARRA	1642	0.20%
IBÁRCENA	1622	0.19%
MACCAFFREY	1567	0.19%
BELLO VAZQUEZ	1531	0.18%
PEREZ	1446	0.17%
ALBERTO KOURI	1406	0.17%
DAVILA	1377	0.16%
NORIEGA	1279	0.15%
REATEGUI	1248	0.15%
TRELLES	1183	0.14%
IBARCENA	1174	0.14%
VENERO	1159	0.14%
ISRAEL	1091	0.13%
CANO ANGULO	1000	0.12%
CAMPOS	927	0.11%
MONROE	834	0.10%
CHIRINOS	799	0.10%
JETT	779	0.09%
DE LOPEZ	714	0.09%
LOCUTOR	685	0.08%
SALAZAR	679	0.08%
HERMOZA	601	0.07%
CASTILLO	541	0.06%
BELTRAN	541	0.06%
MOROTE	535	0.06%
HERMOZA RIOS	457	0.05%
MELLADO	445	0.05%
GUZMAN	374	0.04%
DELLEPIANE	357	0.04%
PANTOJA	350	0.04%
EMBAJADORA	306	0.04%
PANDO	301	0.04%
IVACHINE	291	0.03%
ESPICHAN	264	0.03%
LOZADA	221	0.03%
RUIZ	217	0.03%
CESAR CANO	187	0.02%
VELIT	175	0.02%
CRNL RAMIREZ	135	0.02%
MAHUAD	105	0.01%
DIANDERAS	96	0.01%
GENERAL DELGADO	77	0.01%
MARCENARO	76	0.01%
AYBAR	74	0.01%
MALEA	53	0.01%
CENEPO	47	0.01%
DOUFOUR	42	0.01%
PANDOLFI	40	0.00%
SMITH	40	0.00%
AMOIN	32	0.00%
BELLO VASQUEZ	24	0.00%
BLANCO	21	0.00%
IBERICO	14	0.00%
QUISPE	13	0.00%
TAFUR	12	0.00%
VILLAREAL	12	0.00%
GONZALES	7	0.00%
LOPEZ	6	0.00%
MANUEL LOPEZ	5	0.00%
FRANCISCO KOURI	4	0.00%
BRINGAS	2	0.00%
