Chronological order	Codigo	Fecha de exhibición	Fecha de recepción	Fecha del evento	Tipo de información	Titulo	Read?	Duplicates?	In book? (Y / N)	If yes: Tomo/Chapter	Moved to modified transcript folder?			
1	864	3/16/01	3/14/01	1/8/1998	video	DR. MONTESINOS TORRES - SR. DANIEL BOROBIO GUEDE CIUDADANO CHILENO	X		Y	1/ 1.1	X			
2	866	2/27/01	2/26/01	1/15/1998	video	DR. ALEX KOURI BUMACHAR - CONGRESISTA ABSAL√ìN V√ÅSQUEZ - CONGRESISTA LUZ SALGADO - DR. MONTESINOS TORRES	X		Y	2/ 5.1	X			
3	869	2/20/01	2/14/01	1/23/1998	video	DR. EDUARDO FERRERO COSTA - SR. MONTESINOS TORRES	X		Y	5/ 8.6	X			
4	873	2/28/01	2/26/01	1/28/1998	video	DR. ALEX KOURI BUMACHAR - DR. MONTESINOS TORRES	X		Y	2/ 5.2	X			
5	872	2/28/01	2/26/01	1/28/1998	video	DR. ALEX KOURI BUMACHAR - DR. MONTESINOS TORRES	X	duplicate of 873	Y	2/ 5.2	X			
6	919	6/30/01	5/21/01	3/5/1998	audio	BARLEY - DELEGACI√ìN ISRAEL√ç	X		Y	5/ 8.23	X			
7	863	6/5/01	5/21/01	3/6/1998	audio	ALMUERZO LUCCHETTI - DR.	X	blank	Y	1/ 1.4	Blank			
8	862	6/4/01	5/21/01	3/6/1998	audio	DI√ÅLOGO DR. - LUCCHETTI	X	blank			Blank			
9	856	6/4/01	5/21/01	3/6/1998	video	DI√ÅLOGO DR. - LUCCHETTI	X	contained within 857	Y	1/ 1.5	X			
10	857	6/4/01	5/21/01	3/6/1998	video	DI√ÅLOGO DR. - LUCCHETTI	X		Y	1/ 1.4	X			
11	809	2/12/01	2/10/01	4/3/1998	audio	REUNION DE NM C-90 - DR	X	blank			Blank			
12	808	2/12/01	2/10/01	4/3/1998	audio	REUNION DE NM C-90 - DR	X	blank			Blank			
13	807	2/12/01	2/10/01	4/3/1998	video	REUNION DE NM C-90 - DR	X		Y	4/ 6.1	X			
14	806	2/12/01	2/10/01	4/3/1998	video	REUNION DE NM C-90 - DR	X	duplicate 807	Y	4/ 6.1	X			
