transcript,speaker_1,speaker_2,speaker_3,speaker_4,speaker_5,speaker_6,speaker_7,speaker_8,speaker_9,speaker_10,speaker_11,speaker_12,speaker_13,speaker_14,speaker_15,speaker_16,speaker_17,speaker_18,speaker_19
1,ALVA,LEWIS,BURNET,GARCIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,KOURI,IBARCENA,MONTESINOS,SERPA,SANTANDER,ISRAEL,LOCUTOR,HUAMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,DE LOPEZ,SMITH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,VILLAREAL,AYBAR,LOPEZ,IVACHINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,MONTESINOS,MALEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,MONTESINOS,MANUEL LOPEZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,MONTESINOS,GONZALES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,LUCCHETTI,MONTESINOS,HERNANDEZ CANELO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,MONTESINOS,LUCCHETTI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,AMERICANO,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ISRAEL,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,MONTESINOS,LUCCHETTI,HERNANDEZ CANELO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,MELLADO,HERNANDEZ CANELO,MONTESINOS,MONTES DE OCA,SALGADO,TRELLES,ESPICHAN,LOZADA,JOY WAY,MARCENARO,VELIT,MEDELIUS,PANDO,QUISPE,BLANCO,AMOIN,NA,NA,NA
17,MONTESINOS,GUZMAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,COSTA,VILLANUEVA RUESTA,MACCAFFREY,SAUCEDO SANCHEZ,HERMOZA,MONTESINOS,IBÁRCENA,DIANDERAS,BELLO VASQUEZ,PANDOLFI,AMERICANO,NA,NA,NA,NA,NA,NA,NA,NA
2,PERCOVICH,LEWIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,MONTESINOS,DAVILA,CUCULIZA,LOCUTOR,FUJIMORI,SERPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,MONTESINOS,MONTES DE OCA,SERPA,CASTILLO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,MONTESINOS,DELLEPIANE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,MONTESINOS,BELTRAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,COSTA,JETT,MONTESINOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,MONTESINOS,ARANCIBIA,IBÁRCENA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,MONTESINOS,VALLE RIESTRA,SANTANDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,MONTESINOS,VALLE RIESTRA,SANTANDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,MONTESINOS,SANTANDER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,REATEGUI,MONTESINOS,BEDOYA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,LUPIS,LEWIS,BURNEI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,HERNANDEZ CANELO,MONTESINOS,ARCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
