Speaker	Total Word Count	Proportion of Word Count
MONTESINOS	432431	49.58%
DESCONOCIDO	59561	6.83%
ALEX KOURI	34263	3.92%
DELGADO PARKER	26182	3.00%
HURTADO MILLER	23024	2.64%
BOROBIO	20248	2.32%
SERPA	14058	1.61%
CALMELL	13197	1.51%
ARCE	12493	1.43%
CROUSILLAT	11591	1.33%
FERRERO	10987	1.26%
ALBARRACIN	10118	1.16%
HERNANDEZ CANELO	8788	1.01%
CUCULIZA	8555	0.98%
SCHUTZ	8441	0.97%
SAUCEDO SANCHEZ	7264	0.83%
VALLE RIESTRA	7189	0.82%
JOY WAY	6815	0.78%
ROMERO SEMINARIO	6724	0.77%
HUAMAN	6439	0.74%
MONTES DE OCA	5956	0.68%
ARANCIBIA	5826	0.67%
BERTINI	5549	0.64%
VIDAL	5324	0.61%
VILLANUEVA RUESTA	5292	0.61%
FUJIMORI	4933	0.57%
SANTANDER	4880	0.56%
LUCCHETTI	4479	0.51%
PERCOVICH	4459	0.51%
BEDOYA	4334	0.50%
SILVA	4154	0.48%
SAUCHEDO SANCHEZ	4126	0.47%
VERA	4028	0.46%
REPRESENTANTE ESTADOS UNIDOS	3291	0.38%
GARCIA	3263	0.37%
BURNET	3245	0.37%
RICKETTS	3105	0.36%
BURNEI	3060	0.35%
MILITAR DESCONOCIDO	3021	0.35%
GUILLEN	2975	0.34%
LUPIS	2966	0.34%
LEWIS	2952	0.34%
TUDELA	2799	0.32%
IBARCENA	2796	0.32%
PALERMO	2742	0.31%
VERA ABAD	2495	0.29%
MEDELIUS	2402	0.28%
SALGADO	1929	0.22%
BERGAMINO	1904	0.22%
ALVA	1892	0.22%
COSTA	1783	0.20%
AMERICANO	1708	0.20%
GAMARRA	1642	0.19%
ROZAS	1639	0.19%
MACCAFFREY	1567	0.18%
BELLO VAZQUEZ	1531	0.18%
PEREZ	1446	0.17%
ALBERTO KOURI	1406	0.16%
DAVILA	1377	0.16%
NORIEGA	1279	0.15%
REATEGUI	1248	0.14%
TRELLES	1183	0.14%
VENERO	1159	0.13%
ISRAEL	1091	0.13%
CANO ANGULO	1000	0.11%
CAMPOS	927	0.11%
MONROE	834	0.10%
CHIRINOS	799	0.09%
JETT	779	0.09%
LOCUTOR	748	0.09%
DE LOPEZ	714	0.08%
SALAZAR	679	0.08%
HERMOZA	601	0.07%
BELTRAN	541	0.06%
CASTILLO	541	0.06%
MOROTE	535	0.06%
HERMOZA RIOS	457	0.05%
MELLADO	445	0.05%
GUZMAN	374	0.04%
DELLEPIANE	357	0.04%
PANTOJA	350	0.04%
EMBAJADORA	306	0.04%
PANDO	301	0.03%
IVACHINE	291	0.03%
ESPICHAN	264	0.03%
LOZADA	221	0.03%
RUIZ	217	0.02%
CESAR CANO	187	0.02%
VELIT	175	0.02%
CRNL RAMIREZ	135	0.02%
MAHUAD	105	0.01%
DIANDERAS	96	0.01%
GENERAL DELGADO	77	0.01%
MARCENARO	76	0.01%
AYBAR	74	0.01%
MALEA	53	0.01%
CENEPO	47	0.01%
DOUFOUR	42	0.00%
SMITH	40	0.00%
PANDOLFI	40	0.00%
AMOIN	32	0.00%
BELLO VASQUEZ	24	0.00%
BLANCO	21	0.00%
MONCAYO	20	0.00%
IBERICO	14	0.00%
QUISPE	13	0.00%
TAFUR	12	0.00%
VILLAREAL	12	0.00%
BOLONA	11	0.00%
GONZALES	7	0.00%
LOPEZ	6	0.00%
MANUEL LOPEZ	5	0.00%
FRANCISCO KOURI	4	0.00%
BRINGAS	2	0.00%
