Speaker	Total Word Count	Proportion of Word Count
MONTESINOS	304558	53.85%
KOURI	24713	4.37%
HURTADO MILLER	23024	4.07%
BOROBIO	20248	3.58%
DELGADO PARKER	17714	3.13%
SERPA	14058	2.49%
ARCE	12231	2.16%
CROUSILLAT	11256	1.99%
FERRERO	10987	1.94%
CALMELL	10508	1.86%
HERNANDEZ CANELO	8788	1.55%
CUCULIZA	8555	1.51%
DESCONOCIDO	8208	1.45%
VALLE RIESTRA	7189	1.27%
BERTINI	5549	0.98%
MONTES DE OCA	5480	0.97%
VILLANUEVA RUESTA	5060	0.89%
SANTANDER	4880	0.86%
JOY WAY	4858	0.86%
SCHUTZ	4762	0.84%
LUCCHETTI	4479	0.79%
ROMERO SEMINARIO	4351	0.77%
BEDOYA	4334	0.77%
SAUCHEDO SANCHEZ	4126	0.73%
VERA	4026	0.71%
FUJIMORI	3374	0.60%
MILITAR DESCONOCIDO	3021	0.53%
MEDELIUS	2402	0.42%
SALGADO	1929	0.34%
BERGAMINO	1904	0.34%
GAMARRA	1642	0.29%
BELLO VAZQUEZ	1531	0.27%
DAVILA	1377	0.24%
NORIEGA	1279	0.23%
REATEGUI	1248	0.22%
TRELLES	1183	0.21%
IBARCENA	1174	0.21%
VENERO	1159	0.20%
ISRAEL	1091	0.19%
CAMPOS	927	0.16%
MONROE	820	0.14%
BELTRAN	541	0.10%
CASTILLO	541	0.10%
LOCUTOR	524	0.09%
HERMOZA RIOS	457	0.08%
MELLADO	445	0.08%
HUAMAN	387	0.07%
GUZMAN	374	0.07%
DELLEPIANE	357	0.06%
EMBAJADORA	306	0.05%
PANDO	301	0.05%
ESPICHAN	264	0.05%
LOZADA	221	0.04%
RUIZ	217	0.04%
VELIT	175	0.03%
CRNL RAMIREZ	135	0.02%
MAHUAD	105	0.02%
DIANDERAS	79	0.01%
MARCENARO	76	0.01%
AMOIN	32	0.01%
BLANCO	21	0.00%
IBERICO	14	0.00%
QUISPE	13	0.00%
TAFUR	12	0.00%
BRINGAS	2	0.00%
