n,date,speakers,original_n,Missing Topic,in_book,in_online_archive,type,topic_referendum,topic_ecuador,topic_lucchetti_factory,topic_municipal98,topic_reelection,topic_miraflores,topic_canal4,topic_media,topic_promotions,topic_ivcher,topic_foreign,topic_wiese,topic_public_officials,topic_safety,topic_state_capture,summary
104,7/1/2000,"Jefes policiales, Montesinos Torres",353,x,x,,audio,,,,,,,,,,,,,,x,x,"Montesinos convenes a meeting with police and military officials to plan a crackdown on post-election opposition activity, especially targeting Alejandro Toledo. He instructs prefects to deny permits for political gatherings, arguing they are now illegal. Plans are made to deploy covert operatives posing as civilians to disrupt rallies, while security forces remain hidden but ready. Tactics include disabling vehicles, deploying gas grenades, and using psychological warfare to demoralize opponents. Surveillance is ordered on political figures and events in Arequipa, with legal cover arranged through preemptive documentation. Control over media and public access to state events is also prioritized. Montesinos underscores the need for unified action between the Armed Forces and National Police."
19,4/21/1998,"Barry McCaffrey, Montesinos Torres, Marino Costa, alto mando militar",848,x,x,,video,,,,,,,,,,,x,,,x,,"This transcript covers General Barry McCaffrey’s third visit to Peru, where he meets with top Peruvian officials including Montesinos, Hermoza Ríos, and the U.S. Ambassador. Discussions center on Peru’s anti-drug strategy, including coca crop reduction, interdiction efforts, and alternative development. Montesinos pushes for legal reforms to enhance maritime interdiction and intelligence operations. McCaffrey praises Peru’s efforts as a regional model and emphasizes the importance of international cooperation and rule-of-law frameworks. The meeting is followed by a reception, where informal conversations and political dynamics among military leaders are observed."
11,2/10/1998,"Lucchetti, Montesinos Torres",858,,x,x,audio,,,x,,,,,,,,,,,,,"Montesinos and Lucchetti share lunch and discuss political developments in Ecuador and Chile, including speculation about Pinochet’s legal situation. Lucchetti outlines legal troubles brought by Prosecutor Andrade, to which Montesinos proposes damage control strategies like disaster relief donations and political outreach. He recommends coordinating a televised food donation, warning that media fixer Pacheco charges steep fees. They also touch on military and police legitimacy in different countries. Lucchetti expresses concern that Andrade may block his construction project, but Montesinos assures him judicial protection is in place. The conversation ends with a focus on removing Andrade in upcoming municipal elections, expressing distrust in candidate Kouri."
12,2/10/1998,"Representante de Lucchetti, Montesinos Torres",859,,x,x,audio,,,x,,,,,,,,,,,,,"Montesinos and Lucchetti share lunch and discuss political developments in Ecuador and Chile, including speculation about Pinochet’s legal situation. Lucchetti outlines legal troubles brought by Prosecutor Andrade, to which Montesinos proposes damage control strategies like disaster relief donations and political outreach. He recommends coordinating a televised food donation, warning that media fixer Pacheco charges steep fees. They also touch on military and police legitimacy in different countries. Lucchetti expresses concern that Andrade may block his construction project, but Montesinos assures him judicial protection is in place. The conversation ends with a focus on removing Andrade in upcoming municipal elections, expressing distrust in candidate Kouri."
5,1/8/1998,"Montesinos Torres, Daniel Borobio Guede, ciudadano chileno",864,,x,x,video,,,x,,x,,,,,,,,,,,"Montesinos meets with Daniel Borobio and Sr. Gonzalo, a high-profile Chilean investor with significant regional holdings, including a stalled factory project in Peru. Gonzalo expresses frustration over legal roadblocks allegedly based on a false environmental report and appeals for Montesinos’s support. Montesinos advises him to avoid working with intermediaries like Vicente Silva or Yoshiyama and instead deal directly with him, Camet, and the Prime Minister. He emphasizes that his involvement ensures access to the presidency. Montesinos makes discreet calls to judicial contacts to investigate the issue and schedules a follow-up meeting, assuring Gonzalo the matter is confidential. The meeting appears designed to bypass legal constraints and facilitate the factory's construction."
7,1/15/1998,"Alex Kouri Bumachar, Congresista Absalon Vasquez, Congresista Luz Salgado, Montesinos Torres",866,,x,x,video,,,,x,,,x,x,,,,,,,,"Montesinos, Luz Salgado, and Absalón Vásquez discuss strategy to counter Lima mayor Alberto Andrade in the 2000 elections. They propose Alexander Kouri as a potential candidate and invite him to the meeting. Kouri outlines his plan to win in Callao and influence Lima politics by aligning marginal districts against Andrade. The group discusses unifying political factions and leveraging media outlets like Canal 4 and Expreso to test and build Kouri’s public image. While Kouri insists on running only in Callao, the conversation remains open to launching him in Lima depending on public reception. Montesinos emphasizes that improving Lima is crucial for Fujimori’s reelection strategy."
9,1/23/1988,"Montesinos Torres, Eduardo Ferrero Costa",869,,x,x,video,,x,,,,,,x,,,,,,,,"Montesinos and Foreign Minister Eduardo Ferrero discuss maintaining Peru’s military superiority over Ecuador despite recent arms purchases by the latter. Montesinos argues that strong armed forces legitimize the state and sees military strength as essential for political influence, citing Pinochet as an example. Ferrero agrees on prioritizing military preparedness but stresses continued peace negotiations. They also discuss managing negative media coverage, with Montesinos considering influence over journalist Marcelo Gullo. The conversation shifts to the Lori Berenson case, where Montesinos supports a civil trial to appease U.S. concerns while ensuring punishment for terrorism. They agree on forming a trusted security commission and keeping all Ecuador-related strategies confidential, especially before the 1998 elections."
10,1/28/1998,"Kouri Bumachar, Montesinos Torres",872,,x,x,video,,,,x,,,,,,,,,,,,"Montesinos reviews Alexander Kouri’s recent media debut, noting a promising 16% polling bump, though critics view his campaign as premature and risky. Kouri shares that he met with Lourdes Flores and warns that Andrade may refuse cooperation if reelected. Montesinos proposes pressuring Andrade to step aside from the 1998 race if he wants support for a 2000 presidential bid. Kouri shifts focus to positive publicity strategies, like promoting public works or a televised fundraiser, and urgently requests 4 million soles to cover Callao's public expenses. Montesinos contacts several officials, confirming Enapu’s liquidity and instructing the Viceminister of Transportation to redirect funds to Kouri’s administration. After Kouri departs, Montesinos and an aide discreetly discuss whether Kouri noticed the hidden video recording equipment."
17,4/14/1998,"Montesinos Torres, Don",876,,x,x,video,,,,,,,,,,,,,,x,,"Montesinos meets with an unidentified man—likely linked to aviation—to discuss recent trips, airplane part shortages, and anti-narcotics strategies. They focus on the evolving tactics of narco-traffickers and the need for enhanced air and port surveillance, legislative updates, and better infrastructure in customs and intelligence training. Montesinos requests a meeting with customs officials and emphasizes the importance of controlling informal currency exchanges to combat money laundering. He also reveals he’s held private, recorded meetings with imprisoned Sendero Luminoso leader Abimael Guzmán, intending to air the videos publicly to discredit Guzmán and damage the group’s image, including footage of Guzmán praising Frank Sinatra and reciting the 1993 peace agreement."
22,5/5/1998,"José Dellepiane Massa, Montesinos Torres",884,,x,x,video,,,,,,,,,,,,,,,x,"Montesinos meets with José Dellepiane Massa to request his resignation as Executive Secretary of the Comisión Ejecutiva del Poder Judicial, without offering a clear justification. Despite the unexpected nature of the request, Montesinos promises Dellepiane a prestigious post abroad in return, suggesting options like the UN or World Bank. Dellepiane signs a pre-prepared resignation letter, effective in five weeks. Montesinos proposes a formal farewell ceremony, followed by 30 days of paid vacation before Dellepiane assumes his new international role."
