id,text,speaker_std,file_id,topics
20001,"Sí. En una reunión con unos amigos, en un almuerzo, la cosa es (?).",DESCONOCIDO,41,media
20002,¿Hace poco fue?,ALEX KOURI,41,media
20003,No hace ni 15 días atrás...,DESCONOCIDO,41,media
20004,Ya.,ALEX KOURI,41,media
20005,"... había una chica preciosa, preciosa, una belleza, linda chica, tan linda que en contrario a mis conceptos de ahora, conversé con una gran res ponsabilidad.",DESCONOCIDO,41,media
20006,"¡Ah, qué bueno!",ALEX KOURI,41,media
20007,"Sí, pero eso no cubre todos los factores, hermano. La chica me hablaba, me hablaba mucho de religión, me dijo que vivía sola, tenía su pen sión. Yo le vi una moral muy sólida, digna, es increíble. Cuando la he llamado me dijo que llame a una amiga de ella, y la amiga de ella me dice ""Si quieres salir con ella son 500 dólares"". Oye, hermano, de ahí me dije ""Nunca más, nunca más me dejo (?)"".",DESCONOCIDO,41,media
20008,Joder a universitarias.,ALEX KOURI,41,media
20009,¡Qué increíble!,DESCONOCIDO,41,media
20010,¿Simpática?,ALEX KOURI,41,media
20011,"Preciosa, una chica preciosa, una cara angelical pero muy linda, puede ser modelo en cualquier pasarela del mundo.",DESCONOCIDO,41,media
20012,"¡Ah, no me diga!",ALEX KOURI,41,media
20013,"¡Pero qué increíble, ah, 22 años la chica, 22!",DESCONOCIDO,41,media
20014,Quiso usar su belleza (?).,ALEX KOURI,41,media
20015,"Me quedé sorprendido, dije: ""¡Qué tal reto para los jóvenes, ah, de sabe: quién es quién, porque los jóvenes se tienen que casar, y no saben con quién!""",DESCONOCIDO,41,media
20016,Así es.,ALEX KOURI,41,media
20017,"Cualquiera se quema con esa chica, cualquier muchacho se enamora. Y ella se ha atrevido a decirme eso porque yo soy Leo, ¿entiende?, y sabe que si yo quiero pago; pero un chico que la quiera agarrar, un chico de 28 años para casarse con ella, se lo almuerza.",DESCONOCIDO,41,media
20018,Yo iba relativamente seguido a Las Suites de Barranco. ,ALEX KOURI,41,media
20019,"Sí, me contaste.",DESCONOCIDO,41,media
20020,"¡Pucha madre! Para mí era un manejo de (?) con la chica en la habitación. Yo nunca voy, por ejemplo, a la zona de baile, jamás. Yo cuando lle go ya saben que (?) de frente a una habitación. Entonces, el asunto es con cada ca so, una chicas mamacitas, preciosas (?) y me dicen ""Por acá, que no estás en el Callao"", me dicen. ""¡Pucha, ésa es mi hermana, mi hermana Wendy!"" O sea, que (?).",ALEX KOURI,41,media
20021,"¡Pero qué poco perspicaz soy yo, ah, porque yo debí darme cuenta desde el principio! Linda chica (?).",DESCONOCIDO,41,media
20022,Es un almuerzo con parras de oro.,ALEX KOURI,41,media
20023,Claro..,DESCONOCIDO,41,media
20024,¿Y quién la presentó a (?)?,ALEX KOURI,41,media
20025,"Un pata que era también de mi edad, más o menos.",DESCONOCIDO,41,media
20026,Ya no le dio ningún (?).,ALEX KOURI,41,media
20027,"Nada, nada, porque lleva a varias, varias chicas lindas, pero ésta era la más bonita de todas.",DESCONOCIDO,41,media
20028,Él las puso en bandeja de oro.,ALEX KOURI,41,media
20029,"Sí, sí. Como si fueran amigas, ¿no? Presentó a todas para animar el ambiente.",DESCONOCIDO,41,media
20030,"O sea, que el amigo que tenías era bien cafíchero. ¡Qué gracioso!",ALEX KOURI,41,media
20031,"Pero la chica tenía su pudor, porque ella misma no me lo dijo. ""Llámeme a mi amiga tal"", para concertar.",DESCONOCIDO,41,media
20032,"Para que salga con alguna amiga, ¿no?",ALEX KOURI,41,media
20033,Era porque la chica tenía (?) afuera.,DESCONOCIDO,41,media
20034,"Ah, ya.",ALEX KOURI,41,media
20035,"""Sí"", me dijo, ""y si quieres te va a dejar perplejo"".",DESCONOCIDO,41,media
20036,Pero aquí este (?).,ALEX KOURI,41,media
20037,(?).,DESCONOCIDO,41,media
20038,"Lo que pasa es que el proceso (?) ya le mandé pedir una co tización del estudio de viaje 10, 15 días para (?). Me voy a Centroamérica, haré un viaje... No conozco Centroamérica, me falta conocer; y quiero ir a San Salvador, Nicaragua, Honduras, Guatemala, Costa Rica.",ALEX KOURI,41,media
20039,"Cuando llegues a Nicaragua si quieres te conecto con el embajador de allá, ah.",DESCONOCIDO,41,media
20040,"¡Ah, no te creo!",ALEX KOURI,41,media
20041,"Es el almirante Arnáiz, está de embajador de allá. Lo conozco.",DESCONOCIDO,41,media
20042,"Sí, claro, excelente. Es un exilio bravo…",ALEX KOURI,41,media
20043,"Tranquilo, sí.",DESCONOCIDO,41,media
20044,¿Tú conoces Honduras?,ALEX KOURI,41,media
20045,¿Ah?,DESCONOCIDO,41,media
20046,¿Honduras? Es una ciudad muy tranquila.,ALEX KOURI,41,media
20047,Me imagino que sí.,DESCONOCIDO,41,media
20048,"Mira, lugares maravillosos para pasar vacaciones es. por ejemplo, Portugal, Centroamérica, El Caribe, Grecia…",ALEX KOURI,41,media
20049,"Pero ahí no haces nada, ah.",DESCONOCIDO,41,media
20050,¿No?,ALEX KOURI,41,media
20051,Nada. Que es justamente lo que uno quiere.,DESCONOCIDO,41,media
20052,"Claro, o sea, vas, ganas 10 mil dólares mensuales, todos los sustos cubiertos y aparte de eso, bueno, haces lo que mejor te parezca, ¿no? Donde me gustaría, por ejemplo, estar de embajador un tiempo es en Eslovaquia o la República Checa, o Hungría, o Bulgaria, justo en el centro de... en el límite del mundo occidental con el mundo del Este, ¿no? Llegar hasta la zona de Asia Menor, esa pane. He estado en Medio Oriente, sí, en Sudáfrica, Madagascar. Esto me hace acordar que (?), yo salí en la relación de los parlamentarios más viajeros, yo tuve 11 viajes en mi período de congresista; o sea, si sería (?) entre la... mucho más viajera porque yo viajo duro, a mí me gusta viajar. Me metí a la Comisión de Relaciones Exteriores, estaba en contacto, me conseguía viajes acá, allá. Ahí es que escuchaba el informe este de Martha Chávez que fue real mente demoledor, fue contundente (?). Ahora, no todo es exagerado, son 100 mil dólares, tampoco no es nada del otro mundo pero con la sorna que decía, se exagera. Se la tiene jurada. La (?) básicamente a dos personas, es lo que yo he sondeado. Uno, es esta mujer (?) estuviera buscando cuando yo (?) ver su tema (?). ""Se está preparando algo gran de"", me dijo.",ALEX KOURI,41,media
20053,"Sí, ¿no?",DESCONOCIDO,41,media
20054,"Sí, para ellos Siura es un chancay, sí. Olvídate. ¡Qué gracioso! ¿Cuál es el sentimiento de...?",ALEX KOURI,41,media
20055,"Por supuesto que le dije ""Paso"", ¿no? (?) mientras que (?) no la recoja.",DESCONOCIDO,41,media
20056,"Tú sabes que en la municipalidad hubieron buenos funcio narios, a los encargados y los demás de confianza, gestión municipal, y administra ción, todo. No le han puesto ninguna (?). ""El alcalde con responsabilidad funcio nal requiere de un momento de esparcimiento"", eso me dijeron, voy a tratar de fir mar, yo me voy a encargar de todos los detalles. Eso espero, compadre (?) la muni cipalidad sino que (?). Exacto. ¡Qué gracioso es esto!",ALEX KOURI,41,media
20057,Pero ese tipo de citas para personas como tú son peligrosas.,DESCONOCIDO,41,media
20058,"Claro, salvo que tú lo lleves a otro lugar.",ALEX KOURI,41,media
20059,Claro. No te conviene.,DESCONOCIDO,41,media
20060,"O sea, no a donde te llevan, sino donde tú llevas, porque te Levan a un lugar, compadre, te chantajean.",ALEX KOURI,41,media
20061,Sí.,DESCONOCIDO,41,media
20062,"Tú crees que, ya no ahora, sino antes, yo decía: ""¡Pucha que mi teléfono está chuponeado (?)!"" Es increíble cada barbaridad que hablo, que ac¿ las mujeres... hablo cosas muy crudas, a mí me gusta cochinear. Me grababan to das las conversaciones, quedé escandalizado.",ALEX KOURI,41,media
20063,Pero eso no te hace ningún daño.,DESCONOCIDO,41,media
20064,"Ah, no, no. Aquí en el Perú, al contrario.",ALEX KOURI,41,media
20065,"Sí te haría daño, ¿sabes qué? (?)",DESCONOCIDO,41,media
20066,"No, tú sabes que a raíz de estos problemas con la chica esa. de todos los titulares. De allí, curado. No voy a discotecas, me cuido muchísimo al salir, sólo salgo cor. una prima mía que es hermosa, bien simpática. Y nos cochineamos como es… Tú sabes que un día domingo estuvimos almorzando en el Costa Verde, por ejem plo, y me encontré con Sandoval, con el viceministro chino de Comercio, con una delegación de chinos, (?) salimos como enamorados, como enamorados. Y un día estaba una chica bien simpática y me dice: ""Soy Foro Democrático"". ""Oye, ;sabes qué? Si yo salgo contigo es porque yo no puedo ir solo porque no los aguanto"", le digo. Quería un apoyo, que lo apoye con un concierto, de esos que pueden (?). Alex, muchas gracias, doctor . Yo le digo: Mira, ve, todo (?), pero yo sé con quiér. (?) ... tipo de mujeres me gusta, pero prefiero (?)"". Y la invité el día sábado para llevarla a Ventanilla (?) hasta la zona esta de los (?) por ahí.",ALEX KOURI,41,media
20067,¿Pero qué mujer se te puede resistir?,DESCONOCIDO,41,media
20068,Muchísimo.,ALEX KOURI,41,media
20069,"Tú eres soltero, joven.",DESCONOCIDO,41,media
20070,Claro.,ALEX KOURI,41,media
20071,"Tú eres una persona muy agradable, de una política tota! ¿Qué mujer se te puede resistir?",DESCONOCIDO,41,media
20072,"Bueno, te agradezco. Primero, me pasó algo simpático, es una chica bien parada (?) que está viendo en (?). Pero es a raíz de que (?) esa misma semana había salido un escándalo (?) mujeres v de ahí es que las chicas ni hablar, él está casado con (?). Pero me dejó encantado la. chica, bien guapita, bien simpática y bien en su sitio. Sabes qué? Tus ojos me han dejado, pero ¿sabes qué?, totalmente desubicado"", le ¿£0, ""por favor (?)"". ""¿Sabes qué? Te lo agradezco pero yo tengo otro compromi so*, y eso que su cuñada me dijo que estaba sola (?).",ALEX KOURI,41,media
20073,"No, bueno, pero ella te lo dice (?) justamente para incentivar.",DESCONOCIDO,41,media
20074,"Ah sí, para incentivar, pero justamente me fui de cara.",ALEX KOURI,41,media
20075,Es que como no sabía que (?). Prácticamente has ido a pedirle.,DESCONOCIDO,41,media
20076,"¡Ah, insistente todavía (?)! No me quejo, la verdad que es de lo más divertido, de lo más divertido, no me puedo quejar.",ALEX KOURI,41,media
20077,"Pero la chica con la que estabas tú también era bien guapa, bien simpática...",DESCONOCIDO,41,media
20078,"Sí, muy atractiva, una gran chica, muy correcta, muy de cente, es una persona preparada, todos los atributos.",ALEX KOURI,41,media
20079,"Pero se la pidieron (?). Se iba a casar el 20 de noviembre, ¿no?",DESCONOCIDO,41,media
20080,"Sí, le voy a mandar un ramo de flores ese día. Es más, por el grato recuerdo de que nunca se consumó.",ALEX KOURI,41,media
20081,Te va a doler la cabeza.,DESCONOCIDO,41,media
20082,"Ja, ja, ja.",ALEX KOURI,41,media
20083,"Oye, el ministro sobre el tema de mujeres es bien tranquilo, ¿no?",DESCONOCIDO,41,media
20084,"No creas, ah.",ALEX KOURI,41,media
20085,Tengo la impresión.,DESCONOCIDO,41,media
20086,"Es bien asolapado. Es mujeriego bien asolapado. Lo que pa sa es que tiene y se muere de miedo. O sea, que, y él es un tipo que (?) su mujer lo maneja de tal manera que el tipo…",ALEX KOURI,41,media
20087,Es bien solapa. Conversa como un sátiro (?).,DESCONOCIDO,41,media
20088,"Se cuida mucho, es un mátalas callando. Además, él es casado; además, tiene miedo que su mujer se entere. Beto si es un tipo bien movido.",ALEX KOURI,41,media
20089,"No lo conozco, ¿sabes que nunca lo he visto en persona?",DESCONOCIDO,41,media
20090,¿No lo has visto a Beto?,ALEX KOURI,41,media
20091,Nunca.,DESCONOCIDO,41,media
20092,"Es muy simpático, es muy simpático. Es muy jovial de buen trato, así te trata…",ALEX KOURI,41,media
20093,¿Él es mayor que tú?,DESCONOCIDO,41,media
20094,"Él es mayor de los tres. No es tan locuaz como Willy pero es muy ameno. Él sabe que no es… El más duro de todos soy yo, soy totalmente duro, frío, distante. Es mi carácter, ¿no? Tú sabes cómo soy yo. Cuando tomo confianza ahí sí atraco las cosas eviden temente, pero para tomar confianza me demoro.",ALEX KOURI,41,media
20095,"¿Sabes que en un matrimonio la vez pasada conocí a una chica Fantúnez, una chica muy guapa? Me dijo que era atleta, no sé qué cosa. Me dijeron que había sido esposa de tu hermano...",DESCONOCIDO,41,media
20096,De Beto.,ALEX KOURI,41,media
20097,De Beto,DESCONOCIDO,41,media
20098,"Juliana Fantúnez (?), una gran chica, una adoración, yo la adoro y la quiero mucho. Tienen tres hijos.",ALEX KOURI,41,media
20099,"Ah, tienen tres hijos.",DESCONOCIDO,41,media
20100,"Tres. Pero Beto tiene un hijo con otra chica, y ahora sale con otra. Ése sí ha sido arrasador.",ALEX KOURI,41,media
20101,¿Ustedes son tres nada más?,DESCONOCIDO,41,media
20102,"Por parte de padre y madre, tres. Con respecto al mayor ? Y mi papá tiene -digamos- una relación ahora, con la que tiene dos hombre también. En ese aspecto mi mamá les inculcó, a Willy más que a Beto, el hecho ¿t decirle: ""No, son tres nada más"". Tengo tres por parte de padre y madre y dos reé por parte de padre, que son muy buenos chicos, son sanos, trabajadores. Yo sí quiero apoyarlos en sus estudios. Uno está estudiando en la Universidad San Ignacio de Loyola.",ALEX KOURI,41,media
20103,"La vez pasada que estábamos conversando con Willy (?) tu hermano Kouri, medio hermano, ¿no?, medio hermano. ""Tú siempre has dicho que es tu hermano"". ""No, no"", dice (?), ""te has confundido con las encuestas. Cuan do pasa el 25% recién le digo que es mi hermano"".",DESCONOCIDO,41,media
20104,"¡Qué desgraciado! Entonces, yo me siento comprometido con ellos. Pedro es un muchacho que tiene una responsabilidad que no sé (?). Muy bien, muy bien.",ALEX KOURI,41,media
20105,¿Son chicos?,DESCONOCIDO,41,media
20106,¿Ah?,ALEX KOURI,41,media
20107,Chicos todos.,DESCONOCIDO,41,media
20108,"18 años, 17 años.",ALEX KOURI,41,media
20109,"(?) ¿Tú conoces a la doctora Nora Mirabal?, o sea, (?) me ha llamado (?).",DESCONOCIDO,41,media
20110,¿Nora Mirabal? No tengo el gusto de…,ALEX KOURI,41,media
20111,Me dijo que había estado trabajando en el Callao (?).,DESCONOCIDO,41,media
20112,¿Ah?,DESCONOCIDO,41,media
20113,"Lo han arranchado (?), no la conozco a la doctora.",ALEX KOURI,41,media
20114,Siempre es conveniente también que te contactes con...,DESCONOCIDO,41,media
20115,"Sí, tengo una buena relación (?).",ALEX KOURI,41,media
20116,(?) coordinar.,DESCONOCIDO,41,media
20117,(?) un día tiene miedo (?). La otra vez que hablé le di un fierrazo a la Policía por tener la delincuencia en el Callao (?) me tumbaba a todas las asociaciones (?) eso ha sido a fines del año pasado (?) ¡qué pasa aquí!,ALEX KOURI,41,media
20118,"Claro, claro, por eso (?) les presiona a ellos, es una persona (?).",DESCONOCIDO,41,media
20119,"Por eso es que suena típico para ellos (?) no me hacen caso a mí, sino (?).[Risas.]Debo sacar ventaja comparativa, ¿no? Contradictorio, ¿no?",ALEX KOURI,41,media
20120,Este tipo de situaciones también (?).,DESCONOCIDO,41,media
20121,"Mañana ya junto con la (?) se va a copar los medios y la Constitución el día de mañana (?) Expreso que sin duda le va a doler a Andrade. Porque (?) sí es verdad que ha llegado a un compromiso conmigo, sin embargo, la comisión política de su partido Somos Perú decidió lo contrario (?) dos cosas, (?) cuando Andrade se retiró del Partido Popular Cristiano. Él dijo que era un hombre independiente y no se sometía a las cúpulas ni mucho menos a las presiones de. grupo de poder de su partido, cosa que así sucede ahora. Y si eso (?) fuera más grave es que un hombre que no puede liderar su movimiento no puede liderar un país pues. Eso lo van a sacar bien. Así es la vaina.",ALEX KOURI,41,media
20122,"Tú declaraste que él había hecho un trato contigo; o sea, un acuerdo contigo, ¿no?",DESCONOCIDO,41,media
20123,"Finalmente lo había reconocido (?) radio (?) acuerdo con Álex Kouri (?) la comisión política del partido diciendo lo contrario. ""Yo luché, yo le invoqué"", dijo, yo hablé. Pero bueno, fue una decisión (?).",ALEX KOURI,41,media
20124,"Sí, pero si no fuera (?) ¡pucha! Andrade, ¿no?",DESCONOCIDO,41,media
20125,"Es que no es fuerte por él, es fuerte por la independencia (?) sólido en la medida en que ellos garanticen (?) que tú recibes él fuera otro, fue ra su liderazgo; entonces, estaría fuera.",ALEX KOURI,41,media
20126,"No, totalmente, totalmente. No tiene ningún valor.",DESCONOCIDO,41,media
20127,"Es una paz sepulcral la que hay aquí, ¿no? Como bien tú dices, es una cárcel dorada, ¿no?",ALEX KOURI,41,media
20128,"Acá tiene diez años, años (?) fuerza bruta...",DESCONOCIDO,41,media
20129,"Es temperamental, ¿no? Es que en la calle hay un carsamontón contra él (?).",ALEX KOURI,41,media
20130,"Todos (?), todos (?).",DESCONOCIDO,41,media
