topic,emotion,mean
canal4,Anger,0.2547525568054601
canal4,Disgust,0.15659523898630137
canal4,Enthusiasm,0.2716288033721801
canal4,Fear,0.1463893907609649
canal4,Hope,0.09738731725224072
canal4,Joy,0.16791835579243086
canal4,None of Them,0.13248831600416666
canal4,None of them,0.6387935055646332
canal4,Pride,0.13426043751148564
canal4,Sadness,0.08888186594268503
"canal4, media",Anger,0.24060811906637364
"canal4, media",Disgust,0.1082772206
"canal4, media",Enthusiasm,0.08824460470615034
"canal4, media",Fear,0.16102715553571428
"canal4, media",Hope,0.09760862761337047
"canal4, media",Joy,0.14560769623913045
"canal4, media",None of them,0.6470238228847497
"canal4, media",Pride,0.16074694440413223
"canal4, media",Sadness,0.09662946117636363
"canal4, media, ivcher",Anger,0.26224088228125
"canal4, media, ivcher",Disgust,0.2708516995714286
"canal4, media, ivcher",Enthusiasm,0.09755570321764706
"canal4, media, ivcher",Fear,0.09070123320000001
"canal4, media, ivcher",Hope,0.08274296125
"canal4, media, ivcher",Joy,0.09852059512727272
"canal4, media, ivcher",None of them,0.6115042058043478
"canal4, media, ivcher",Pride,0.115921286
"canal4, media, ivcher",Sadness,0.14948164982142859
"canal4, media, state_capture",Anger,0.20661709654385965
"canal4, media, state_capture",Disgust,0.573326155
"canal4, media, state_capture",Enthusiasm,0.06865762554274193
"canal4, media, state_capture",Fear,0.11881351883333333
"canal4, media, state_capture",Hope,0.09718290503398058
"canal4, media, state_capture",Joy,0.1751393545471698
"canal4, media, state_capture",None of them,0.7001935331135135
"canal4, media, state_capture",Pride,0.18081922596296296
"canal4, media, state_capture",Sadness,0.13667200659090908
"canal4, wiese",Anger,0.26384736696861316
"canal4, wiese",Disgust,0.11811717268421053
"canal4, wiese",Enthusiasm,0.08076374507831932
"canal4, wiese",Fear,0.14559136003645834
"canal4, wiese",Hope,0.09758811053358209
"canal4, wiese",Joy,0.16715106742093022
"canal4, wiese",None of them,0.6336550010687023
"canal4, wiese",Pride,0.15987459281064814
"canal4, wiese",Sadness,0.08997262832289157
ecuador,Anger,0.2348128318217099
ecuador,Disgust,0.22778268505555554
ecuador,Enthusiasm,0.27514953112391655
ecuador,Fear,0.18193948091875
ecuador,Hope,0.1215821846003413
ecuador,Joy,0.12300099767268723
ecuador,None of Them,0.11499958764705882
ecuador,None of them,0.640788191225015
ecuador,Pride,0.15928318417011494
ecuador,Sadness,0.11107081306206897
"ecuador, media",Anger,0.19722496194172495
"ecuador, media",Disgust,0.25358025
"ecuador, media",Enthusiasm,0.08465579721865828
"ecuador, media",Fear,0.18558579827941177
"ecuador, media",Hope,0.13353630240862832
"ecuador, media",Joy,0.11996933687095436
"ecuador, media",None of them,0.65291534753886
"ecuador, media",Pride,0.17703756011257143
"ecuador, media",Sadness,0.10192548936690647
foreign,Anger,0.20194610258712328
foreign,Disgust,0.2106043091111111
foreign,Enthusiasm,0.411725111299948
foreign,Fear,0.1675941296109489
foreign,Hope,0.09653745170946793
foreign,Joy,0.14394401069657659
foreign,None of Them,0.19749173826359448
foreign,None of them,0.6465393450355646
foreign,Pride,0.1267508549869253
foreign,Sadness,0.12481758917130978
foreign,NA,NA
"foreign, public_officials",Anger,0.22264821215833333
"foreign, public_officials",Disgust,0.055443175
"foreign, public_officials",Enthusiasm,0.6637546275391304
"foreign, public_officials",Fear,0.10869390453846155
"foreign, public_officials",Hope,0.06622088248070175
"foreign, public_officials",Joy,0.15371575652380953
"foreign, public_officials",None of Them,0.14990974616666666
"foreign, public_officials",Pride,0.10843264832142857
"foreign, public_officials",Sadness,0.09026017794736842
"foreign, safety",Anger,0.22427673338247864
"foreign, safety",Disgust,0.33223848
"foreign, safety",Enthusiasm,0.1332840620034091
"foreign, safety",Fear,0.203974232
"foreign, safety",Hope,0.12235071012165605
