"id","speaker_std","file_id","topics","sentence_id","text","emotion_pred","emotion_pred_name","label_0","label_0_prob","label_1","label_1_prob","label_2","label_2_prob"
11597,"BURNEI",3,"public_officials, state_capture",11597,"Son 13.",5,"Enthusiasm","Enthusiasm",0.962234,"Hope",0.012592908,"Pride",0.008173386
813,"KOURI",10,"municipal98",813,"Explico.",5,"Enthusiasm","Enthusiasm",0.9510721,"Hope",0.01596968,"Anger",0.012172984
8001,"BELTRAN",23,"ecuador",8001,"Eso es para recordar.",3,"Sadness","Sadness",0.6647283,"Enthusiasm",0.15185906,"Pride",0.060889523
1143,"MONTESINOS",10,"municipal98",1143.1,"Hay una seguridad discreta, y pongo ahí porque en la esquina está la Embajada de Bolivia donde pusieron el coche-bomba, pero el coche-bomba estaba en el edificio.",5,"Enthusiasm","Enthusiasm",0.45056942,"None of Them",0.15548366,"Anger",0.1348401
15300,"BOROBIO",34,"municipal98, media",15300,"Estos son suyos, hay que preparar mil 38 dólares por foto.",5,"Enthusiasm","Enthusiasm",0.9460921,"Anger",0.02139554,"Hope",0.009192051
8920,"ARANCIBIA",25,"media, foreign, safety, state_capture",8920.5,"¿Cómo está el pensamiento y cómo se mueven us tedes alrededor del problema que tienen instantáneo?",5,"Enthusiasm","Enthusiasm",0.85866934,"Pride",0.042980157,"Anger",0.03274243
17627,"VERA",36,"promotions",17627,"Ya, ¿a la Comandancia General?",5,"Enthusiasm","Enthusiasm",0.92513347,"Anger",0.028687298,"Hope",0.01400625
18331,"MONTESINOS",37,"foreign, public_officials",18331.2,"Le voy a contar, por ejemplo, un trato de un amigo que tengo yo, este muchacho también sufre del mismo problema de consumo y ¿qué pasa?",5,"Enthusiasm","Enthusiasm",0.62374634,"Anger",0.21549869,"Sadness",0.0942591
6818,"CUCULIZA",20,"lucchetti_factory, safety",6818.2,"Por algún lado ese maricón ya no se puede más.",0,"Anger","Anger",0.5173079,"Enthusiasm",0.27810407,"Sadness",0.14678831
5297,"MONTESINOS",16,"reelection, safety, state_capture",5297.8,"Bueno, no había decisión no había mando, nada; pero todo se orientaba por inercia solamente acá.",5,"Enthusiasm","Enthusiasm",0.4871938,"Anger",0.38578758,"Sadness",0.07614526
15041,"MONTESINOS",34,"municipal98, media",15041,"Está muy bien.",4,"Joy","Joy",0.73341316,"None of Them",0.10299155,"Enthusiasm",0.08227754
8455,"ARANCIBIA",25,"media, foreign, safety, state_capture",8455,"Y creo que eso, hay otra forma de hacerlo.",5,"Enthusiasm","Enthusiasm",0.6785974,"Pride",0.14131473,"Hope",0.07800139
7625,"MONTESINOS",21,"reelection, state_capture",7625,"Claro.",5,"Enthusiasm","Enthusiasm",0.8931395,"Hope",0.04158619,"Pride",0.020939406
14348,"BOROBIO",33,"referendum, municipal98, media",14348.1,"Hola.",5,"Enthusiasm","Enthusiasm",0.9167635,"Joy",0.03595338,"Hope",0.019133093
17248,"MONTESINOS",35,"referendum, reelection, media, state_capture",17248,"(Ininteligible).",0,"Anger","Anger",0.8107651,"Enthusiasm",0.06913239,"Disgust",0.06131192
5404,"DESCONOCIDO",17,"safety",5404,"Ellos quieren volar.",5,"Enthusiasm","Enthusiasm",0.33659682,"Hope",0.26595646,"Pride",0.2439342
13405,"HURTADO MILLER",33,"referendum, municipal98, media",13405.1,"Oiga, señor Lúcar, si no quiere debatir voy a tener que invitarlo a una carrera de motociclistas como ha hecho el primer ministro Valle Riestra, para ver si me acepta alguna competencia.",5,"Enthusiasm","Enthusiasm",0.76158583,"Anger",0.14650747,"Pride",0.032232407
19836,"MONTESINOS",40,"referendum, reelection",19836,"A Honduras se ha ido (ininteligible).",0,"Anger","Anger",0.64518714,"Enthusiasm",0.27042466,"Sadness",0.054385286
