speaker	speech	speaker_std
BACKGROUND	﻿Declaraciones de Víctor Andrés García Belaunde y Javier Alva Orlandini. (del 25 de marzo de 1997). Estos videos no registran una conversación en el SIN sino las declaraciones como testigos de Javier Alva Orlandini y de Víctor Andrés García Belaunde en un juicio realizado en la Corte del Condado de Dade en Florida, Estados Unidos. Se ignora cómo llegó este video y los siguientes a la vladiteca de VMT.	BACKGROUND
BACKGROUND	[La entrevista se realiza en el idioma inglés, traducido al castellano.]	BACKGROUND
La señora	Levante su mano derecha, por favor. Usted jura que este testimonio, que va a dar en esta causa, es la verdad y nada más que la verdad, con el favor de Dios.	DESCONOCIDO
El señor Javier Alva	Sí.	DESCONOCIDO
El señor Neil Lewis	Señor Alva, mi nombre es Neil Lewis, y yo represento al señor Sigmund Markovich, que se encuentra sentado a mi derecha, en un procedi miento de la Corte, en la Corte del Circuito del Condado de Dade en la Florida. El señor Burnet, que se encuentra sentado acá, y yo vamos a hacerle algunas pre guntas bajo juramento. Si tiene alguna pregunta y si hago una pregunta que no se entiende, por favor, siéntase con libertad de pedirme que vuelva a repetir la próxi ma pregunta y voy a tratar de preguntársela en una forma más apropiada. ¿Podría dar su nombre completo, por favor?	LEWIS
El señor Javier Alva	Javier Alva Orlandini.	DESCONOCIDO
El señor Neil Lewis	¿Dónde vive usted, doctor Alva?	LEWIS
El señor Javier Alva	En Lima.	DESCONOCIDO
El señor Neil Lewis	¿Y cuál es su ocupación?	LEWIS
El señor Javier Alva	Mi profesión: abogado, actualmente soy miembro del Con greso del Perú.	DESCONOCIDO
El señor Neil Lewis	Voy a llamar su atención a la época donde antes que usted fuera miembro del Congreso. ¿Usted tuvo otro tipo de trabajo aparte de ser con gresista?	LEWIS
El señor Javier Alva	En los últimos 40 años mi actividad se ha repartido, se ha distribuido entre ser abogado y político. Entre 1963 y 1968 fui diputado por Li ma, Perú; además, entre 1965 y 1966 Ministro de Gobierno; entre 1980 y 1985 he sido Senador y Vicepresidente del Perú; entre 1990 y 1992 Senador, y entre 1995 y el día de hoy, miembro del Congreso.	DESCONOCIDO
El señor Neil Lewis	Gracias. Su conexión con su posición política, ¿usted conoció a un caballero llamado Percovich?	LEWIS
El señor Javier Alva	Sí, Luis Percovich Roca.	DESCONOCIDO
