speaker	speech	speaker_std
BACKGROUND	"﻿Reunión de Francisco Tudela y Vladimiro Montesinos. (Sin fecha, después de la segunda vuelta, antes del 28 de julio del 2000.). VMT convence a Francisco Tudela de aceptar que el Congreso sea presidido por Martha Hildebrandt; asimismo conversan la posibilidad de que el vicepresidente ocupe el premierato. Luego, Tudela manifiesta su desagrado con el papel jugado por Beatriz Boza al frente de Promperú.y sugiere su inmediata destitución. VMT informa que está reclutando congresistas para reforzar su grupo y que ya cuenta con ""el hermano de Kouri que está con nosotros,ya está comprometido y todo..."""	BACKGROUND
Desconocido	(?) y al final y por último voy a decir que estamos aprovechando, aun cuando estén los apristas, las cosas de la misión esta, aprovechando tus sugerencias (?) una reforma electoral, ¿no es cierto?, aprovechando eso (?).	DESCONOCIDO
El señor Francisco Tudela	Ahora, ¿cuál es el criterio ahí, si nosotros esperamos que (?)?	TUDELA
Desconocido	Pero (?) pedían la combinación de los dos. Y después parece que hay un proyecto de Torres y Torres Lara en ese sentido, pero...	DESCONOCIDO
El señor Francisco Tudela	Exacto.	TUDELA
Desconocido	En el fondo reclama, de eso no nos preocupamos mucho, porque en el descanso del procesamiento un proyecto de ley (?) correspondencia. Lo importante es denunciar.	DESCONOCIDO
El señor Francisco Tudela	Porque la Constitución está llena de frivolidades.	TUDELA
Desconocido	Sí, (?).	DESCONOCIDO
Desconocido	Estamos pagando (?).	DESCONOCIDO
Desconocido	Así es, estamos pagando todas esas irregularidades, si aceptan un poco alegremente porque alguien la propuso (?) por qué no.	DESCONOCIDO
El señor Francisco Tudela	Es un derecho de (?).	TUDELA
Desconocido	(?).	DESCONOCIDO
El señor Francisco Tudela	(?) la tesis y cuando llegaron a (?).	TUDELA
BACKGROUND	[Risas.]	BACKGROUND
Desconocido	No, no, no, la locura (?).	DESCONOCIDO
Desconocido	Eso no es un derecho, (?) se produce o no se produce (?).	DESCONOCIDO
BACKGROUND	[Ruidos.]	BACKGROUND
El señor Francisco Tudela	Es extraconstitucional.	TUDELA
Desconocido	Es extraconstitucional.	DESCONOCIDO
El señor Francisco Tudela	Cansa decir (?).	TUDELA
Desconocido	(?) su esposa (?).	DESCONOCIDO
El señor Francisco Tudela	¿Cuándo se va a París?	TUDELA
Desconocido	Creo que en tres días.	DESCONOCIDO
El señor Francisco Tudela	Nunca lo conocí.	TUDELA
Desconocido	Es interesante, un tipo muy argentino, un gordo, (?) pero interesante, inteligente, con mucha cultura. Novelista, ha escrito algunos libros, uno se llama Los perros del paraíso. Es una conquista interesante, muy interesante. Bueno, es un tipo (?), o sea, aquí no vaciló en atacar a quien fuera.	DESCONOCIDO
El señor Francisco Tudela	Villegas (?).	TUDELA
Desconocido	Pero (?) muy bueno, es un hombre muy mesurado, o sea, muy (?) estupendo, así como tenemos muy buena corbata era terrible.	DESCONOCIDO
BACKGROUND	[Risas.]	BACKGROUND
El señor Francisco Tudela	Y los (?).	TUDELA
Desconocido	En la conversación personal me parece que se traba un poquito. Es un hombre también muy inteligente, habla muy bien español, (?) este año. pero en lo demás es terrible, pero yo voy a tener que retirarme porque a las 12 con decoro a ese argentino.	DESCONOCIDO
El señor Vladimiro Montesinos	Tú (?).	MONTESINOS
Desconocido	Sí.	DESCONOCIDO
El señor Vladimiro Montesinos	(?).	MONTESINOS
Desconocido	Esto es importantísimo (?).	DESCONOCIDO
El señor Vladimiro Montesinos	"No, claro, doctor, porque yo pienso que ente rados cada uno de ellos: ""Señores, aquí está la mejor demostración"". Primero, que el tema del fraude hay que desterrarlo y, además, está en la (?) que no ha habido fraude. Puede haber habido anomalías o iniquidades... Está mal utilizada la pala bra, yo quería, porque en semántica o en el diccionario ""iniquidades"" es otro con cepto, es una cuestión…"	MONTESINOS
Desconocido	Eso viene de inicuo.	DESCONOCIDO
El señor Vladimiro Montesinos	Así es.	MONTESINOS
Desconocido	"En realidad no son ""iniquidades"" sino ""inequidades""..."	DESCONOCIDO
El señor Vladimiro Montesinos	Por eso, pero…	MONTESINOS
Desconocido	"La palabra ""inequidades"" no existe."	DESCONOCIDO
El señor Vladimiro Montesinos	No existe, pues, por eso es una mala...	MONTESINOS
El señor Francisco Tudela	"Claro, sobre la equidad hay un fallo del caso de (?), en el cual la Corte Internacional de la Haya (?) y dice en el fallo ""equidad no es igual, no es igualdad"". Así dice la Corte, equidad no es igualdad, punto."	TUDELA
Desconocido	Claro, la equidad no es igualdad dentro de los términos (?) es dar a cada uno (?) proporcional.	DESCONOCIDO
Desconocido	Proporcional.	DESCONOCIDO
El señor Vladimiro Montesinos	La proporcionalidad, en el sentido de la proporcionalidad, si tú tienes más posibilidades te dan más y menos posibilidades te dan menos. Ésa es la equidad.	MONTESINOS
Desconocido	Claro.	DESCONOCIDO
