speaker	speech	speaker_std
BACKGROUND	﻿Reunión del Almirante Patricio Arancibia y Vladimiro Montesinos. (del 28 de mayo de 1998).En esta reunión el almirante chileno está acompañado por otro oficial de su institución, mientras que VMT asiste junto al almirante peruano Antonio Ibárcena. Recuerdan las condiciones del golpe de Augusto Pinochet y repasan la historia chilena de los últimos 25 años. Luego, revisan la situación de Luchettiy VMT informa que los ha apoyado bastante, contestando Arancibia que los dueños de Luchetti están encantados con el apoyo recibido del SIN. Asimismo, comentan la situación de las denuncias sobre Derechos Humanos en Chile y el Perú. Intercam bian pareceres negativos sobre algunos prelados progresistas de la Iglesia Católi ca. VMT recuerda con mucha nostalgia cómo años atrás no existían Organizacio nes No Gubernamentales, ONGs, especializadas en DD.HH. Finalmente, pasan re vista a la situación de la frontera peruano-ecuatoriana.	BACKGROUND
BACKGROUND	[Ingresan los almirantes Ibárcena Amico y Patricio Arancibia, y un oficial que no se logra iden tificar.]	BACKGROUND
El señor Vladimiro Montesinos	Almirante.	MONTESINOS
El señor Patricio Arancibia	¿Cómo esta usted? Muy buenos días.	ARANCIBIA
El señor Vladimiro Montesinos	Pase.	MONTESINOS
El señor Patricio Arancibia	Gracias. Gusto de conocerle.	ARANCIBIA
El señor Vladimiro Montesinos	De igual manera. Asiento.	MONTESINOS
El señor Antonio Ibárcena	Gracias, doctor.	IBÁRCENA
El señor Vladimiro Montesinos	¿Cómo lo están tratando acá?	MONTESINOS
El señor Patricio Arancibia	Me han tratado de maravilla, doctor, hoy día salimos a recorrer la playa a caballo.	ARANCIBIA
BACKGROUND	[Ingresa el mozo, quien consulta a cada asistente si desea le sirvan algo, el almirante Patricio pi de vodka, Montesinos whisky...]	BACKGROUND
El señor Vladimiro Montesinos	Ya.	MONTESINOS
El señor Patricio Arancibia	Fue espectacular, pienso esas raras coincidencias de que los dos almirantes somos equitadores.	ARANCIBIA
El señor Vladimiro Montesinos	Sí, sí, sí.	MONTESINOS
El señor Patricio Arancibia	El día estaba maravilloso.	ARANCIBIA
El señor Vladimiro Montesinos	Sí, sí, sí como para cabalgar es fabuloso. Por Villa han ido?	MONTESINOS
El señor Antonio Ibárcena	Sí, a Cancui.	IBÁRCENA
El señor Vladimiro Montesinos	Ya.	MONTESINOS
El señor Antonio Ibárcena	Que queda aquí por la playa.	IBÁRCENA
El señor Vladimiro Montesinos	Claro, es una zona muy agradable.	MONTESINOS
El señor Antonio Ibárcena	¿Hemos estado más de una hora?	IBÁRCENA
El señor Patricio Arancibia	Más de una hora, diría yo, y el sol hoy día estaba lindo.	ARANCIBIA
El señor Vladimiro Montesinos	No, hoy día el día es muy agradable, porque ha bía bajado un poco la temperatura acá en el Perú. Después de casi un año un calor.	MONTESINOS
El señor Antonio Ibárcena	Pero con una excelente (?).	IBÁRCENA
El señor Patricio Arancibia	Además que Antonio, doctor, me juró y me rejuró que me habían traído un caballo mansito. Y juró en vano, así que yo se lo acuso.	ARANCIBIA
El señor Antonio Ibárcena	Y en eso te agarró una ola fuerte.	IBÁRCENA
El señor Patricio Arancibia	Me agarró una ola, íbamos caminando.	ARANCIBIA
El señor Vladimiro Montesinos	Se metieron en el agua.	MONTESINOS
El señor Antonio Ibárcena	Claro.	IBÁRCENA
El señor Vladimiro Montesinos	No me digan.	MONTESINOS
El señor Patricio Arancibia	Me agarró una ola y me iba yo...	ARANCIBIA
El señor Antonio Ibárcena	Se espantó, pero lo manejó bien.	IBÁRCENA
El señor Vladimiro Montesinos	Ah, ya. ¿No ha habido accidente?	MONTESINOS
El señor Patricio Arancibia	No. Me muero allí.	ARANCIBIA
El señor Vladimiro Montesinos	Lógico.	MONTESINOS
BACKGROUND	[Diálogo ininteligible]	BACKGROUND
El señor Antonio Ibárcena	Total, nos demorábamos tanto que creían que nos habíamos caído.	IBÁRCENA
El señor Vladimiro Montesinos	Ahogados no han salido.	MONTESINOS
El señor Antonio Ibárcena	Sí, llegamos (?).	IBÁRCENA
El señor Patricio Arancibia	Si llegamos a caer en las instalaciones petroleras.	ARANCIBIA
El señor Antonio Ibárcena	Hasta donde está el muelle de petróleo.	IBÁRCENA
El señor Vladimiro Montesinos	Ah, hasta abajo.	MONTESINOS
