speaker	speech	speaker_std
BACKGROUND	﻿Apertura de instrucción a los detenidos por el Plan Siberia. (Sin fecha). Este video registra la toma de generales de ley a varios detenidos por el tráfico de armas a las FARC y posteriormente su traslado a diversos penales de la capital.	BACKGROUND
BACKGROUND	[Esta parte de la grabación corresponde al día 4 de setiembre de 2000 según fecha que se indica en la filmación.]	BACKGROUND
BACKGROUND	[Se observa un pasadizo vacío.]	BACKGROUND
Desconocido	Donde se encuentran detenidos los…	DESCONOCIDO
La señora	Tráelos.	DESCONOCIDO
BACKGROUND	[Salto en la grabación.]	BACKGROUND
BACKGROUND	[Se observa a una señora abriendo la puerta de uno de los calabazos acompañada de un señor, en el mismo pasadizo.]	BACKGROUND
Desconocido	Nos encontramos en el octavo piso del edificio 15 de setiembre de la Policía Nacional del Perú, donde se observan los calabozos en los que se encuentran detenidas las personas integrantes de la banda de traficantes de armas del caso Siberia. Éstos son los calabozos. Acá se observan los calabozos.	DESCONOCIDO
BACKGROUND	[Se observa a la esposa del Luis Frank Aybar, que sale de uno de esos calabozos y se dirige hacia el lugar donde se encuentra el fiscal y el juez, que la están esperando.]	BACKGROUND
BACKGROUND	[Salto en la grabación.]	BACKGROUND
BACKGROUND	[Esta pane de la grabación corresponde al día 5 de setiembre de 2000, según fecha que se indi ca en la filmación.]	BACKGROUND
BACKGROUND	[Se observa un equipo de monitoreo y grabación en funcionamiento.]	BACKGROUND
Desconocido	Las 06 horas y 53 minutos de la mañana, nos encontramos en las instalaciones del centro de detenidos de la DININCRI. Acá podemos observar el circuito cerrado donde se monitorean y graban todos los pa sadizos y ambientes correspondientes a este departamento del centro de detenidos. Se observa ahí el interior de cada celda.	DESCONOCIDO
BACKGROUND	[Salto en la grabación.]	BACKGROUND
BACKGROUND	[Se observa una sala en la que en adelante se desarrollará la toma de generales de ley de los de tenidos relacionados al caso Siberia. Se puede apreciar la presencia de la señora juez, de un se ñor que se encargará de tomar las generales de ley y las registrará en una computadora, y orre que firma un documento, entre otros.]	BACKGROUND
La señora Juez	Ya señor, éste es el (?).	DESCONOCIDO
BACKGROUND	[Salto en la grabación.]	BACKGROUND
Desconocido	Liliana Villarreal Landeo, que sale de los calabozos con dirección a una diligencia con la señora juez.	DESCONOCIDO
BACKGROUND	[Salto en la grabación.]	BACKGROUND
BACKGROUND	[Se observa nuevamente la sala.]	BACKGROUND
BACKGROUND	[Salto en la grabación.]	BACKGROUND
BACKGROUND	[Se observa a la señora Liliana Villarreal en la sala antes descrita.]	BACKGROUND
La señora Juez	Señora Villarreal Landeo, voy a tomarle solamente sus generales de ley (?) las medidas que ha dictado el juzgado en cuanto a este proceso y la inves tigación se van a llevar a cabo en otro juzgado. Por favor señora, sus datos al señor.	DESCONOCIDO
La señora Liliana Villarreal	Muy bien.	DESCONOCIDO
Desconocido	Señora Villarreal, ¿Villarreal con una erre o con dos erres?	DESCONOCIDO
La señora Liliana Villarreal	Con doble erre.	DESCONOCIDO
Desconocido	¿Con doble erre?	DESCONOCIDO
La señora Liliana Villarreal	Sí.	DESCONOCIDO
Desconocido	¿Edad?	DESCONOCIDO
La señora Liliana Villarreal	(?).	DESCONOCIDO
BACKGROUND	[Salto en la grabación.]	BACKGROUND
Desconocido	¿Está prendida la impresora?	DESCONOCIDO
BACKGROUND	[Salto en la grabación.]	BACKGROUND
BACKGROUND	[La señora Liliana Villarreal lee un documento, lo firma y coloca su huella digital. El señor que le tomó las generales de ley le entrega una copia.]	BACKGROUND
Desconocido	Ésta es para usted y acá una firma, firme y su huella.	DESCONOCIDO
La señora Liliana Villarreal	¿El lapicero?	DESCONOCIDO
Desconocido	Ya, listo, eso es todo.	DESCONOCIDO
La señora Liliana Villarreal	¿Eso es todo?	DESCONOCIDO
Desconocido	Sí, eso es todo.	DESCONOCIDO
BACKGROUND	[Salto en la grabación.]	BACKGROUND
Desconocido	Adelante.	DESCONOCIDO
La señora	Ah, no, no es él. No es él.	DESCONOCIDO
Desconocido	(?) Villarreal	DESCONOCIDO
