speaker	speech	speaker_std
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 978 (Este vídeo continúa en el  Vídeo N.° 977) “CONDECORACIÓN AL DR. VLADIMIRO MONTESINOS TORRES POR LA FUERZA AÉREA DEL PERÚ” DEL 24 DE JULIO DE 1998 —Un grupo de altos mandos castrenses, en su mayoría FAP, se encuentran reunidos en un pequeño salón enchapado en madera fina y adornado con cuadros. Los oficiales esperan la llegada del Doctor Vladimiro Montesinos Torres.	BACKGROUND
Militar Desconocido	 (?) por primera vez (?).	MILITAR DESCONOCIDO
El COMANDANTE GENERAL DE LA FAP, señor Elesván Bello Vásquez.—	 (?) para que... para que esté correcto.	MONTES DE OCA
Militar Desconocido	 (?) en exhibición y se ve el avión.	MILITAR DESCONOCIDO
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 (?) Parece que el Presidente no va y va a presidir Valle Riestra, o sea que va a estar candente la ceremonia (?). (Risas.)	MONROE
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 (?) está bonita (?) varios periódicos he visto. Sí. Ajá. ¿Cuándo fue? ¿Con quién...?	MONROE
Militar Desconocido	 ¿No estaban adentro la...?	MILITAR DESCONOCIDO
Militar Desconocido	 No, en dos minutos...	MILITAR DESCONOCIDO
Militar Desconocido	 No, pues, ¿has visto el noticiero? ¿Tú viste o no?	MILITAR DESCONOCIDO
Militar Desconocido	 Sí.	MILITAR DESCONOCIDO
Militar Desconocido	 ¿O no has visto? O sea, no sabías a qué me refería.	MILITAR DESCONOCIDO
Militar Desconocido	 No, no.	MILITAR DESCONOCIDO
Militar Desconocido	 (?) es como si el Seguro no solamente (?).	MILITAR DESCONOCIDO
Militar Desconocido	 (?) un magnífico atleta.	MILITAR DESCONOCIDO
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 Sí, pues.	MONROE
Militar Desconocido	 Ha sido lo mejor que han tenido ustedes.	MILITAR DESCONOCIDO
Militar Desconocido	 (?) para adelante ¿no? (?) más claro.	MILITAR DESCONOCIDO
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 (?) Se usa sólo en estas ocasiones.	MONROE
Militar Desconocido	 Sí, pues.	MILITAR DESCONOCIDO
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 Sería bueno usarla todos los días. (Risas.)	MONROE
Background	—Hace su ingreso al salón el Doctor Vladimiro Montesinos Torres.	BACKGROUND
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 Aquí estamos hombre, aquí estamos.	MONROE
Militar Desconocido	 Doctor, cómo está usted, buenos días.	MILITAR DESCONOCIDO
Militar Desconocido	 Cómo está.	MILITAR DESCONOCIDO
Militar Desconocido	 Cómo está, doctor.	MILITAR DESCONOCIDO
Militar Desconocido	 Cómo está, doctor.	MILITAR DESCONOCIDO
Militar Desconocido	 Doctor, buenos días.	MILITAR DESCONOCIDO
Militar Desconocido	 Señor, doctor, buenos días. ¡Qué gusto de verlo!	MILITAR DESCONOCIDO
