speaker,speech,speaker_std
BACKGROUND,"Reunion de Victor Joy Way, Alberto Bustamente, Enrique Gross y Vladimiro Montesinos. (sin fecha precisa, posiblemente julio 1999). En esta reunión, VMT coordina con los responsables gubernamentales frente a la Corte Contenciosa y la Comisión de Derechos Humanos de la Organización de Es tados Americanos en San José. Después de un intercambio de pareceres, los con tertulios establecen la agenda del Perú frente a la Corte, y la cantidad de problemas que destacan refuerza la idea de que la solución consistía en retirarse de su competencia.",BACKGROUND
Desconocido,Y en todo caso como dice (?) mejore la situación futura.,DESCONOCIDO
BACKGROUND,[Corte en la cinta de audio.],BACKGROUND
Desconocido,"(?) la decisión de la Corte (?) condenatoria, esa actitud es una clara preparación (?).",DESCONOCIDO
BACKGROUND,[Corte en la cinta de audio.2,BACKGROUND
Desconocido,La decisión del…,DESCONOCIDO
BACKGROUND,[Corte en la cinta de audio.],BACKGROUND
Desconocido,"La decisión del señor representante permanente del Perú ante la OEA deposita el documento en el que (?) antes del 11 de julio, fijando un plazo de (?).",DESCONOCIDO
El señor Víctor Joy Way,Se recomendará (?).,JOY WAY
Desconocido,"Y una cosa que, que (?).",DESCONOCIDO
Desconocido,Claro.,DESCONOCIDO
Desconocido,(?).,DESCONOCIDO
Desconocido,¿Cuál fue el instrumento y qué procedimiento al interior del país sirvió para el reconocimiento de la (?)?,DESCONOCIDO
Desconocido,"Ah, el primero, la declaración.",DESCONOCIDO
Desconocido,"Sí, de Morales Bermúdez.",DESCONOCIDO
Desconocido,¿Hubo aprobación del Congreso?,DESCONOCIDO
Desconocido,"No, no hubo aprobación?",DESCONOCIDO
Desconocido,"Está redactada así, dice: ""De acuerdo con lo estipulado (?) que de acuerdo con lo estipulado en el párrafo tres del artículo 45.° De acuerdo con lo prescrito en el párrafo primero del artículo 62.° de la Convención antes menciona da, el gobierno del Perú declara que reconoce como obligatoria de pleno derecho y sin restricción especial la competencia de la Corte Interamericana de Derechos Humanos sobre todos los casos de las (?) a la interpretación o aplicación de la Con vención; este reconocimiento se hace por plazo indeterminado"". Éste es (?). Y luego, el acta del depósito firmado por (?).",DESCONOCIDO
Desconocido,"No ha habido, no ha habido (?).",DESCONOCIDO
Desconocido,"Pareciera que han impuesto jurisprudencia en el sentido de que cualesquiera que sean las normas internas, lo único que se necesita aquí para (?) la Secretaría General de la OEA es el depósito que le hace y recuperar el (?) in dependientemente de lo que…",DESCONOCIDO
Desconocido,(?) impresión que se le haga más corto.,DESCONOCIDO
Desconocido,"Ah, no, no. Sí, claro.",DESCONOCIDO
Desconocido,A mí lo que me preocupa mucho es la imagen (?).,DESCONOCIDO
Desconocido,Pero en este caso (?) no son solamente los (?).,DESCONOCIDO
Desconocido,(?),DESCONOCIDO
Desconocido,"El Congreso peruano libremente elegido. —Y eso no puede, no (?) la mayoría lo siente. —Eso es lo que pasa, alegan que...",DESCONOCIDO
Desconocido,Y allí está el asunto.,DESCONOCIDO
BACKGROUND,[Conversaciones paralelas e ininteligibles.],BACKGROUND
Desconocido,"De acuerdo a la reglamentación del Congreso, tienen que ser los dos puntos (?) es parte de un Tratado Internacional, no solamente, no manda ría (?) hay otro problema..",DESCONOCIDO
Desconocido,O sea (?).,DESCONOCIDO
Desconocido,Es el caso (?).,DESCONOCIDO
Desconocido,"Eso sería, sería (?) eso sería una denuncia del Tratado, así se diera (?) no tanto en base al articulo 57.°, sino de…",DESCONOCIDO
Desconocido,"(?) para ver si es parte del tratado, si queremos asegurar que es parte del tratado, entonces es una denuncia parcial.",DESCONOCIDO
Desconocido,"Claro, pero que no le conviene nunca.",DESCONOCIDO
Desconocido,"Porque no hay denuncia parcial, la denuncia es (?).",DESCONOCIDO
Desconocido,"No hay denuncia, hay retiro de competencia que son cosas distintas.",DESCONOCIDO
Desconocido,"Pero eso no alargaría los tiempos, doctor.",DESCONOCIDO
Desconocido,"Ahora, sin duda, es un problema de carrera contra el tiempo, estoy de acuerdo con ustedes, pero realmente esto hay que sacarlo antes del 11 de julio.",DESCONOCIDO
Desconocido,"Ahora, el problema está (?) de que suba al Congreso, donde se ha dirigido también, hay que esperar que venga (?) se podría teóricamente, se podría teóricamente presentar (?).",DESCONOCIDO
Desconocido,(?),DESCONOCIDO
Desconocido,"No, claro.",DESCONOCIDO
Desconocido,(?),DESCONOCIDO
Desconocido,"Sí, voy en la tarde inmediatamente al hotel, toda la tarde. Entonces, voy a preparar los textos posibles, dependiendo de, no sé (?) que mañana…",DESCONOCIDO
Desconocido,"El día de mañana, el domingo (?).",DESCONOCIDO
Desconocido,"Pero él dijo, manuscritos.",DESCONOCIDO
Desconocido,Mañana.,DESCONOCIDO
Desconocido,Es a base del proyecto de dictamen (?) que es la nota al Parlamento.,DESCONOCIDO
Desconocido,Claro.,DESCONOCIDO
Desconocido,(?),DESCONOCIDO
Desconocido,"Pero tiene que ser una cosa, señor Ministro, muy rápida, por que hay que hacerlo antes del 11 de julio.",DESCONOCIDO
El señor Víctor Joy Way,"O sea, o sea, este... se haría siempre previo, previo al en vío a la OEA, la aprobación del Congreso.",JOY WAY
Desconocido,"Claro, eso es lo que estamos conversando.",DESCONOCIDO
Desconocido,"Ya. El límite va a ser, desde el punto de vista de proteccióm",DESCONOCIDO
Desconocido,(?).,DESCONOCIDO
El señor Víctor Joy Way,¿Cómo se llama...? Por ese lado no habría problema. Tienes que dejarle…,JOY WAY
Desconocido,"El problema es que te pueden decir, dicen, retiro de fuerza porque es un tratado. Ahora, lo que estamos viendo es que en este caso no se (?) el tratado (?).",DESCONOCIDO
Desconocido,¿Qué diferencia?,DESCONOCIDO
Desconocido,Hay que asegurar.,DESCONOCIDO
Desconocido,Hay que asegurar (?).,DESCONOCIDO
El señor Víctor Joy Way,(?) Ningún país utiliza el (?) debilitamos el…,JOY WAY
Desconocido,(?),DESCONOCIDO
Desconocido,"Solamente en caso, creo que en caso de límites.",DESCONOCIDO
Desconocido,(?),DESCONOCIDO
Desconocido,¿Cuándo interviene en el Congreso?,DESCONOCIDO
Desconocido,"La mayoría del Congreso, para la aprobación.",DESCONOCIDO
Desconocido,"En el Congreso, la mayoría, ¿cuántos son?",DESCONOCIDO
Desconocido,Para que sean dos tercios (?).,DESCONOCIDO
Desconocido,Los tratados deben ser (?) en el Congreso antes de (?).,DESCONOCIDO
BACKGROUND,[Diálogo ininteligible.],BACKGROUND
El señor Vladimiro Montesinos,"Bueno, el nivel de aprobación es…",MONTESINOS
Desconocido,(?),DESCONOCIDO
Desconocido,(?) son constitucionales.,DESCONOCIDO
El señor Vladimiro Montesinos,"Claro, pero no dicen todos los textos (?).",MONTESINOS
Desconocido,(?),DESCONOCIDO
El señor Vladimiro Montesinos,Pero son institucionales.,MONTESINOS
Desconocido,"No, pero, hay que ver, hay que ver, hay que ver si lo de...",DESCONOCIDO
El señor Fernando Gross,"Aparte de lo que diga la Constitución respecto a la aprobación o denuncia, esto no es una denuncia.",DESCONOCIDO
El señor Vladimiro Montesinos,Esto no es una denuncia.,MONTESINOS
El señor Fernando Gross,Es el retiro de la competencia.,DESCONOCIDO
El señor Vladimiro Montesinos,Que es diferente.,MONTESINOS
El señor Fernando Gross,El que envía al Congreso a todos los sectores públicos. Aprobación política diría yo.,DESCONOCIDO
El señor Vladimiro Montesinos,Nada más.,MONTESINOS
El señor Fernando Gross,"No como un deber, sino como un... no hay deber te va a decir, prácticamente, pero lo que se requiere es el respaldo político dentro del término legal. Entonces, no sé lo que dice la Constitución, pero de ninguna manera podemos pensar que de repente significa una denuncia.",DESCONOCIDO
Desconocido,(?).,DESCONOCIDO
El señor Víctor JoyWay,Lo que acá hay que ver es... este... ¿cuáles son los requi sitos en el Congreso?,DESCONOCIDO
Desconocido,El Reglamento del Congreso.,DESCONOCIDO
Desconocido,Para el fundamento.,DESCONOCIDO
Desconocido,Porque es importante tener la garantía.,DESCONOCIDO
El señor Vladimiro Montesinos,"El nuevo Reglamento del Congreso, lo ten go yo.",MONTESINOS
El señor Víctor Joy Way,"En realidad, este... no ahí no, ahí no dispone la moda lidad, está en el Reglamento.",JOY WAY
Desconocido,Entre 50 y (?).,DESCONOCIDO
Desconocido,"56, 57.",DESCONOCIDO
Desconocido,"Puede ratificarse todavía la denuncia sobre el principio de cuestión previa, puede modificar o no modificar, resulta que tiene que dar cuenta al Congreso. Los tratados que afecten disposiciones constitucionales deben ser aprobados por el mismo procedimiento para la reforma de la Constitución. “La denuncia de los tratados es potestad del Presidente de la República, con carr de dar cuenta al Congreso"". Lo que podría interpretarse acá es el tema de la renuncia a la competencia (?).",DESCONOCIDO
El señor Víctor Joy Way,"No, es que hay dos. Yo estaba pensando lo siguiente sabes que hay que chequear bien.",JOY WAY
Desconocido,Hay que ver.,DESCONOCIDO
