"speaker","speech","speaker_std"
"BACKGROUND","﻿Reunión de General Delgado, Vicente Silva, Eduardo Calmell y Vladimiro Montesinos. (del 6 de noviembre de 1999). No obstante el rótulo, VMT participa desde el comienzo y en determinado mo mento se incorpora el General Delgado. Antes de su llegada, Vicente Silva, que es taba designado para representar a las FFAA en la compra de Cable Canal de No ticias, argumenta las inconveniencias de su papel porque, al estar casado, tiene que conseguir ¡afirma de su esposa y no le parece conveniente. Luego, VMT entre ga dos millones de dólares a Vicente Silva. Finalmente, conversan sobre una es trategia de medios para enfrentar la campaña electoral.","BACKGROUND"
"El señor Vladimiro Montesinos","¿Cómo te ha ido, ah?","MONTESINOS"
"El señor Vicente Silva","Los abogados son una plaga, ah.[Risas.] Aunque tres abogados hay acá.","SILVA"
"El señor Vladimiro Montesinos","Pero los otros son más fregados","MONTESINOS"
"El señor Eduardo Calmell Del Solar","O sea, que yo le digo que él no sé quién, al contrario no hagas tanto papel, haz menos papel y sí más rápido.","CALMELL"
"El señor Vicente Silva","No deben hacer tanto papel, hermano.","SILVA"
"El señor Vladimiro Montesinos","Pero, hermano, es que el problema es el siguien te. Tú sabes que esta gente siempre pide un dictamen a la asesoría jurídica y la ase soría jurídica, ha venido acá el asesor jurídico de ellos porque así como Vicente es un intermediario, en el estudio también soy un intermediario...","MONTESINOS"
"El señor Vicente Silva","Claro.","SILVA"
"El señor Vladimiro Montesinos","En la boca, el dinero no lo estoy entregando yo, están poniendo ellos. Entonces, ellos piden opinión a la asesoría jurídica y la asesoría jurídica dice ""Señor, se requiere A, B, C, D, E"" y ya tú sabes cómo es la mct talidad de los abogados…","MONTESINOS"
"El señor Vicente Silva","Claro, pero hay cosas que están bien; o sea, por ejemplo me dicen las generales de mi mujer, yo a mi mujer cómo la voy a meter…","SILVA"
"El señor Vladimiro Montesinos","Pero, el tema...","MONTESINOS"
"El señor Vicente Silva","¡Cómo le voy a decir a mi mujer que estoy representando acciones del SIN!","SILVA"
"El señor Vladimiro Montesinos","Pero el tema es la reflexión que hay ahi, seguido... es la siguiente, muy bien; no sé si Manuel será soltero o casado...","MONTESINOS"
"El señor Vicente Silva","Es soltero.","SILVA"
"El señor Vladimiro Montesinos","Es soltero, no hay ningún problema en esa fase","MONTESINOS"
"El señor Vicente Silva","Así es.","SILVA"
"El señor Vladimiro Montesinos","Ya perfecto, eso está bien. El asunto está en que tú apareces como propietario del asunto, apareces firmando un recibo, que recite el dinero, no aparece Manuel, no aparece...","MONTESINOS"
"El señor Eduardo Calmell Del Solar","Claro, tú recibes.","CALMELL"
"El señor Vladimiro Montesinos","Tú recibes, entonces, haces la recepción. El tema está que cuando tú quieras hacer el tema de la venta vas a necesitar de das maneras la firma de tu mujer porque tú eres casado, es sociedad conyugal Entonces ¿qué pasa si tu señora se separa contigo? ¿qué pasa si hay alguna cuestion Eso es lo que ellos piensan en ese tema.","MONTESINOS"
"El señor Vicente Silva","Mira, no vamos a entrar a discutir el detalle. Las acciones se transfieren por la sola venta del titular...","SILVA"
"El señor Vladimiro Montesinos","Sí, no, pero...","MONTESINOS"
