speaker,speech,speaker_std
BACKGROUND,"﻿Reunión de Alex Kouri y Vladimiro Montesinos. (del 10 de setiembre de 1998). Kouri inicia la conversación quejándose de la escasa consideración que le tiene el personal político gubernamental. VMT lo tranquiliza diciéndole que él ha elabo rado ""su perfil de personalidad... sus planes... sabiendo que a partir del 2005 para adelante están sus proyecciones"". Luego, planifican una operación política para debilitar a Andradey Kouri solicita ser entrevistado de determinada manera por los reporteros de TV, mientras que VMT le ofrece cobertura, en esta ocasión, en los canales 5y 2, porque viene de presentarse en el 4.",BACKGROUND
BACKGROUND,"[El video N.° 1176 se inicia con la imagen de una sala de recepción, se observa un cuadro y un mueble de tres cuerpos. El señor Alex Kouri Bumachar está sentado en el extremo derecho del mencionado mueble.]",BACKGROUND
BACKGROUND,[El video N.° 1177 se inicia enfocando un extremo de la sala y la puerta de ingreso de la mis ma. Posteriormente se aprecia al señor Alex Kouri Bumachar.],BACKGROUND
El señor Alex Kouri,"La mayoría del personal que trabaja aquí, me refiero al personal de apoyo, ¿son gente que corresponde a una institución o a todas?",ALEX KOURI
El señor Antonio Ibárcena,"Son del Ejército, de la Policía y la Marina.",IBÁRCENA
El señor Alex Kouri,¿Cuántos son?,ALEX KOURI
El señor Antonio Ibárcena,"Los de seguridad, de resguardo del doctor Montesi nos, un (?).",IBÁRCENA
El señor Alex Kouri,"Ah, ya. La mayoría está (?). Mi impresión es que las Fuer zas Armadas son bastante relajadas.",ALEX KOURI
El señor Antonio Ibárcena,¿Sí?,IBÁRCENA
El señor Alex Kouri,"Totalmente. Es mi impresión, tal vez equivocada, de que la gran mayoría usa a las Fuerzas Armadas para escalar una posición, tanto en el ámbito administrativo, profesional, como en lo económico. Como la institución aplica un perfil bajo... Sin embargo, parece (?) es mi impresión.",ALEX KOURI
El señor Antonio Ibárcena,(?) mucho.,IBÁRCENA
El señor Alex Kouri,"Yo le digo por el trato con la gente, uno se da cuenta, nc hay nada de parcialidad (?) es totalmente.",ALEX KOURI
El señor Antonio Ibárcena,"Sí. Yo te voy a decir que más paro con militares, cus con otras entidades, se comportan como niños.",IBÁRCENA
El señor Alex Kouri,"Pero, ello es...",ALEX KOURI
El señor Antonio Ibarcena,"Elesván el gran espíritu, Elesván es uno de mis ane  gos, ¿no?, de años. Pero los demás Tenientes Generales de las Fuerzas Armadas no son así, ninguno. El cargo de jefe les es muy contradictorio, los Generales de División, Generales de Brigada del Ejército y aparte que yo he estudiado con los del Ejército, varios cursos en el Ejército. Te repito que eres uno de los tipos más (?) que he conocido.",ARCE
BACKGROUND,[Diálogo ininteligible.],BACKGROUND
El señor Alex Kouri,El presidente para relativamente (?).,ALEX KOURI
BACKGROUND,[Diálogo ininteligible.],BACKGROUND
El señor Alex Kouri,"Disculpe, pero me puede decir ¿cuál es la mayor virtud de señor presidente?",ALEX KOURI
El señor Antonio Ibárcena,"El señor presidente (?) energía, es una persona que trabaja 12 horas, 14 horas diarias, normal. Pero esto pasa.",IBÁRCENA
El señor Alex Kouri,Es un ladrillo.,ALEX KOURI
El señor Antonio Ibarcena,"Pero sobre todo que no emplea más tiempo cara atender después de medianoche. Él acaba de llegar y va a descansar a la oficina, ¿no: Acaba de llegar de Bolivia, ¿no? A mi, me molestó, que fue a un cuartel toco asi sudado (?) levantar de dormir. Acaba de llegar de provincia, ""Vengan"", nos dice : nosotros, ""para formar un Consejo y nos informa ahí"". Al día siguiente sale a las nueve de la mañana y se va también a provincia a trabajar, eso sí es verdad. Es curioso, ¿cómo hace?, sobre todo para tener una lucidez completa.",ARCE
El señor Alex Kouri,(?).,ALEX KOURI
El señor Antonio Ibárcena,Él se puede dar un extremo más o menos por ese lado.,IBÁRCENA
El señor Alex Kouri,"Ahora, el presidente (?), el tema de elecciones (?).",ALEX KOURI
El señor Antonio Ibárcena,"(?) para nada; o sea, no hay nada. ¿Quieres tornar agua o un café?",IBÁRCENA
El señor Alex Kouri,Bueno. Tienes razón.,ALEX KOURI
BACKGROUND,"[El señor Ibárcena Amico, se levanta de su sitio y se dirige hacia la puerta y desde la puerta se escucha.]",BACKGROUND
El señor Antonio Ibárcena,"Mozo envíanos (?), ya.",IBÁRCENA
BACKGROUND,"[Diálogo ininteligible, mientras el señor Ibárcena Amico camina en varias direcciones.]",BACKGROUND
El señor Alex Kouri,"¿Cuánto tiempo tiene ya, viniendo acá?",ALEX KOURI
El señor Antonio Ibárcena,"Siete años, viniendo acá, Gasparín. Con este silen cio, tan (?).",IBÁRCENA
El señor Alex Kouri,Algún (?).,ALEX KOURI
El señor Antonio Ibárcena,"Sábado, domingo, lunes, martes (?) ya, año nuevo. También en año nuevo. ¡Oye! El asunto de Lucchetti, ¿terminó ya lo de Lucchetti con Andrade o no?",IBÁRCENA
El señor Alex Kouri,"(?) está estrellado, tiene que esperar.",ALEX KOURI
BACKGROUND,"[Tocan la puerta, el señor Ibárcena Amico se dirige a la puerta, luego se observa que pasa con un vaso.]",BACKGROUND
El señor Antonio Ibárcena,"Gracias, hermano. Yo tomo líquido todo el día. Me he acostumbrado a tomar tanto líquido que (?).",IBÁRCENA
El señor Alex Kouri,¿Recién o de siempre?,ALEX KOURI
El señor Antonio Ibárcena,"No, desde siempre.",IBÁRCENA
El señor Alex Kouri,¿Nunca ha sufrido gracias a Dios de diabetes o de algo?,ALEX KOURI
El señor Antonio Ibárcena,"No, cada seis meses me chequeo. (?), por ejemplo, colesterol. Ahora estoy bajando mi colesterol a 180; sin embargo, yo como maris cos y pescado siempre (?).",IBÁRCENA
El señor Alex Kouri,"Sí. Pero si lo aromatizas bien, lo acompañas. También de pende de muchos factores, ¿no?, no es siempre el mismo comportamiento en todas las personas.",ALEX KOURI
El señor Antonio Ibárcena,"Sí, pues. Puedes tener las misma dieta y tener ten dencia a hacer, ¿no? (?).",IBÁRCENA
El señor Alex Kouri,"Ahora el nivel de (?) está muy bien ahora, ¿no?",ALEX KOURI
El señor Antonio Ibárcena,"Está mejorando fuertemente, está mejorando. Falta rastrar (?).",IBÁRCENA
El señor Alex Kouri,La tecnología de punta digamos…,ALEX KOURI
BACKGROUND,"[Ingresa una persona, pide disculpas, trae consigo unos documentos que deja en la mesa]",BACKGROUND
El señor Antonio Ibárcena,"No hemos resuelto el problema de medicina este año, continúa estancado allí; en los laboratorios hay una pérdida de, más o menos unos 100 mil soles mensuales. Ahora, el nuevo directorio está (?) 30 mil dólares ya.",IBÁRCENA
El señor Alex Kouri,"¿Él es médico, ya?",ALEX KOURI
El señor Antonio Ibarcena,"No. Allí, tenemos dos directores. El director de salud (?).",ARCE
BACKGROUND,[Ingresa el señor Vladimiro Montesinos Torres.],BACKGROUND
El señor Vladimiro Montesinos,Señor Kouri. Almirante. Asiento.,MONTESINOS
El señor Alex Kouri,¿Cómo estás?,ALEX KOURI
El señor Antonio Ibárcena,"Doctor, ¿cómo está?",IBÁRCENA
El señor Vladimiro Montesinos,"¿Qué tal? Siéntense, siéntense.",MONTESINOS
BACKGROUND,[Estrecha la mano del señor Ibárcena Amico.],BACKGROUND
El señor Antonio Ibárcena,"Señor, yo me retiro ya.",IBÁRCENA
El señor Vladimiro Montesinos,"Ya, Okay.",MONTESINOS
El señor Antonio Ibárcena,"Hasta luego, doctor. Chau.",IBÁRCENA
El señor Alex Kouri,Adiós.,ALEX KOURI
El señor Vladimiro Montesinos,Mañana va a venir este... Grando lo va a llamar va a llevar algunas personas al medio día.,MONTESINOS
El señor Antonio Ibárcena,¡Ah! Ya señor.,IBÁRCENA
El señor Vladimiro Montesinos,¿Para qué me envía dos personas al medio dís?,MONTESINOS
El señor Vladimiro Montesinos,"Ya, él lo va a llamar por teléfono.",MONTESINOS
El señor Antonio Ibárcena,"Ya, señor.",IBÁRCENA
El señor Vladimiro Montesinos,Y los autoriza para que vengan.,MONTESINOS
El señor Antonio Ibárcena,"Ya señor. ¡Ah!, doctor, me encargaron hacerle una consulta.",IBÁRCENA
El señor Vladimiro Montesinos,Sí.,MONTESINOS
El señor Antonio Ibárcena,"Un momentito, por favor.",IBÁRCENA
BACKGROUND,[El señor Ibárcena Amico y el señor Montesinos Torres salen de la sala.],BACKGROUND
El señor Vladimiro Montesinos,Un momento.,MONTESINOS
El señor Alex Kouri,"Sí, ¿cómo no?",ALEX KOURI
BACKGROUND,[El señor Vladimiro Montesinos retorna a la sala.],BACKGROUND
El señor Vladimiro Montesinos,"¿Y, señor Kouri? Ayer, recién, después, vi la con ferencia de prensa suya, un poco durona, ¿ah?",MONTESINOS
El señor Alex Kouri,"No tanto, yo le diría. Lo que pasa, que es un poco la cir cunstancia.",ALEX KOURI
El señor Vladimiro Montesinos,Sí.,MONTESINOS
El señor Alex Kouri,"Y yo le puedo comentar un poco los entretelones y los an tecedentes de las circunstancias, ¿no?",ALEX KOURI
El señor Vladimiro Montesinos,Sí.,MONTESINOS
El señor Alex Kouri,"Lo que sucede es que muchas veces se ve la punta del ice berg, pero no ven las ramificaciones que hay por debajo. La actitud de la gente de gobierno ha sido muy dura conmigo, la gente de Cordelica actuó de una manera muy desleal. Este señor Carranza me ha lanzado improperios durante mucho tiempo. Yo no actuó en función a reacciones hepáticas, no acostumbro a hacerlo, ni me in teresa, pero soy algo, quizás por mi carácter, hablo duro en mis exposiciones, ¿no? Y creo que esto es importante, porque marca una línea y una actitud frente a las cosas, de manera que... Sin embargo, al igual que le comenté a usted el día de ayer, creo que estamos en una cosa embarazosa.",ALEX KOURI
El señor Vladimiro Montesinos,"Sí. No, claro. El tema es manejable porque usted sabe que una grabación desde el punto de vista del derecho, eso no prueba nada (?).",MONTESINOS
El señor Alex Kouri,Desde una óptica muy política.,ALEX KOURI
El señor Vladimiro Montesinos,Yo lo sé.,MONTESINOS
El señor Alex Kouri,Nadie pretende arrodillarse...,ALEX KOURI
El señor Vladimiro Montesinos,Claro.,MONTESINOS
El señor Alex Kouri,"El tema de lo legal, es éste, digamos para cerrar el círculo.",ALEX KOURI
El señor Vladimiro Montesinos,"Claro, yo lo sé. Pero partiendo de un hecho, de una transcripción, además usted lo sabe perfectamente que en el derecho peruano, las conversaciones no hacen prueba de nada, ¿no?",MONTESINOS
El señor Alex Kouri,Usted sabe mejor que yo.,ALEX KOURI
El señor Vladimiro Montesinos,Sí.,MONTESINOS
El señor Alex Kouri,Y nadie pretende llegar a una solución en el Poder Tucicim la solución la da la misma norma.,ALEX KOURI
El señor Vladimiro Montesinos,"Sí, lo sé.",MONTESINOS
El señor Alex Kouri,Eso es una implicancia política.,ALEX KOURI
El señor Vladimiro Montesinos,"Claro, ya lo sé. Pero a partir de un hecho derivarlo a un hecho político, de una cosa que no puede ser demostrada ni siquien técnicamente, ¡ojo!, ¡ojo!, ¿por qué le digo? Porque el ordenamiento que da El Peruano, las conversaciones telefónicas no constituyen prueba, de nada.",MONTESINOS
El señor Alex Kouri,Yo no trato de que sean pruebas de nada.,ALEX KOURI
