speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPUBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1184 “ENTREGA DE FONDOS A HURTADO MILLER” 11 DE AGOSTO DE 1998 —En la Sala de Reuniones se encuentran el señor Juan Carlos Hurtado Miller y el doctor Vladimiro Montesinos Torres.
El señor MONTESINOS TORRES.—	 (?)
El señor HURTADO MILLER.—	 (?)
El señor MONTESINOS TORRES.—	 Lógico, sí.
El señor HURTADO MILLER.—	 Una pregunta tonta. Pero eso, señor, que está ahí, ¿no está muy caro? Decía yo que estaba comprándolo.
El señor MONTESINOS.—	 Sí.
El señor HURTADO MILLER.—	 Mil dólares, está loco, le dije, esto vale 500 dólares en Estados Unidos.
El señor MONTESINOS.—	 Sí, yo no tengo idea.
El señor HURTADO MILLER.—	 ¿Lo han importado?.
El señor MONTESINOS.—	 Sí, lo han importado.
El señor HURTADO MILLER.—	 Ah, bueno, olvídese.
El señor MONTESINOS.—	 Bueno, acá hay un documento que se preparó.
El señor HURTADO MILLER.—	 Que bueno.
El señor MONTESINOS TORRES.—	 Que le podrá servir de algo.
El señor HURTADO MILLER.—	 Sí, por supuesto que sí.
El señor MONTESINOS.—	 Hay un plan de gobierno, más o menos ése es el esquema, algunos elementos le servirán.
El señor HURTADO MILLER.—	 Por supuesto.
El señor MONTESINOS.—	 Y sobre esa base usted tiene... lo va vistiendo.
El señor HURTADO MILLER.—	 Acá tengo el equipo técnico de todo ¿ya?
El señor MONTESINOS TORRES.—	 Sobre esa base ya se arma el asunto. Entonces, yo voy a proceder ahorita de esta manera, estoy preparando el tema. Le entregaron ya un vehículo ayer.
El señor HURTADO MILLER.—	 Muy bien.
El señor MONTESINOS TORRES.—	 Un vehículo. ¿Qué le parece el vehículo?
El señor HURTADO MILLER.—	 Estupendo, ya lo manejé y todo.
El señor MONTESINOS TORRES.—	 Excelente está. Bueno, el que me entregan hoy día, recién está comprado, la persona que lo va a alquilar lo ha comprado hoy día el vehículo, lo está entregando.
El señor HURTADO MILLER.—	 Nuevecito.
El señor MONTESINOS TORRES.—	 Saliendo de fábrica.
El señor HURTADO MILLER.—	 Es igualito al rojo.
El señor MONTESINOS TORRES.—	 Es igualito.
El señor HURTADO MILLER.—	 Ves tú, le ha hecho dos cambios.
El señor MONTESINOS TORRES.—	 Claro. Él dice, agarre usted.
El señor HURTADO MILLER.—	 El nuevo. Más seguro.
El señor MONTESINOS TORRES.—	 El vehículo nuevo es más seguro. Bueno, entonces, yo le voy a entregar ahora el equipamiento.
El señor HURTADO MILLER.—	 Claro.
El señor MONTESINOS TORRES.—	 Porque usted me ha dicho que (?)
El señor HURTADO MILLER.—	 (?)
El señor MONTESINOS TORRES.—	 Le voy a entregar los 149.
El señor HURTADO MILLER.—	 Perfecto.
El señor MONTESINOS TORRES.—	 Mil dólares.
El señor HURTADO MILLER.—	 Lo del equipo técnico.
El señor MONTESINOS TORRES.—	 Del equipo técnico. La movilidad le estoy proporcionando a los dos vehículos. (?)
El señor HURTADO MILLER.—	 Ya no necesitamos eso.
El señor MONTESINOS TORRES.—	 Ya no necesitamos eso.
El señor HURTADO MILLER.—	 Así es.
El señor MONTESINOS TORRES.—	 De la seguridad le voy a dar el primer mes de seguridad.
El señor HURTADO MILLER.—	 Perfecto. (?)
El señor MONTESINOS TORRES.—	 Ya, claro, y al cabo del primer mes le entrego la... (?)
El señor HURTADO MILLER.—	 Probablemente tenemos que calcular porque no habíamos calculado casa política, tenemos que poner.
El señor MONTESINOS TORRES.—	 Ya.
El señor HURTADO MILLER.—	 De repente al final de la (?) hay un momento, pero yo estoy llevando al centímetro.
El señor MONTESINOS TORRES.—	 Claro.
El señor HURTADO MILLER.—	 Y la gente ha quedado (?)
El señor MONTESINOS TORRES.—	 Ah, mejor que la...
El señor HURTADO MILLER.—	 Y nadie toca la puerta.
El señor MONTESINOS TORRES.—	 Y de la caja.
El señor HURTADO MILLER.—	 Y además nadie sabe cuánto.
El señor MONTESINOS TORRES.—	 No, lógico.
El señor HURTADO MILLER.—	 Nadie sabe.
El señor MONTESINOS TORRES.—	 Y de la caja chica le estoy dando también un 50%.
El señor HURTADO MILLER.—	 Perfecto.
El señor MONTESINOS TORRES.—	 Porque voy a traer ahorita los 50. Sino le quería decir.
El señor HURTADO MILLER.—	 Magnífico, no le fallo. Le voy a hacer una consulta.
El señor MONTESINOS TORRES.—	 Ya, dígame.
El señor HURTADO MILLER.—	 (?) ahora que no está.
El señor MONTESINOS TORRES.—	 No, por eso quería que no esté él porque él no debe saber los detalles.
El señor HURTADO MILLER.—	 Así es. (?) Habla con Méndez y Méndez me dijo: Muy bien me dijo pero oye, Borobio es publicista, me dijo, no es imagen personal. ¿Cómo le llaman ellos? No es venta personal..
El señor MONTESINOS TORRES.—	 Ya.
El señor HURTADO MILLER.—	 Yo no manejo esas cosas.
El señor MONTESINOS TORRES.—	 Sí.
El señor HURTADO MILLER.—	 No, me dijo, dile al doctor Montesinos que él (?)
El señor MONTESINOS TORRES.—	 Sí.
El señor HURTADO MILLER.—	 Qué es imagen personal, como le llaman ellos a la venta de la persona.
El señor MONTESINOS TORRES.—	 Ya.
El señor HURTADO MILLER.—	 Porque el otro es publicista, yo le dije: Yo no me quisiera meter en esas cosas.
El señor MONTESINOS TORRES.—	 Ya.
El señor HURTADO MILLER.—	 No, no, me dijo. Háblale tú pues le dije.
El señor MONTESINOS TORRES.—	 Lógico.
El señor HURTADO MILLER.—	 Háblale tú le dije yo a Méndez. Pero yo te voy a hacer un arreglo 2, 4 y 5.
El señor MONTESINOS TORRES.—	 Ya.
El señor HURTADO MILLER.—	 Con eso tienes 80%, le dije, y con eso yo pago doble en el Canal 5.
El señor MONTESINOS TORRES.—	 Sí.
El señor HURTADO MILLER.—	 Doble, de mutuo propio.
El señor MONTESINOS TORRES.—	 Claro.
El señor HURTADO MILLER.—	 Yo no le he pedido nada..
El señor MONTESINOS TORRES.—	 Así es.
El señor HURTADO MILLER.—	 Pero me dijo, oye (?) es un excelente publicista pero no es un hombre de imagen personal.
El señor MONTESINOS TORRES.—	 Ya.
El señor HURTADO MILLER.—	 Tienes que vender tu imagen personal. Es el que te dice ponte la casaca, voltéate p’acá, p’allá, no mires, péinate así, ese es el de imagen personal (?)
El señor MONTESINOS TORRES.—	 Bueno, mire, el tema es el siguiente. Usted sabe que cada dueño de canal trata de meterse por los palos.
El señor HURTADO MILLER.—	 Así es.
El señor MONTESINOS TORRES.—	 Vininsky, efectivamente, ha estado trabajando con la PCM.
El señor HURTADO MILLER.—	 Ya.
