speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VÍDEOS N°. 1349, 1350 REUNIÓN DR. - CROUSILLAT (H) - GISELA DE FECHA 26 DE FEBRERO DE 1999 —Se observa a los señores Francisco Crousillat López Torres, José Francisco Crousillat Carreño y Vladimiro Montesinos Torres reunidos en una sala conversando, frente a ellos hay una mesita de centro, encima de ella se aprecia una cantidad de fajos de billetes. —El señor Francisco Crousillat López Torres muestra su reloj.
El señor MONTESINOS TORRES.—	 ...son bonitos. En Argentina sales y te tiran un jalón.
El señor CROUSILLAT CARREÑO.—	 Sí. No, con eso no puedes salir.
El señor MONTESINOS TORRES.—	 No. Un día estuve caminando en Argentina, carajo, y...
El señor CROUSILLAT LÓPEZ TORRES.—	 Ése es el que lo pones en la caja y nunca para ¿no?
El señor MONTESINOS TORRES.—	 Sí.
El señor CROUSILLAT LÓPEZ TORRES.—	 Yo tengo uno, me regalaron uno.
El señor MONTESINOS TORRES.—	 Son bonitos.
El señor CROUSILLAT CARREÑO.—	 No, pero éste tiene los diamantes.
El señor MONTESINOS TORRES.—	 Sí.
El señor CROUSILLAT LÓPEZ TORRES.—	 Oye, mi reloj costó 60 mil dólares ¿cuánto cuesta éste?
El señor CROUSILLAT CARREÑO.—	 Más o menos eso.
El señor CROUSILLAT LÓPEZ TORRES.—	 Más o menos, ¿no?
El señor MONTESINOS TORRES.—	 Más o menos.
El señor CROUSILLAT LÓPEZ TORRES.—	 Sesenta mil dólares en la mano tiene este cojudo.
El señor MONTESINOS TORRES.—	 ¿Hablas de los amigos? (Risas).
El señor CROUSILLAT LÓPEZ TORRES.—	 Hay que tomarle una foto para enviársela a Magaly ¿no?
El señor CROUSILLAT CARREÑO.—	 Oye, pero este ** es una obra de arte.
El señor CROUSILLAT LÓPEZ TORRES.—	 ¿No? tomarte una foto de la muñeca y mandársela a Magaly.
El señor MONTESINOS TORRES.—	 ¡Ah!, sí.
El señor CROUSILLAT LÓPEZ TORRES.—	 Que haga un concurso: ¿De quién es esta muñeca?
El señor MONTESINOS TORRES.—	 Tú sabes cómo es esto. Cuando yo estaba haciéndole la entrevista a Abimael Guzmán, tenía mi anillo del Ejército, de los anillos que tienen los militares. Parecido al anillo que tienes tú.
El señor CROUSILLAT LÓPEZ TORRES.—	 Sí, pero tienen un nombre acá, una vaina.
El señor MONTESINOS TORRES.—	 Claro.
El señor CROUSILLAT LÓPEZ TORRES.—	 El año de la promoción.
El señor MONTESINOS TORRES.—	 El año de la promoción, pero son de oro amarillo, no oro blanco. Entonces, en la filmación no salgo yo, sino sale mi mano y por el anillo me...
El señor CROUSILLAT LÓPEZ TORRES.—	 Te detectan.
El señor MONTESINOS TORRES.—	 Me detectan.
El señor CROUSILLAT CARREÑO.—	 ¿A dónde fue (ininteligible)
El señor MONTESINOS TORRES.—	 Creo que fue Hildebrandt (ininteligible)
El señor CROUSILLAT LÓPEZ TORRES.—	 Algún pendejo de esos.
El señor MONTESINOS TORRES.—	 La mano.
El señor CROUSILLAT LÓPEZ TORRES.—	 La mano de Montesinos.
