speaker	speech
Background	" Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VIDEOS Núms. 1459 Y 1460 REUNIÓN DR. – DELGADO PARKER – JOY WAY 7 DE ABRIL DE 1999 —Se aprecia una habitación vacía, en primer plano un sofá y más al fondo una planta y una lámpara sobre una mesa. Posteriormente ingresan dos personas conversando, el señor Víctor Joy Way Rojas y el señor Genaro Delgado Parker. En la puerta permanece un militar de alta graduación con un bastón en la mano, posiblemente un general de Ejército, quien se dirige al señor Joy Way y le dice: ""Voy a comunicarle, ingeniero"", luego de lo cual se retira, dejando la puerta  abierta."
El señor DELGADO PARKER.—	 Hemos tenido un día intenso, ¿no?
El señor JOY-WAY ROJAS.—	 Todos los días son intensos.
El señor DELGADO PARKER.—	 Estuve leyendo las cosas, la vida de Mufarech y que son (ininteligible).
El señor JOY-WAY ROJAS.—	 ¿Cómo lo aprecias, tú como lo aprecias?
El señor DELGADO PARKER.—	 Yo tengo una impresión muy particular (ininteligible).
Background	—Corre la cinta de grabación y se aprecia el ingresa del señor Montesinos Torres. En estos momentos la puerta está cerrada.
El señor DELGADO PARKER.—	 Doctor, qué novedad, que gusto.
Background	—El señor Montesinos se estrecha de manos e intercambia saludo con ambas personas, luego de lo cual los 3 toman asiento.
El señor MONTESINOS TORRES.—	 ¿Ah?
El señor DELGADO PARKER.—	 Por usted no pasan los años. No tanto, por usted menos los años.
El señor DELGADO PARKER.—	 Bueno, ya estoy... Le estaba contando a Víctor,  este año cumplo los 70. Yo siempre he hecho un chiste cuando tenía 65 decía el chiste. Tú sabes que la vida es como un cinturón que tiene 70 huequitos, a los 70 puedes llegar paradito, puede ser, pero ya después de eso se acabó, ya es muy difícil que puedas seguir con una calidad de vida buena. Así que yo decía: Bueno, yo tengo cinco años; pero no son cinco años, porque ocho horas duermo, ocho horas trabajo, así es que tengo un tercio de cinco años y eso es lo que tengo que cuidar. ¿Se entiende el chiste? O sea, que en lugar de cinco años me queda uno y medio, quiere decir que realmente no hay una manera.
El señor MONTESINOS TORRES.—	 Usted está bastante fuerte.
El señor DELGADO PARKER.—	 Pero me está yendo bien.
El señor JOY-WAY ROJAS.—	 Yo le comentaba, el  hombre dice que va a cumplir 70 Y no parece, yo le hecho como 60 ó 62 años y en la televisión cuando se le ve.
El señor JOY-WAY ROJAS.—	 Está pasando buena vida.
El señor DELGADO PARKER.—	 Sí, la verdad es que estoy pasando buena vida y me siento bien, ¿no es cierto? Tengo buena salud, mejor dicho.
El señor MONTESINOS TORRES.—	 No tiene colesterol, esas cosas.
El señor DELGADO PARKER.—	 Estoy un poquito gordo, pero juego al tenis, hago deportes, no tengo ningún problema de salud. Pero si no me doy cuenta que tengo 70 años, soy un viejo, porque a los 70 años ya no puedo seguir en el mismo plan que he vivido, así que estoy comenzando ahí a soltar un poco las cosas. Yo tuve la suerte de quedarme sin trabajo a los 60 años, a los 60 años tuve unas discusiones con mis hermanos, a los tres días ellos tomaron el control de Panamericana y les dije, bueno, me voy. Yo he estado 30 años manejando esto, porque yo comencé el 59, estábamos en el 89, son treinta años ya, pues, a otra cosa, 30 años a otra cosa. Y comencé con los teléfonos, vendiendo celulares y esas cosas. Comencé de nuevo, pero ya, pues, otra vez ya no arranco igual. Así que tuve la suerte de cambiar de giro y de encontrar cosas mejores. A veces uno cree, se encierra
El señor MONTESINOS TORRES.—	 Claro, a lo que tiene.
El señor DELGADO PARKER.—	" Cree que lo que tiene es lo único que ha hecho bien. Y me fue bien, doctor, tuve fortuna. Pero, lamentablemente mis hermanitos no se han resignado, a ellos les fue bien porque ellos se quedaron con la parte del león en ese momento, los negocios no les funcionaban. La primera red de televisión, la primera cadena de radio ¿no? Está bien, pues, que bueno que todo está (ininteligible), no se valoraron, creyeron que tenían el don del acierto. ""Eso no te va a funcionar"". Bueno, me enfrenté yo solo. Los invite, inclusive como a Héctor lo raptaron en una época, en esa época lo raptaron al pobre Héctor y estuvo, pues, siete meses, justo en los momentos en que yo por un lado, (2) realizaba este nuevo negocio y..."
El señor MONTESINOS TORRES.—	 ¿Y negociaba usted?
El señor DELGADO PARKER.—	 Y negociaba todos los viajes con los raptores, porque nos sentábamos toda la familia. Habíamos hecho un comité que formaba Manuel, yo y dos sobrinos y un hijo de Héctor, que éramos del comité que  negociaba con los secuestradores. Tuvimos que hacer una negociación que duró (ininteligible) hasta que lo soltaron. Mientras tanto, yo no quería, tenía que ir con mis hermanos, pero teníamos diferentes puntos de vista. Tratábamos el asunto de vez en cuanto. La unión de la familia en estos momentos era importante. Y cuando sale Héctor, me fijé pues que Héctor se había recuperado, venía de Suiza. A mí me dijo: a mi me da mucho gusto, yo no quiero estar en este negocio. Estoy trayendo otros negocios, negocios de medicinas, que voy a hacer otras cosas. Tenía otros planes. Si Héctor estuviera presente ahora no tendríamos  este problema. Lamentablemente desapareció y yo no he tenido la suerte de encontrar en Manuel, digamos... Yo no quiero explicarlo, son cosas familiares, que es muy difícil. Yo  les escribí una carta.
El señor MONTESINOS TORRES.—	 ¿A ellos?
El señor DELGADO PARKER.—	 No. Oye, sabes que he escrito mil cartas, explicando esto, pero ésta es la última carta que les he escrito a la gente de Bellsouth. Porque nosotros en principio, ellos me han puesto un juicio. Mejor dicho, acá está la historia completa, de cuatro páginas. Yo empecé mi negocio en 1989. Ellos nunca quisieron entrar en el negocio, nunca compraron una acción, nunca quisieron poner un aporte, se cuidaron mucho de ser muy específicos y no querer a ningún extraño en ese negocio. Juntos hicimos ya el cable, el cable sí, fue algo que hicimos primero.  Pero en ese negocio... ellos no quisieron entrar. Bueno, pasó...
Background	—El personal de servicio interrumpe la reunión para ofrecerles algo de tomar.
EL señor DELGADO PARKER.—	" Bueno, pues. Así que arranqué solo pues. Yo le  mandé una cartita, sin embargo el papel salió solo. Pero esto no es suerte porque empecé con este negocio con muy poco de dinero, me fui a los Estados Unidos a buscar crédito en el 89, porque Perú tenía el 2% de inflación, con bombas que caían todos los días, con apagones en todo Lima. Yo subía las escaleras, yo me fui de Panamericana cuando tenía mi vivienda en el décimo piso de un edificio, por ahí, en Cavenecia que tenía un solo ascensor. Se iba la luz, había que subir los 10  pisos. Yo los subía diciendo, Alan García, Alan García. Este hombre no  puede resolver un problema de luz en Lima, una cosa que a mí me parecía sencillo resolverlo. (ininteligible) que está sufriendo como todo el mundo esta falta de gobernabilidad. Un caos solía ser, un caos.. Así me fui a una convención de celulares, me encontré con un grupo americano, que se interesaron mucho y me dijeron, bueno,  Perú, lo malo es que Perú. Yo tuve que comenzar a hablarles de que no, que el asunto era interesante. Entonces, se interesaron y conseguí que me dieran un crédito de cinco millones de dólares en equipos a cambio de darles la oportunidad de comprar el 40% del negocio. Entonces, planeamos comprarlo en un millón de dólares, o sea, que íbamos a poner un millón de dólares, ellos pondrían 400 mil. Porque me preguntaban, ¿y cuál es tu capital?, me preguntaron de lleno, y tengo los testigos. ¿Sabe quién era el gerente?, uno que no es mucho de su simpatía, (3) el señor Jaime Mur, si él era el gerente y yo estaba con él en ese momento. Yo lo había empleado a él como gerente. ¿Cuál es su capital en este momento? Yo había puesto más o menos unos 100 mil, 150 mil dólares en el negocio para facultar la gestión. Pero como la devaluación era tan rápida, lo que representaba en ese momento le dije: ""Mire, en este momento si usted quiere, el capital de la empresa es 25 dólares, los gringos me miraron y se rieron, 25 dólares es mi capital."" Bueno, entonces fuimos a San Francisco, hicimos un contrato, lo firmamos y muy bien. Entonces, ¿qué pasó? que después de unos, de un año, no —digo— 6 meses, parte del equipo me lo mandaron y parte no me lo mandaron. Fui a reclamárselos y cuando fui a reclamárselos me metieron ellos un par de juicios, eran unos pillos, después me enteré. Era presidente, él era el presidente de una empresa de 300 millones de dólares. Pero había sacado plata de la empresa, que era una empresa pública, para formar otra empresa, que era la que se había asociado conmigo. Y esa plata la tenían prestada. Ellos los botaron de la Banca y ellos trataron de sorprenderme y presionarme a base de un juicio que me lo hicieron por 20 millones de dólares. Entonces, yo vine acá, hablé con el ministro de Comunicaciones, le conté la historia, le dije lo que estaba pasando, que no se preocupe, esto no afecta la relación con el Gobierno que encabezó Toledo. Entonces, fui de nuevo a San Francisco y resulté, pues, con una contrademanda por el mismo monto. Dos años después les gané el juicio, perdieron las acciones que tenían en la empresa, y después vendieron todas las todas las acciones. Un dinero extra por unos equipos simples que me tocaron porque en realidad tampoco ellos habían pagado, el equipo que me habían prestado se lo debían a Nova Tech, el fabricante, que no se los había pagado, el fabricante se molestó conmigo, me dio un crédito adicional de 10 millones de dólares más y allí seguí metiendo la cosa ¿no? hasta que finalmente yo aquí vendía mis celulares y (Ininteligible) por si acaso necesito un crédito, necesito plata para el anuncio. Yo le pedí un millón de dólares al Banco de Crédito. Hablé con Dionisio. ¿Qué hago? Entonces, agarré y salí a Nueva York y salí por la primera oferta peruana al mercado internacional en el año 93 y vendí bonos de la empresa, bonos convertibles por 40 millones de dólares. Me los compraron en (Ininteligible) Nueva York y me vine con mis 40 millones de dólares. Había los equipos que había solicitado, había los equipos Nova Tech, compré otros equipos, pero todo esto lo hacía yo en mi asociación con Radio Tele, que era la que tenía la licencia, y Radio Tele era de la familia, la mayoría era de mis hermanas y la minoría de nosotros tres. Pero mis hermanos conocían este negocio y cobraban las utilidades que comenzó a dar desde el primer año la empresa y cobraron las utilidades y las sobreutilidades de lo que daba Radio Tele y Radio Tele cobraba el 5% de las utilidades de Tele 2000. O sea que si ellos hubieran sido —digamos— socios de Tele 2000 hubieran cobrado acá y hubieran cobrado allá ¿no? pero nunca reclamaron ningún dividendo de Tele 2000 ni nada porque no sabían que tenían acciones allí. O sea que él conocía perfectamente todo esto porque este contrato se firmó con autorización del directorio y con autorización de los accionistas y fue llevado hasta el Gobierno y el Gobierno lo autorizó a esta asociación; o sea que teníamos plena (Ininteligible) muy ventilado, muy transparente. Me inscribí en la Bolsa, inscribí la empresa en la Bolsa se tiene que llenar la serie de requisitos entre ellos, pues, todos los accionistas se tienen que presentar, en fin. (4) Mi inscribí en la Bolsa. Por supuesto que mis hermanos no participaron en eso. Vino Van de Strous de Australia y me compró el 18% del negocio, me pagó 6 millones de dólares por lo cual yo aumenté el capital y así. Y nunca, 7 años pasaron..."
El señor MONTESINOS TORRES.—	 Sin problemas.
El señor DELGADO PARKER.—	" Sin problemas, mientras tanto yo les había comprado el cable, porque el cable era de los tres; entonces, ellos me dijeron, un día y dijeron queremos vender nuestra parte del cable, porque tú estabas tan entusiasmado con este asunto de la telefonía y el cable te viene bien a ti porque son cosas parecidas. Entonces, yo le dije: ""Bueno, mira hay una fórmula."" ¿Qué te parece si yo les pago a ustedes con acciones de Tele 2000? Ellos me dijeron no (Ininteligible) te doy tanto, esto, tanto, tanto (Ininteligible). La valorización que hizo Manuel de Telecable fue que la empresa valía 6 millones de dólares, una empresa que habíamos puesto entre los tres 400 mil dólares el año 90. En el 93 ellos decían que valía (Ininteligible) porque no les interesaba. Entonces yo formé una compañía panameña y vendí las acciones de Tele 2000 y con eso les compré a ellos, yo les pagué 4 millones de dólares y entró y formamos con otros socios (Ininteligible) y entró otro socio más en la empresa. O sea, que cobraron sus 4 millones de dólares (Ininteligible). Más adelante les compré su parte de Radio Tele para la parte de comunicaciones y les pagué con un millón y medio a cada uno; o sea, que en 7 años ellos cobraron entre los dos 7 millones de dólares, un millón por año de negocios que ellos nunca hicieron y que yo lo hice todo. Solamente ellos querían (Ininteligible). Hasta que llegó el séptimo año y la venta estaba anunciada a BellSouth, que vino acá, que estuvo seis meses haciendo el (Ininteligible) se produjo y en ese momento que le agarró una pataleta y dijeron no, no lo puede usted hacer, nadie puede pagar esa plata de mi hermano, (Ininteligible) son esas. ¿Por qué? Porque él dijo en 1989, me mandó memorándum, diciendo que íbamos (Ininteligible). Es la cosa más increíble que podía sucederme en un momento en que yo tenía un éxito comercial como éste, que está vendiéndole, que estaba trayendo una empresa importante al país, estaba haciendo un buen negocio, mis hermanos sabían que (Ininteligible), Telefónica (Ininteligible), pues eso se convirtió luego en un juicio. Se hizo el juicio y ahí está, juicio por supuesto ha empezado recién a actuarse las pruebas y están yendo los primeros testigos que por supuesto todos han hablado a favor mío porque la realidad es muy clara, es muy fácil, de (Ininteligible) de una situación legal. Entonces yo anuncio en noviembre una segunda venta a BellSouth porque ellos necesitan aumentar el capital. Yo ya no puedo seguir a ese ritmo, yo he aumentado dos veces el capital junto con BellSouth, una vez 20 millones, otra vez 20 millones, dos veces he tenido que tener estos (Ininteligible) millones de dólares desde que entró BellSouth, pero se complica al poner 150 más y a mí tocaría poner entre 250 a 100. (Ininteligible). Yo no soy de la dimensión de BellSouth, yo no puedo seguir a ese ritmo, yo soy un hombre que tiene una vida limitada. BellSouth es una corporación internacional que va a durar muchísimo tiempo. Entonces, no somos socios, pero podemos seguir navegando juntos en nuestras naves. Entonces lo convencí, primero, quisimos hacer una cosa a crédito pero las circunstancias, las instalaciones se echaron a perder y entonces (Ininteligible). Finalmente dijeron: ""Bueno, yo lo lamento porque sin mi voto no pueden aumentar el capital. Entonces para darles facilidades —les dije— anunciamos en noviembre."" Ah, inmediatamente mis hermanos presentaron una cautelar para impedir que Genaro venda sus acciones porque sino no entras y BellSouth va a impedir (Ininteligible) pero (Ininteligible) tiene interés (Ininteligible) por falta de pruebas, no tenía ni pruebas ni contra cautela porque la medida cautelar hay que tener una garantía por lo menos. (5)  Usted no puede decir: “Pues, oiga usted págueme un negocio de 60 millones” ¿no? porque a mí me da la gana. “¿Y la prueba?” “No, fíjese, que un memorándum, que no sé qué...”. Eso no es una prueba, una prueba sería que el juicio avance para que los testimonios acrediten que todo esto es cierto o sino tener, pues, unas acciones o algo más concreto. Pues, nada. Bueno, el juez lo rechazó. Bueno, hasta ahí yo tranquilo. Pero después de eso que el juez lo ha rechazado en un juicio que ellos mismos han interrumpido ante un jurado, mandan una carta a BellSouth desde un estudio en Miami diciéndole que no hagan negocio conmigo porque eso es algo que puede traerle consecuencias a los (ininteligible). Entonces, ya es que ellos se salen del ámbito del propio juicio que han puesto, no hacen caso a una medida cautelar que se les ha desestimado y se pasan por encima y quieren hacer ya un daño a un negocio. Y no lo hacen, no lo hacen, pues. Entonces, yo lo llamo a Manuel, con quien no hablo porque desde que me metió juicio ya no hablo con él, ¿cómo voy a hablar con un hermano que me mete un juicio? Dicho sea de paso, las acciones primeras que tuvo él en la televisión se las regalé yo. Yo formé la televisión y yo le regalé unas acciones a Manuel, y él es el que me mete un juicio. Yo digo, está bien, pero no hablo con él, no puedo hablar con él. Entonces, lo llamo, sin embargo, este domingo —yo vivo— en Miami y le digo: “Oye, me he enterado que estás en Miami y te llamo para decirle lo siguiente: Tú me has metido un juicio, cosa que yo nunca hubiera hecho con un hermano. Yo hubiera buscado una solución, una manera de componedor o un árbitro, cualquier cosa; pero nunca hubiera metido un juicio. Pero tú me has querido meter un juicio. Bueno, yo no te he dicho nada, simplemente he esperado las consecuencias. Pero ahora has mandado una carta a BellSouth y me has hecho daño, y eso es una metida de pata de tu parte. Así que yo voy a tener que defenderme, voy a tener que decir, publicar mi verdad —cosa que no he querido hacer hasta ahora— defender mi punto de vista y mi honor, mi honorabilidad de hombre de negocio serio; que yo he hecho esto de una manera muy clara y muy transparente. Y además de eso, te tendré que poner un juicio por daños y perjuicios; y tú que ya tienes sesenta y tantos años, y yo tengo setenta, vamos a ser un par de viejos 'pelotudos' que vamos a dedicarnos a meternos juicios a estas alturas de la vida, eso es lo que va a suceder ¿Por qué? Porque tú obcecadamente llevas a esto. Entonces, te propongo que si tienes alguna idea que sea buena para ti y que sea negocio para mí, busques una solución; porque esto te va a caer peor de lo que tú crees; o sea, esto no es tan fácil, fregar a un hermano porque sí, porque le da la gana y sin tener alguna base”. Así que ahí terminó la conversación y cada uno tomó su lado. Él se ha ido afuera, yo espero que cuando regrese lo voy a sentar en una mesa y voy a tratar de buscar soluciones, porque me he dado cuenta que en el Poder Judicial no tengo suerte, porque paso por la Aduana y ahí me cae. (Risas.) Entonces, he dicho: “Bueno, acá no se puede ir al Poder Judicial porque tengo que transar con la gente, no tengo otra salida. ¿Cómo puedo ir al Poder Judicial cuando cada vez que paso por ahí ¡pam! me dan mi palazo? Entonces, estoy fregado. Entonces, es por eso que he venido acá, a Víctor, a decirle, a llorarle mis penas y decirle: “Mira, carajo, como lloro de viejo”. Yo creo que algo he hecho en el país, ¿no? algunas cosas. Tuve la suerte de participar en el nacimiento de la televisión peruana y en el nacimiento del cable y de la telefonía celular, que es sólo una actividad. El otro día me ha llamado, ayer o antes de ayer, me ha llamado Winter para decirme que su equipo de periodistas ha detectado que yo soy un empresario que he hecho algo por las comunicaciones, que quiere hacer un homenaje a los empresarios del siglo, no sé qué más, y que si yo aceptaría. Le dije: “Bueno, espero que no sea en el programa de Magaly.” (Risas.) Me dijo: “No, no.” Pero yo entré en el canal (ininteligible) se lo dije. Entonces, “Bueno, no —me dice— Bueno, pues —digo—, pero caramba, como...”. (6) Entonces fui a contarle, pues, a Víctor mis penas y decirle: ""Yo tengo en este momento un bote, un yate, un yate chico, tiene 80 pies, tiene 5 camarotes con baño. Pero no tiene mucho rango porque no tiene mucho..."" . O sea, puede hacer 500 millas, no puede hacer más. Lo he llevado a Mallorca; eso fue este verano pasado. Está ahí guardado en un sitio en Palma que se llama Club de Mar. Club de Mar es de la Marina y tiene 2 mil 500 ""sleeps""."
El señor JOY WAY ROJAS.—	 (Ininteligible).
El señor DELGADO PARKER.—	" O sea, hay que ir en auto porque sino... 2 mil 500 barcos amarrados tienen en la bahía de Palma. Pienso irme en mayo a tomar mis vacaciones allá ¿no? Y, por supuesto, invitar a mis amigos. Cuando quieran está el barco, tiene un capitán y es un capitán egipcio. Yo lo llamó y le digo: ""fulanito va, atiéndalo usted"". Entonces él inmediatamente toma a dos personas más, que es una camarera y un marinero; y se va a pasear donde quiere mi invitado."
El señor MONTESINOS TORRES.—	 Claro.
El señor DELGADO PARKER.—	 Pero ya yo estoy para esas cosas. Ya no quiero pelearme, ya no quiero seguir peleando. A mí me ha gustado mucho el periodismo siempre, pero ya, pues. Para hacer periodismo hay que entrar a las 8 de la mañana y salir a las 12 de la noche. Un poco lo sabe usted.
El señor MONTESINOS TORRES.—	 Claro.
El señor PARKER.—	 A usted le gusta su trabajo. (Ininteligible) concluir a hasta las 5 de la mañana. Eso es cuando a uno le gusta la cosa. Pero cuando uno tiene la edad que yo tengo, me he vuelto a casar, tengo otra vida, estoy feliz y tranquilo. O sea, qué quiere decir, hermano, además que este hombre que siempre ha sido un buen amigo, se ha lanzado, pues, al Premierato y muy posiblemente a cosas mayores, ¿no es cierto? Entonces, yo le he dicho: bueno, yo hasta ahora por cuestiones de tener más sintonía, de buscar, de iniciar una nueva actividad, me tuve, me quedé en el 13 porque perdí los puntos en Panamericana. Justamente, otro negocio mal hecho (Ininteligible), no supieron manejar, se manejaron con (ininteligibile), se la llenaron de deudas. Y en lugar de hacer una buena negociación han hecho una mala negociación. Entonces, yo no sé ya qué cosa tenga en Panamericana , no sé, han hecho un enredo. No sé si yo soy socio, cuánto tengo, cuánto me corresponde. Yo sé que tenía 40%, ahora no sé dónde estoy. No sé qué pasa en Radio Programas , no sé que pasa en SUR , porque son negocios que yo he formado.
El señor JOY WAY ROJAS.—	 ¿Tú eres socio también de Radio Programas?
El señor DELGADO PARKER.—	" Claro, yo tenía... Mira, la compañía es así, esta compañía se llama DELPARK, de la sociedad de los tres hermanos. DELPARK es la dueña de Panamericana , de Radio Programas y de SUR . Yo tenía el 40%, Héctor tenía más o menos 40% y Manuel un 20%; ésa era la sociedad. ¿Y por qué tenía Manuel menos que yo y por qué tenía menos que Héctor? Porque la empresa la formé yo, no la formó mi papá, como dice Manuel, la formé yo la empresa. Y cuando yo la formé yo le entregué acciones a Héctor, que la había formado conmigo porque éramos socios, con mi hermano Héctor sí éramos socios; y a Manuel le regalé un 'cachito'. Y otro poco se lo di yo mi a papá, que no quería recibirlo. ¿Saben cómo yo formé la televisión? La televisión yo la formé más o menos con esto: sin plata; o sea, yo me fui, yo trabajaba en la radio, primero comencé a los 18 años en una radio que se llamó Radio Callao , con un socio que se llamaba Fantoni. ¿Yo te conté el caso de Fantoni? Fantoni era un italiano que vivía cerca de la casa, que tenía una hijita rubia que se llamaba Saby. La mamá de Saby se apellidaba Kamalich, era una yugoslava. Al viejo Fantoni, nosotros, jóvenes, de 18 años, le propusimos el negocio y juntos alquilamos Radio Callao . Estuvimos un tiempo ahí, no nos gustó, liquidamos la sociedad, le devolvimos su dinero al viejo y nos metimos en Radio Libertad . En Radio Libertad nos fue muy bien a Héctor y a mí, y estuvimos como 4 años. En ese tiempo mi papá tuvo su primera estación propia, que fue Radio Panamericana . Nos llamó para que vayamos (7) a trabajar con él y nosotros le dijimos: ""Papá, nosotros no queremos ser empleados, nosotros somos empresarios, tenemos nuestros negocios. Así que  ponemos  una sociedad de gerencia, tu tienes tus accionistas 50% , y nosotros 3 el otro 50%."" Entonces, empezamos a trabajar. 2 años después yo les digo: ""Ustedes síganme pagando el sueldo —porque ya me había casado— y yo les voy a poner el transmisor ¿cómo? no te preocupes, yo voy a actuar."" Después me fui porque era mi equipo (ininteligible) teatro Marsano, se habían enterado que estaban tomando una fábrica de Pepsi (ininteligible) estación en Barranca. Entonces les dije: ""Yo les voy a comprar el transmisor"". Y les hice un contrato para comprar este transmisor de televisión, hasta ese momento (ininteligible) los japoneses no existían, todavía no habían llegado; estamos hablando pues, del año 56, 57. Entonces, firmé el contrato el cual no hay.., para pagarle en 4 años, la compra fue 15% al contado y 4 años de plazos, era la época de Prado, ya estaba entrando a una estabilidad económica. Entonces, le digo: ""Bueno, le vamos a poner una cláusula en el contrato por el cual, por cada televisor que vendas, me van a dar a mí 50 dólares."" Me aceptaron la cláusula y cuando yo saqué ese contrato de alquiler dije: ""Ya tengo (ininteligible)"". Con estos 50 dólares por televisor proyecté en 4 años, hice un cuadro y separaba (ininteligible), según lo que yo creía que iba a ser la devaluación en ese momento. Entonces, ahora cabe un socio, entonces fui buscando un socio, tenía al señor Heredia de Pepsi Cola, que era un socio (ininteligible) escogí un contrato de medio millón de soles y yo aporté mi contrato (ininteligible). Ésa fue la sociedad con Panamericana. En cuanto a las acciones que me tocan dije: ""Bueno, del 50%, un tercio le voy a dar a mi padre, un tercio a (ininteligible) socio de la radio y como Manuel estaba de 22 años en ese momento (ininteligible) yo le voy a regalar (ininteligible) y así se formó. Por eso es que (ininteligible) es de mi padre, por más tiempo, como él no quería la presidencia repartió las acciones entre los 3 en partes iguales, entonces, (ininteligible). Pero así es como se forma la empresa. Entonces, lo que quiero decirte es que Manuel que ha (ininteligible) felizmente que no te regalé las acciones, nunca pensé que (ininteligible) Federico Barreto (ininteligible) este cojudo (ininteligible) incorporado al grupo, después yo mismo lo metí en Radio Programas del Perú, (ininteligible) con Pepe Crousillat. Pepe Crousillat y Manuel hicieron Radio Programas del Perú, después cuando vino el Gobierno Militar y expropió el 71, el 51% de las acciones y me llamó el general Meza Cuadra y me dijo, nos llamó uno por uno ¿no? y me dijo: ""Usted maneje el negocio como quiera, la parte de negocios haga usted lo que quiera, usted tiene el 49, pero para negocios usted tiene lo que quiera, pero la parte política la manejamos nosotros."" Ese general (ininteligible) yo creo que vamos a hacer buena sociedad, yo le dije, he decidido escoger a mi mujer y a mi socio, quédese con el ciento por ciento. Le dije a Pepe: vámonos a Buenos Aires, salte de la radio y vente conmigo a hacer televisión. De ahí nos fuimos e hicimos producciones, (ininteligible), nosotros tenemos producciones de la época ¿no? Ahora, yo he estado fuera del país 9 años. A los 9 años, cuando Morales Bermúdez llamó a la Constituyente, yo regresé y comencé a trabajar para recuperar mi capital. De ahí , cuando recupero Panamericana, me entero de que  Radio Panamericana estaba expropiada el 25% por el Gobierno y que sí había recibido el dinero. Entonces, el ministro famoso, ¿como se llamaba?, el primer ministro (8) de Belaunde, me dijo: “(ininteligible)”. Entonces, para mí fue un...Le dije: “Fíjese, yo no he ido hasta ahí por no ser socio del Gobierno y ahora resulta que soy socio”. Entonces, vi el reglamento y en el reglamento decía Estatales Asociados, era la que tenían por lo menos 25%, tenían derecho a tener telefonía o cable; o sea, tenía licencia, el 82 la obtuve; o sea, la desgracia se convirtió en un favor, y eso es lo que nos permitió después..."
El señor MONTESINOS TORRES.—	 Seguir operando.
