speaker	speech
Background	 Departamento de Transcripciones. CONGRESO DE LA REPUBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCION DEL AUDIO N.° 1476 ‘‘REUNION DR. - EDUARDO CALMELL’’ MARTES 13 DE ABRIL DE 1999
El señor CALMELL DEL SOLAR.—	 (Continuando)...hay que terminar eso, hay que finalizar (?).
El señor MONTESINOS TORRES.—	 Así es. 
El señor CALMELL DEL SOLAR.—	 Claro, porque los (?).
El señor MONTESINOS TORRES.—	 Pero los diplomáticos, la esencia de  los diplomáticos es la decencia(risas), esa es la esencia.
El señor CALMELL DEL SOLAR.—	 Ya no es la confidencialidad.
El señor MONTESINOS TORRES.—	 Así es.
El señor CALMELL DEL SOLAR.—	 Oye hermano, mil gracias.
El señor MONTESINOS TORRES.—	 Entonces me llamas tú.
El señor CALMELL DEL SOLAR.—	 Te llamo mañana.
El señor MONTESINOS TORRES.—	 Y cuando quieras nos sentamos en algún momento, y hablas con Manuel, para que le envíes mis saludos y que en cualquier momento estaremos acá, para tomar un cafecito o almorzamos o tomar un lonche, bueno cuando tenga tiempo, y ahora después ya vamos a tener un poco más de contacto, porque a raíz de este trabajo, vamos a poder conversar.
El señor CALMELL DEL SOLAR.—	 Sí, yo creo que sí.
El señor MONTESINOS TORRES.—	 Claro, después nos comunicaremos.
El señor CALMELL DEL SOLAR.—	 De acuerdo, te llamo y te aviso.
El señor MONTESINOS TORRES.—	 Ya hermano, listo, muchas gracias.
El señor CALMELL DEL SOLAR.—	 Gracias, nos vemos.
Background	—Fin del Audio N.° 1476. —Transcripción: lunes 30 de Abril de 2001.
