speaker	speech	speaker_std
Background	" Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DE LOS VIDEOS Núms. 1677 y 1679 (Estos videos tienen el mismo contenido pero de diferente ángulo) ""REUNIÓN DR. - DELGADO PARKER - SCHÜTZ"" DEL 25 DE AGOSTO DE 1999 —Se aprecia a dos personas, el señor Manuel Delgado Parker y el señor Ernesto Schütz Landázuri, quienes toman asiento en un sillón de tres cuerpos en la sala del Servicio de Inteligencia Nacional."	KOURI
"El señor		.—"	 Entonces lo voy a llamar, entonces.	SENOR
El señor SCHÜTZ LANDÁZURI.—	 Ya, por favor.	SENOR
Background	—Diálogo ininteligible.	KOURI
El señor DELGADO PARKER, Manuel.—	" Una pregunta. Fíjate, quizás está, si ya está nos pueda ayudar con el ""saldito""."	SENOR
El señor SCHÜTZ LANDÁZURI.—	 A sí, indudablemente. Ya está (?).	SENOR
Background	—Diálogo ininteligible.	KOURI
El señor SCHÜTZ LANDÁZURI.—	 Que a ti te voy a botar y a ti te voy a hacer botar.	SENOR
El señor DELGADO PARKER, Manuel.—	 Claro, tú sabes que estos personajes son imposibles, son insoportables (?). El cholo con plata, el negro con mando ¡uff! y el blanco calato, son tres personajes insoportables. Esa es la verdad. Este es el negro con mando, (risas). Y no hay ni de (?).	SENOR
Background	—Diálogo ininteligible. —Ingresa una persona que entrega al señor Schütz aparentemente un llavero y un teléfono celular y le pregunta si desea algo.	KOURI
El señor SCHÜTZ LANDÁZURI.—	 Ahí está, gracias.	SENOR
"El señor		.—"	 ¿Un cafecito, algo?	SENOR
El señor DELGADO PARKER, Manuel.—	 Me caería bien un café.	SENOR
El señor SCHÜTZ LANDÁZURI.—	 A mí dáme un juguito de piña, pues, de piña o bueno de...	SENOR
Background	—Diálogo ininteligible.	KOURI
El señor SCHÜTZ LANDÁZURI.—	 Ah, el edecán es un tipo con uniforme, creo que es (?).	SENOR
El señor DELGADO PARKER, Manuel.—	 (?)	SENOR
El señor SCHÜTZ LANDÁZURI.—	 (?).	SENOR
El señor DELGADO PARKER, Manuel.—	 Muy bien, me pareció un tipo que ha aprendido mucho y, bueno, los golpes en la vida que ha sido de repente la mejor presentación que ha tenido. Gente que conoce me dice ha mejorado mucho, y esto a lo mejor es porque (?) sin exageraciones y con una lógica, digamos, y el asunto tiene lógica. Yo creo que tiene mucho que mencionar. (?)	SENOR
El señor SCHÜTZ LANDÁZURI.—	 (?) Yo hablé con gente de la Telefónica, una (?), y me dijeron que, bueno que (?) no me dijeron (?). “Sí, nos han traído un proyecto para abrir una serie de canales, estamos viendo, eso está en... Se está viendo, pero hay hasta 3 ofertas”.	SENOR
El señor DELGADO PARKER, Manuel.—	 No, sí, son varias.	SENOR
