speaker,speech,speaker_std
BACKGROUND,"﻿Reunión desconocido y Vladimiro Montesinos. (sin fecha). En esta reunión con mucha crudeza confiesan la falsificación de firmas lamen tándose que por 400 soles se haya frustrado un proceso en el que habían invertido cantidades tan elevadas. Luego se referen a movimientos de dinero efectua dos a través del Banco Wiesey del Pacific, estableciendo la realización exitosa de diversas operaciones de lavado. VMTformula planes de contingencia para alquilar departamentos donde depositar dinero para ser usado en caso de necesidad. Luego, elaboran planes a ser ejecutados cuando Carlos Boloña gobierne. Finalmente, revisan la situación del APRAy VMT informa que ha sobornado a Agustín Mantilla, aunque mantienen desconfianza en Alan Carcía.",BACKGROUND
BACKGROUND,[Se escuchan unos ruidos y se una conversación telefónica.],BACKGROUND
El señor Vladimiro Montesinos,Ya. Ya. Bien. Ya. Ya. Ya…,MONTESINOS
BACKGROUND,[Timbra un teléfono.],BACKGROUND
El señor Vladimiro Montesinos,"Ya. Claro. Ya hermano. Ya. Ya, Ya. Ya. Sí. Ya. Ya. Ya. Ya. Muy bien. Ya",MONTESINOS
Desconocido,"Mis favores te los doy, hermano.",DESCONOCIDO
BACKGROUND,[No se percibe diálogo.],BACKGROUND
BACKGROUND,[Timbra otra vez el teléfono.],BACKGROUND
El señor Vladimiro Montesinos,"Exactamente, ayer y hoy día, inmediatamente, vaya a ver la decisión del penal hay que ver con quién se ha quedado.",MONTESINOS
El señor Vladimiro Montesinos,Cortes de cables (?) que vayan y cierren la puer ta principal de los gastos de despistaje de Genaro Muñoz... que se siente en la presidencia (?).,MONTESINOS
Desconocido,Rinde mejor(?).,DESCONOCIDO
El señor Vladimiro Montesinos,Por eso se paga precio por liebre.,MONTESINOS
Desconocido,Va a presentarme (?) finalmente fue el presidente él.,DESCONOCIDO
El señor Vladimiro Montesinos,Ah.,MONTESINOS
Desconocido,(?),DESCONOCIDO
El señor Vladimiro Montesinos,Ya.,MONTESINOS
Desconocido,(?),DESCONOCIDO
El señor Vladimiro Montesinos,Sí.,MONTESINOS
BACKGROUND,[Corte en la cinta.],BACKGROUND
El señor Vladimiro Montesinos,"Malea, cuidado que cuando saquen eso, se vol tee y se cae. Ah.",MONTESINOS
El señor Malea,"No, no se preocupe (?).",MALEA
El señor Vladimiro Montesinos,Esto no se va a voltear y caer esta cojudez. ¿Es tá todo bien colocado?,MONTESINOS
El señor Malea,"Sí, pero uno por uno. Esto entra, esto no es muy grande, entra.",MALEA
El señor Vladimiro Montesinos,"(?) éste muy delgado va a ser, hoy día me termi na todo. Ah.",MONTESINOS
El señor Malea,"Sí, sí, señor. Estamos llevando uno o dos. (?) unos van grabando mientras van viajando (?) en el cofre lo están acomodando",MALEA
El señor Vladimiro Montesinos,"Entonces, qué me das.",MONTESINOS
El señor Malea,Ahí lo están acomodando.,MALEA
El señor Vladimiro Montesinos,"Lo está acomodando ahí, ¿no?",MONTESINOS
El señor Malea,"Sí, en la mesa.",MALEA
El señor Vladimiro Montesinos,Queda en tus manitos (?).,MONTESINOS
El señor Malea,(?) pintarlo no más.,MALEA
El señor Vladimiro Montesinos,"No, así se ve feo (?) deje usted en el pasillo 42 (?) ese respaldar ha sido un diario y hay un precio (?).",MONTESINOS
El señor Vladimiro Montesinos,Ah.,MONTESINOS
El señor Malea,(?)digital.,MALEA
El señor Vladimiro Montesinos,"(?)oye me recogen esto que esta (?). ¡Ah! (?) de partamento, una casa, (?). En la casa no hay nadie (?).",MONTESINOS
Desconocido,(?).,DESCONOCIDO
El señor Vladimiro Montesinos,"Pero, lo que yo (?). Sí.",MONTESINOS
Desconocido,(?).,DESCONOCIDO
El señor Vladimiro Montesinos,"Para cualquier cosa, tú no sabes dónde están (?) quitando cuerpo (?).",MONTESINOS
Desconocido,Hasta ayer (?).,DESCONOCIDO
El señor Vladimiro Montesinos,(?) para cualquier cosa acá (?).,MONTESINOS
BACKGROUND,[Corte en la cinta de audio.],BACKGROUND
El señor Vladimiro Montesinos,Cuándo diablos y qué has sabido de tu her mano,MONTESINOS
Desconocido,"He llamado señor (?) el mejor de un (?) un carro, puede ser.",DESCONOCIDO
Desconocido,Está muy grande (?).,DESCONOCIDO
Desconocido,"(?) le entrego y ya. Bueno, estoy buscando un (?).",DESCONOCIDO
BACKGROUND,[Diálogo ininteligible.],BACKGROUND
El señor Vladimiro Montesinos,"(?) no hay ningún problema, (?) ustedes me al canzan. Yo manejo esta huevada solito.",MONTESINOS
Desconocido,"Claro, usted va (?).",DESCONOCIDO
El señor Vladimiro Montesinos,"(?) no, claro (?) va a ir mi mujer (?) ustedes se meten, entran a un atropello. Me entienden, se van a meter, van al otro lado, a h otra casa. (?). O sea, en lugar de hacer un (?).",MONTESINOS
