speaker	speech	speaker_std
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL AUDIO  N.° 919 “BARLET - DELEGACIÓN ISRAELÍ – DR.” DEL JUEVES 5 DE MARZO DE 1998 —El cassette es totalmente inaudible, hay demasiado ruido y no se puede transcribir.	BACKGROUND
Delegacion Israel	 (?) cómo ha quedado acá (?).	DELGADO PARKER
Delegacion Israel	 A las finales (?)	DELGADO PARKER
Delegacion Israel	 Para darle fuerza (?)	DELGADO PARKER
El señor MONTESINOS TORRES.—	 Y tienen (?) conviven juntos.	MONTESINOS
Delegacion Israel	 (?) la amistad y sabemos (?) Ya queda (?) una zona está (?) hay varios, señor.	DELGADO PARKER
Delegacion Israel	 Por algo no quiere (?)	DELGADO PARKER
El señor MONTESINOS TORRES.—	 Le van a dar el otro cargo.	MONTESINOS
Delegacion Israel	 Quien es el otro cargo, doctor (?)	DELGADO PARKER
El señor MONTESINOS TORRES.—	 Le van a dar (?) la clave (?) y le regalan un (?) no, usted hace (?)	MONTESINOS
Delegacion Israel	 (?)	DELGADO PARKER
El señor MONTESINOS TORRES.—	 Todos saben que tiene (?) él sabe que (?)	MONTESINOS
Delegacion Israel	 (?) para instalar mejor gobierno.	DELGADO PARKER
Delegacion Israel	 (?)	DELGADO PARKER
Delegacion Israel	 (?)	DELGADO PARKER
El señor MONTESINOS TORRES.—	 A ver (?) su casco (?) Yo he visto en el (?)	MONTESINOS
Delegacion Israel	 No importa, pero (?)	DELGADO PARKER
El señor MONTESINOS TORRES.—	 Ojalá tengan (?) Él tiene tanque para (?)	MONTESINOS
Delegacion Israel	 La (?) está abriendo un proceso la (?)	DELGADO PARKER
Delegacion Israel	 (?) quedar archivado(?)	DELGADO PARKER
El señor MONTESINOS TORRES.—	 Las (?)	MONTESINOS
Delegacion Israel	 Está adjuntado.	DELGADO PARKER
El señor MONTESINOS TORRES.—	 (?)	MONTESINOS
Delegacion Israel	 (?) (2)	DELGADO PARKER
Delegacion Israel	 Para ver nuestro acuerdo para (?) y llevar al (?) es difícil cuestionar las faltas (?)	DELGADO PARKER
Delegacion Israel	 (?)  le quisieron dar (?)	DELGADO PARKER
Delegacion Israel	 (?) en donde está (?) la distancia (?), ha habido	DELGADO PARKER
Delegacion Israel	 (?) también está en el manejo (?) debemos mandar al (?) a veces se manda pues todito (?) para juzgar (?)	DELGADO PARKER
Delegacion Israel	 (?)  pero tampoco está (?) para este año (?) 	DELGADO PARKER
Delegacion Israel	 No importa (?)	DELGADO PARKER
Delegacion Israel	 (?) hay algunos (?) no, si fue rápido (?) pero sin embargo (?) aló habla (?) no se le puede decir (?) (3)	DELGADO PARKER
—	 El cassette es totalmente inaudible, hay demasiado ruido, no se puede transcribir.	MONTESINOS
Delegacion Israel	 (?) habla Alegre. Aló. No está (?). Nadie está (?). Qué parte del (?) es tuyo. (?) Vente y pasa por (?)	DELGADO PARKER
Delegacion Israel	 (?) la facilidad que aparentemente tiene. Es un ámbito muy abierto a este tipo de cosas. Por lo delicado de este tema, es más fácil de desarrollar.	DELGADO PARKER
El señor MONTESINOS TORRES.—	 Ya.	MONTESINOS
