speaker	speech	speaker_std
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 978 (Este vídeo continúa en el  Vídeo N.° 977) “CONDECORACIÓN AL DR. VLADIMIRO MONTESINOS TORRES POR LA FUERZA AÉREA DEL PERÚ” DEL 24 DE JULIO DE 1998 —Un grupo de altos mandos castrenses, en su mayoría FAP, se encuentran reunidos en un pequeño salón enchapado en madera fina y adornado con cuadros. Los oficiales esperan la llegada del Doctor Vladimiro Montesinos Torres.	BACKGROUNDUNIDENTIFIED
"El señor		.—"	 (?) por primera vez (?).	SENOR
El COMANDANTE GENERAL DE LA FAP, señor Elesván Bello Vásquez.—	 (?) para que... para que esté correcto.	MONTES DE OCA
"El señor		.—"	 (?) en exhibición y se ve el avión.	SENOR
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 (?) Parece que el Presidente no va y va a presidir Valle Riestra, o sea que va a estar candente la ceremonia (?). (Risas.)	MONROE
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 (?) está bonita (?) varios periódicos he visto. Sí. Ajá. ¿Cuándo fue? ¿Con quién...?	MONROE
"El señor		.—"	 ¿No estaban adentro la...?	SENOR
"El señor		.—"	 No, en dos minutos...	SENOR
"El señor		.—"	 No, pues, ¿has visto el noticiero? ¿Tú viste o no?	SENOR
"El señor		.—"	 Sí.	SENOR
"El señor		.—"	 ¿O no has visto? O sea, no sabías a qué me refería.	SENOR
"El señor		.—"	 No, no.	SENOR
"El señor		.—"	 (?) es como si el Seguro no solamente (?).	SENOR
"El señor		.—"	 (?) un magnífico atleta.	SENOR
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 Sí, pues.	MONROE
"El señor		.—"	 Ha sido lo mejor que han tenido ustedes.	SENOR
"El señor		.—"	 (?) para adelante ¿no? (?) más claro.	SENOR
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 (?) Se usa sólo en estas ocasiones.	MONROE
"El señor		.—"	 Sí, pues.	SENOR
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 Sería bueno usarla todos los días. (Risas.)	MONROE
Background	—Hace su ingreso al salón el Doctor Vladimiro Montesinos Torres.	BACKGROUNDUNIDENTIFIED
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 Aquí estamos hombre, aquí estamos.	MONROE
"El señor		.—"	 Doctor, cómo está usted, buenos días.	SENOR
"El señor		.—"	 Cómo está.	SENOR
"El señor		.—"	 Cómo está, doctor.	SENOR
"El señor		.—"	 Cómo está, doctor.	SENOR
"El señor		.—"	 Doctor, buenos días.	SENOR
"El señor		.—"	 Señor, doctor, buenos días. ¡Qué gusto de verlo!	SENOR
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 Estamos muy bien, hombre (?) de todas maneras.	MONROE
El señor MONTESINOS TORRES.—	 Muchas gracias.	MONTESINOS
El GENERAL DE DIVISIÓN EP, señor Salazar Monroe.—	 Claro.	MONROE
"El señor		.—"	 Sería bueno que repitan a ver, cómo va a ser la ceremonia.	SENOR
"El señor		.—"	 (?)	SENOR
El señor MONTESINOS TORRES.—	 Ya.	MONTESINOS
"El señor		.—"	 (?)	SENOR
El señor MONTESINOS TORRES.—	 Perfecto.	MONTESINOS
El COMANDANTE GENERAL DE LA FAP, señor Elesván Bello Vásquez.—	 (?) izquierdo.	MONTES DE OCA
El señor MONTESINOS TORRES.—	 Ah, ya, ya,	MONTESINOS
