speaker,speech,speaker_std
BACKGROUND,"(sin fecha). VMT conversa con una persona no identificada sobre el caso de Fabián Solazar. Mantienen largos silencios durante los cuales se escucha la televisión encendida en Canal N. En este audio, VMT define completamente la información que luego será propalada por el programa de América TV, Hora 20.",BACKGROUND
BACKGROUND,[Se percibe un diálogo ininteligible.],BACKGROUND
Desconocido,"Porque, en realidad todos los presentes. En realidad, esto, osea, todo tendría que venir, ah.",DESCONOCIDO
Desconocido,"Podría ser, pues, el (?) el de la USE.",DESCONOCIDO
Desconocido,"El de la USE, ¿y el otro?",DESCONOCIDO
Desconocido,(?),DESCONOCIDO
Desconocido,"No, el Volvo, el de DINOES.",DESCONOCIDO
Desconocido,De DINOES.,DESCONOCIDO
Desconocido,"Claro, tú sabes que ahorita están en movimientos estos (?).",DESCONOCIDO
Desconocido,(?),DESCONOCIDO
BACKGROUND,[Se desarrolla diálogo ininteligible.],BACKGROUND
Desconocido,"¿Dónde está el mozo de acá?, ¿el mayordomo dónde está? Párate acá. ¿Dónde estás? Quédate ahí.",DESCONOCIDO
BACKGROUND,[Se percibe un diálogo ininteligible y lejano.],BACKGROUND
BACKGROUND,[Se escucha programas de televisión. Se nota que cambian de estación televisiva hasta que se percibe la música característica del Canal N.],BACKGROUND
La Locutora,"Buenas noches. Éste es un resumen a punto, aquí en Canal N. Según el Canciller Fernando De Trazegnies, la opinión del vocero del Departamento de Estado norteamericano no corresponde a la del gobierno de ese país. Trazegnies declaró así en relación al cable difundido ayer por la agencia Reuters según el cual el Departamento de Estado norteamericano calificó que es ilegítimo un triunfo de Alberto Fujimori en la segunda vuelta electoral. Según comunicado emitido esta tarde, el Departamento de Estado norteamericano expresa nuevamente su profunda preocupación por (?). En el documento se señala que la Secretaria de Estado Madeleine Albright coordinará con el Secretario General de la OEA, César Gaviria, los pasos que se seguirán en relación a este tema. A través de un pronunciamiento emitido esta tarde el Ministro de Relaciones Exteriores del Reino Unido, John Major...",LOCUTOR
BACKGROUND,"[Cambian de estación televisiva. Se escuchan fragmentos de diversos programas de televisión.] [Se percibe un intercambio de saludos y abrazos, entre los que se mencionan los nombres ""Fernando"" y ""Santiago"".]",BACKGROUND
Desconocido,"Les he dicho que vino, pues, que en realidad no estaba tu nombre. Entonces, me manda a decir: ""Yo estoy invitado, ¿no?"" ""Sí, general"", le digo.",DESCONOCIDO
BACKGROUND,[Se desarrolla diálogo ininteligible.],BACKGROUND
Desconocido,"Fernando, ¿cómo estás?, ¿qué tal?",DESCONOCIDO
Desconocido,Bien. ¿Qué tal los líos familiares?,DESCONOCIDO
Desconocido,"Ahí. Mañana hay una reunión acá, 10 y media",DESCONOCIDO
Desconocido,10 de la mañana.,DESCONOCIDO
Desconocido,"Alrededor de las 10, ¿quiénes van a venir por parte nuestra? Me imagino que ustedes (?).",DESCONOCIDO
BACKGROUND,[Entra un mozo y todos hacen su pedido.],BACKGROUND
El mozo,"Buenas noches, ¿qué se va a servir, general?",DESCONOCIDO
Desconocido,Agua mineral. O agua mejor no más.,DESCONOCIDO
Desconocido,"Pero una cosa rápida, hermano.",DESCONOCIDO
Desconocido,"Muchísima gente, ¡ufl, hermano.",DESCONOCIDO
BACKGROUND,[Se desarrolla diálogo ininteligible.],BACKGROUND
Desconocido,"Ahí está, es Alfonso (?).",DESCONOCIDO
Desconocido,¿Alfonso de (?)? ¿dónde trabaja él?,DESCONOCIDO
Desconocido,Alfonso nada más.,DESCONOCIDO
Desconocido,¿Sabes qué?,DESCONOCIDO
Desconocido,"Ya, ya, mucha gente (?).",DESCONOCIDO
Desconocido,De 10 a 11 en punto lo mandamos.,DESCONOCIDO
Desconocido,"La idea es que convoquemos temprano, hermano, porque…",DESCONOCIDO
Desconocido,"Muchos militares, mucha presencia militar y policial y si no te (?).",DESCONOCIDO
Desconocido,Yo me fui (?) hay que también (?).,DESCONOCIDO
Desconocido,(?) al colegio no entran (?).,DESCONOCIDO
Desconocido,(?) yo me fui.,DESCONOCIDO
Desconocido,(?) también los soldados.,DESCONOCIDO
Desconocido,"No entran por el colegio, no entran por (?).",DESCONOCIDO
Desconocido,(?) se levantó (?).,DESCONOCIDO
Desconocido,(?).,DESCONOCIDO
Desconocido,(?).,DESCONOCIDO
