speaker,speech,speaker_std
BACKGROUND,Entrevista. (sin fecha). Una cámara propia del SIN ha grabado la entrevista de Álamo Pérez Luna a Alberto Fujimori y VMT. El interés de este video es que registra las conversaciones que se producen en el sety que no fueron incorporadas en la versión final que se presentó en televisión.,BACKGROUND
BACKGROUND,"[En esta parte no hay imagen, sólo audio.]",BACKGROUND
La señora,(?) tu celular nuevo.,DESCONOCIDO
El señor Álamo Pérez,No tiene línea todavía.,PEREZ
La señora,¿Y no tienes número?,DESCONOCIDO
El señor Álamo Pérez,"Sí, tengo número.",PEREZ
La señora,¿Qué número tienes?,DESCONOCIDO
El señor Álamo Pérez,877 (?).,PEREZ
BACKGROUND,[Corte en la grabación.],BACKGROUND
BACKGROUND,[Se observa a un joven en una sala del SIN probando los micrófonos.],BACKGROUND
Desconocido,5; 6; 7; 8; 9; 10. 1: 2; 3; 4; 5; 6; 7; 8. 1; 2; 3; 4; 5- ¿Cómo está? ¿Se escucha bien? Ya. [Se puede escuchar a lo lejos el siguiente diálogo.:],DESCONOCIDO
Desconocido,"(?) El Presidente de la República (?) días, noches, han dejado de lado las familias, sueños, este, eso es un poco lo que queríamos (?).",DESCONOCIDO
El señor Alberto Fujimori,Me preocupa la aparición de (?).,FUJIMORI
Desconocido,"Presidente, lo que quería decirle (?).",DESCONOCIDO
BACKGROUND,[Corte en la grabación.],BACKGROUND
BACKGROUND,"[Se observa al ex Presidente de la República, señor Alberto Fujimori Fujimori y el señor Vladimiro Montesinos Torres sentados en una sala del SIN.]",BACKGROUND
El señor Alberto Fujimori,... que incluso taparía cualquier otra noticia. ¿Estás seguro?,FUJIMORI
BACKGROUND,[Salto en la grabación.],BACKGROUND
El señor Alberto Fujimori,Ya.,FUJIMORI
El señor Alamo Pérez,Listo.,PEREZ
El señor Alberto Fujimori,"Podemos retroceder si es que, ¿no?",FUJIMORI
El señor Álamo Pérez,Sin ningún problema.,PEREZ
El señor Alberto Fujimori,"Ya, perfecto.",FUJIMORI
Desconocido,"Se puede volver, se puede (?).",DESCONOCIDO
El señor Álamo Pérez,"En todo caso cortamos y retomamos el punto inmediata mente anterior, y... ¿sí?",PEREZ
El señor Alberto Fujimori,"Ya, okay, vamos a ver.",FUJIMORI
El señor Álamo Pérez,Me avisas.,PEREZ
BACKGROUND,[Salto en la grabación.],BACKGROUND
El señor Alberto Fujimori,"Son 10 de la noche, ¿no? (?).",FUJIMORI
El señor Vladimiro Montesinos,10 y 30.,MONTESINOS
Desconocido,3; 2; 1.,DESCONOCIDO
El señor Alberto Fujimori,10 y 30.,FUJIMORI
El señor Álamo Pérez,"Buenas noches, señor Presidente, buenas noches señor Montesinos. Quería empezar esta entrevista agradeciéndole el gesto de habernos concedido esta entrevista en la que por primera vez aparece usted, señor Presidente, junto al señor Vladimiro Montesinos. Quiero agradecerle mucho esta entrevista, y preguntarle: ¿por qué es que usted ha aceptado conversar con nosotros de esta manera así?",PEREZ
El señor Alberto Fujimori,"Bueno, precisamente, fíjese usted. Estamos a 10 de la noche en el mismo lugar donde nos encontramos acá por primera vez después de palacio... Perdón. Ahora sí. Estoy, he estado (?).",FUJIMORI
El señor Vladimiro Montesinos,¿Ah?,MONTESINOS
BACKGROUND,[El señor Alberto Fujimori Fujimori bebe agua de un vaso.],BACKGROUND
El señor Alberto Fujimori,(?).,FUJIMORI
El señor Alamo Pérez,¿Puede sacar el papel que está atrás?,PEREZ
El señor Vladimiro Montesinos,"Sí, aquí está.",MONTESINOS
BACKGROUND,[Salto en la grabación.],BACKGROUND
El señor Alamo Pérez,Listo.,PEREZ
Desconocido,3; 2; 1.,DESCONOCIDO
El señor Alamo Pérez,"Buenas noches, señor Presidente. Buenas noches, doctor Montesinos. Quería antes que nada agradecerle esta deferencia con América Televisión y La Revista Dominical de permitirnos conversar con ustedes dos. Creo que es la primera vez que ustedes dos aparecen en televisión. Mi primera pregunta va precisamente por ese lado. ¿Por qué es que ustedes acep taron brindarnos esta entrevista, aquí, ustedes dos?",PEREZ
El señor Alberto Fujimori,"Bueno, precisamente hace dos años, exactamente aquí en este lugar, en las oficinas del Servicio de Inteligencia, empezamos a cranear lo que podía ser una operación de rescate de los rehenes; y el doctor Montesinos ha tenido una participación en ese sentido, desde un comienzo. Creo podría contar algunos de estos aspectos.",FUJIMORI
El señor Alamo Pérez,"Cómo no. Doctor Montesinos, ésta va a ser entonces -de manera oficial, si se quiere- la primera vez que usted aparece en televisión en una entrevista formal.",PEREZ
El señor Vladimiro Montesinos,"Bueno, gracias a la gentileza que ha tenido el señor Presidente de permitirme estar con él. Tengo mucho gusto de poder conversar con usted, y encantado en esta fecha de tan singular importancia para el país y fundamentalmente para el señor Presidente de la República que tuvo la decisión y el coraje de afrontar la gran responsabilidad de Legar a una solución feliz deseada por todos quienes trabajamos a su lado.",MONTESINOS
El señor Alamo Pérez,"¿Por qué entonces se escogió este lugar? Este ambiente es una oficina, como se puede ver, en la que entonces se empezó a tomar esta decisión, me imagino la noche del 17 de diciembre de 1996. ¿Estoy equivocado?",PEREZ
El señor Alberto Fujimori,"Sí. Bueno, lo primero que tuvimos que hacer es recopilar informaciones; y éstas llegaban por diversos canales, le llegaba directamente a inteligencia porque habían muchos militares y funcionarios que tenían los teléfonos directos acá. Y a partir de ello comenzamos a elaborar un plan. La primera idea que surge, entonces, es evitar que ocurra alguna desgracia, y estabilizar la situación. Y en base a esos contactos, entonces se dan ciertas directivas.",FUJIMORI
El señor Álamo Pérez,"Muchas veces se ha hablado ya acerca de que existían en realidad dos planes; o en todo caso un solo plan con dos vías, una vía pacífica y una vía militar. Me imagino que desde el primer día se tuvo en consideración esa posibilidad, es decir, de tomar alguna de las dos alternativas.",PEREZ
El señor Alberto Fujimori,"Las dos, porque de todas maneras si se hacía la de..., había la necesidad de tomar la vía militar, había que estar muy seguros que fuera totalmente exitosa; y para eso se requiere tiempo. Pero, prioridad tenía la vía pacífica, de eso no hay duda.",FUJIMORI
El señor Alamo Pérez,"Por supuesto. Pero parte de esta prioridad de la vía pací fica como prioridad, me imagino que había que tomar absolutamente todas las pre cauciones para llegar a una salida militar. No sé si estoy equivocado. En ese punto, el doctor Vladimiro Montesinos jugó, me imagino, un papel importante.",PEREZ
El señor Alberto Fujimori,La prioridad pacífica estaba condicionada a no acep tar ningún chantaje de parte de los del MRTA.,FUJIMORI
El señor Álamo Perez,"Uhm, uhm. Inmediatamente después de estabilizar la situación comenzamos a buscar alternativas de carácter militar. Pero para la vía pacífica, inteligencia es fundamental.",PEREZ
El señor Álamo Pérez,Sí.,PEREZ
El señor Alberto Fujimori,¿Por qué es fundamental? Porque había que conocer la posición de ellos.,FUJIMORI
El señor Álamo Pérez,Claro.,PEREZ
El señor Alberto Fujimori,Y entonces en base a eso tomar decisiones.,FUJIMORI
El señor Álamo Pérez,"Es decir, que el trabajo de inteligencia no se circunscribía al terreno militar, de ninguna manera.",PEREZ
El señor Alberto Fujimori,"Ah, no, por supuesto que no. Si lo que... Como yo le digo, la prioridad era la salida pacífica.",FUJIMORI
El señor Álamo Pérez,"¿Usted nos podría comentar, doctor Montesinos, de reoente, yo sé que con las reservas del caso, y evidentemente evitando algunos te mas que conciernen directamente a su trabajo? Básicamente ¿cómo es que uste des procesaban esta información?, ¿cómo es que ustedes recibían, recogían la in formación, y posteriormente la evaluaban y la discutían, me imagino con el Presidente Fujimori?",PEREZ
