speaker,speech,speaker_std
BACKGROUND,"﻿Reunión de Víctor Joy Way, Ernesto Schütz y Vladimiro Montesinos. (sin fecha).Este famoso video registra la escena en que VMT soborna a Ernesto Schütz. Este video no estaba junto a los demás y, pasados los meses,ya estando en prisión, Ro berto Huamán lo entregó a las autoridades.",BACKGROUND
BACKGROUND,"[Se observa, que el señor Schütz está en la sala de espera leyendo unos documentos.]",BACKGROUND
BACKGROUND,[Una persona ingresa a la sala y le hace entrega de un diario.],BACKGROUND
Desconocido,(?).,DESCONOCIDO
El señor Ernesto Schütz,Gracias.,SCHüTZ
Desconocido,(?).,DESCONOCIDO
El señor Ernesto Schütz,"No, me estoy poniendo al día, muchas gracias.",SCHüTZ
Desconocido,(?).,DESCONOCIDO
El señor Ernesto Schütz,"Ya, gracias.",SCHüTZ
Desconocido,Permiso.,DESCONOCIDO
El señor Ernesto Schütz,Ya sabe que estoy acá.,SCHüTZ
Desconocido,"Sí, sí, ya le comuniqué.",DESCONOCIDO
El señor Ernesto Schütz,Estamos esperando a...,SCHüTZ
Desconocido,"Sí, sí, llamó (?).",DESCONOCIDO
El señor Ernesto Schütz,Ya viene.,SCHüTZ
Desconocido,"Sí, sí, sí, llamó.",DESCONOCIDO
El señor Ernesto Schütz,(?).,SCHüTZ
Desconocido,"Claro, bien, permiso.",DESCONOCIDO
BACKGROUND,[Ingresa un mozo con un vaso de jugo para el señor Schütz.],BACKGROUND
El Mozo,"Permiso, buenas.",DESCONOCIDO
El señor Ernesto Schütz,Buenas.,SCHüTZ
El Mozo,(?).,DESCONOCIDO
BACKGROUND,[En ese lapso cruzan personas por la puerta.],BACKGROUND
BACKGROUND,"[Después de una espera de aproximadamente 22 minutos ingresa el señor Víctor Joy Way Ro jas portando un maletín, acompañado de un oficial que se retira.]",BACKGROUND
El señor Víctor Joy Way,¡Maestro!,JOY WAY
El señor Ernesto Schütz,"Hola, ¿cómo estás? (?) el hombre tampoco, ah.",SCHüTZ
El señor Víctor Joy Way,(?) Tenemos que hacerlo de 6 a 7. (?).,JOY WAY
El señor Ernesto Schütz,"Sí, pues.",SCHüTZ
El señor Víctor Joy Way,"¿Ya le avisaron, no?",JOY WAY
El señor Ernesto Schütz,"Yo me supongo, yo estoy, llegué un poquito antes, oye.",SCHüTZ
BACKGROUND,[El señor Joy Way Rojas sale de la sala y regresa inmediatamente.],BACKGROUND
El señor Ernesto Schütz,"Oye, ahora, tú sabes que (?).",SCHüTZ
El señor Víctor Joy Way,"(?) congelado (?) un poquito, ¿no?",JOY WAY
BACKGROUND,[El señor Joy Way Rojas recibe una llamada telefónica en el celular.],BACKGROUND
El señor Víctor Joy Way,"Aló, ¿de qué? Nada, ya no ya, estoy cambiado.",JOY WAY
El señor Interlocutor,(?).,LOCUTOR
El señor Víctor Joy Way,"Vivo de mis rentas. Nada, nada, nada. Me has mecido, me has mecido, me has mecido. Claro pues, así es. Me has mecido, pareces de la oposición, pues. ¿Por qué? No, no, no. Nunca, no, no, no, de ninguna manera. Tú has estado con (?).",JOY WAY
El señor Interlocutor,(?).,LOCUTOR
El señor Víctor Joy Way,"Ya, yo me acordé, pues, fue su cumpleaños. Sí, pues.",JOY WAY
El señor Interlocutor,(?).,LOCUTOR
El señor Víctor Joy Way,Estábamos cinco años ahí.,JOY WAY
El señor Interlocutor,(?).,LOCUTOR
El señor Víctor Joy Way,¿De allá de la Costa Verde?,JOY WAY
BACKGROUND,"[Hace su ingreso el señor Vladimiro Montesinos, saluda al señor Schütz y le entrega un sobre manila; el señor Schütz le entrega aparentemente un libro y luego una bolsa con dos regalos, aparentemente, que pone sobre la mesa.]",BACKGROUND
BACKGROUND,"[En ese instante se inicia un diálogo entre el señor Schütz y el señor Montesinos, que es ininteligible.]",BACKGROUND
El señor Víctor Joy Way,Fue memorable.,JOY WAY
El señor Interlocutor,(?).,LOCUTOR
El señor Víctor Joy Way,"¿A qué hora vas a salir? Puede haber algo entonces, ¿no? Tengo cita en... que tal… Ya. Ah, ya, ya. Yo te llamo porque tengo una reunión con el señor Schütz.",JOY WAY
BACKGROUND,[finaliza la conversación telefónica],BACKGROUND
El señor Ernesto Schütz,"Oye, el hecho de (?) tampoco se hizo la venta, hemos postergado una sólida (?). Estoy seguro que (?) persona. Mira, voy a explicarte, hermano. Esta carta tiene un montón de cosas que te quiero explicar rápidamente. Esta es la carta que yo te mande",SCHüTZ
