speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 974 (Este vídeo es continuación del  Vídeo N.° 975) “CONDECORACIÓN AL DR. VLADIMIRO MONTESINOS TORRES POR LA FUERZA AÉREA DEL PERÚ” DEL 24 DE JULIO DE 1998 —Se ve saliendo al doctor Vladimiro Montesinos Torres de la sala donde se ha llevado a cabo la ceremonia de condecoración, a su lado izquierdo lo acompaña el general FAP Elesván Bello Vásquez y a su lado derecho lo acompaña otro general FAP. Luego detrás de ellos un buen número de personas (algunos con cámaras de video) y también sale el general EP Julio Salazar Monroe.
El señor MONTESINOS TORRES.—	 Tiene su chispa. (Risas.) 
El general FAP.—	 Uy, cuando nos ponemos en un contrapunteo (risas) más o menos...
El general FAP BELLO VÁSQUEZ.—	 Se sonríe de la ocurrencia del general FAP.
Background	—Luego llegan a la salida y se despiden.
El señor MONTESINOS TORRES.—	 Muchas gracias general.
El general FAP BELLO VÁSQUEZ.—	 De nada doctor, gracias a usted.
El señor MONTESINOS TORRES.—	 Mi general, muchas gracias. 
El general FAP.—	 Felicidades, hasta luego, felicitaciones.
Background	—Se retira el doctor Vladimiro Montesinos Torres en un cherokee de color negro y el general FAP Elesván Bello Vásquez con el otro general FAP, reingresan al local institucional. —Minutos después ambos generales FAP, hacen lo mismo y despiden al general EP Julio Salazar Monroe y a su edecán, quienes ingresan a un carro azul. —Luego se visualizan varias fotos: 1.- Se ve al doctor Vladimiro Montesinos Torres, esperando que lo condecoren. 2.- La condecoración al doctor Vladimiro Montesinos Torres, impuesta por el general FAP Elesván Bello Vásquez. 3.- El doctor Vladimiro Montesinos Torres, regresando a su ubicación correspondiente. 4.- El general FAP Elesván Bello Vásquez, dando su discurso a los concurrentes. 5 y 6.- El doctor Vladimiro Montesinos Torres, con toda la Plana Mayor de la FAP. 7.- El doctor Vladimiro Montesinos Torres, agradeciendo la condecoración otorgada. 8.- El general FAP Elesván Bello Vásquez junto al doctor Vladimiro Montesinos Torres. —Fin del vídeo N.° 974. —Transcripción: miércoles 13 de Junio de 2001.
