sentence_id,label_0,label_0_prob,label_1,label_1_prob,label_2,label_2_prob
1.0,None of Them,0.978211,Enthusiasm,0.0056791008,Hope,0.0048978482
1.1,None of Them,0.97907835,Enthusiasm,0.005440862,Hope,0.0036520467
1.2,None of Them,0.9809286,Anger,0.0036736494,Joy,0.0030355137
1.3,None of Them,0.4952569,Anger,0.40408385,Sadness,0.07159843
10.0,None of Them,0.83607864,Pride,0.10448442,Joy,0.019824747
100.0,None of Them,0.9491385,Anger,0.031976487,Enthusiasm,0.0046640527
100.1,None of Them,0.6374152,Anger,0.31878158,Sadness,0.011281183
100.2,None of Them,0.6401147,Anger,0.29952422,Sadness,0.02198647
1000.0,Anger,0.8080601,None of Them,0.12430424,Sadness,0.04224073
10000.6,None of Them,0.47035825,Anger,0.43616718,Sadness,0.038689975
10000.5,None of Them,0.94757056,Anger,0.01727901,Enthusiasm,0.013249598
10000.4,None of Them,0.90182513,Anger,0.057018332,Hope,0.012371121
10000.7,None of Them,0.8678318,Hope,0.03921803,Joy,0.03432724
10000.2,None of Them,0.57318985,Pride,0.12980284,Anger,0.08600523
10000.1,None of Them,0.9619511,Pride,0.008876059,Anger,0.0073775323
10000.0,None of Them,0.8712123,Sadness,0.038042516,Anger,0.02609566
10000.3,None of Them,0.7991799,Pride,0.059148766,Joy,0.040738594
10001.0,None of Them,0.86374307,Anger,0.06183275,Joy,0.02585847
10002.12,None of Them,0.8693889,Anger,0.04977479,Joy,0.023111537
10002.11,None of Them,0.6347007,Joy,0.132728,Pride,0.088705614
10002.10,None of Them,0.7175834,Anger,0.14721654,Hope,0.04556105
10002.9,Joy,0.3755585,Hope,0.3462606,None of Them,0.12640244
10002.8,None of Them,0.73337686,Anger,0.15738733,Hope,0.030752195
10002.7,None of Them,0.91054887,Anger,0.028265262,Hope,0.019275675
10002.5,None of Them,0.8438505,Enthusiasm,0.06855132,Hope,0.04769273
10002.4,None of Them,0.85131717,Joy,0.08329993,Enthusiasm,0.021269213
10002.3,None of Them,0.44834182,Joy,0.38350764,Pride,0.07120777
10002.2,None of Them,0.47331145,Fear,0.2296105,Hope,0.1253974
10002.1,None of Them,0.67958915,Anger,0.1590666,Joy,0.047815148
10002.0,None of Them,0.49418956,Anger,0.32871234,Joy,0.051312093
10002.6,None of Them,0.37488496,Enthusiasm,0.22748648,Pride,0.13282631
10003.1,None of Them,0.93798417,Anger,0.03667867,Enthusiasm,0.005473005
10003.0,Anger,0.70007384,None of Them,0.19786611,Sadness,0.058150295
10004.2,None of Them,0.8099742,Anger,0.12048014,Sadness,0.022862904
10004.0,Joy,0.49377945,None of Them,0.3827711,Hope,0.04819607
10004.1,Anger,0.7470041,None of Them,0.17318581,Sadness,0.046344038
10005.0,None of Them,0.38147995,Hope,0.34598562,Enthusiasm,0.2222167
10006.0,Anger,0.6577359,None of Them,0.26642427,Sadness,0.049845986
10007.0,None of Them,0.88050556,Joy,0.044543784,Anger,0.025822153
10008.4,Anger,0.8107651,None of Them,0.06913239,Disgust,0.06131192
10008.0,Anger,0.7612559,None of Them,0.106914856,Sadness,0.081990235
10008.1,Hope,0.32070068,None of Them,0.316277,Enthusiasm,0.195697
10008.2,Enthusiasm,0.69303864,Hope,0.23641597,None of Them,0.036427557
10008.3,Enthusiasm,0.4093017,Hope,0.40543258,None of Them,0.12768473
10009.0,None of Them,0.94016844,Enthusiasm,0.017219933,Pride,0.011168525
1001.0,None of Them,0.8322268,Joy,0.03967282,Enthusiasm,0.039226554
1001.1,None of Them,0.5820691,Anger,0.17201333,Hope,0.122093506
1001.2,None of Them,0.871242,Anger,0.061178606,Fear,0.02195064
1001.3,None of Them,0.42689374,Anger,0.40916184,Hope,0.07290337
10010.1,Anger,0.8107651,None of Them,0.06913239,Disgust,0.06131192
10010.4,None of Them,0.9378018,Enthusiasm,0.015866948,Joy,0.01499046
10010.3,Anger,0.6033809,None of Them,0.18028669,Sadness,0.17851743
10010.0,Enthusiasm,0.52821887,Anger,0.18355574,Hope,0.16342826
10010.2,None of Them,0.45580253,Fear,0.23427737,Anger,0.18523225
10011.0,None of Them,0.62673324,Anger,0.1972824,Enthusiasm,0.07220651
10011.1,None of Them,0.95332164,Anger,0.019363303,Enthusiasm,0.006670403
10011.2,None of Them,0.9254703,Anger,0.03880968,Sadness,0.008849109
10011.3,None of Them,0.86783653,Anger,0.06674111,Hope,0.019494055
10011.4,None of Them,0.9148055,Pride,0.024343466,Joy,0.020300869
10011.5,Sadness,0.60496545,None of Them,0.19933449,Anger,0.16100481
10012.0,Fear,0.59508026,Anger,0.18039325,None of Them,0.113532856
10012.1,None of Them,0.5515211,Anger,0.16614386,Enthusiasm,0.100136094
10013.0,None of Them,0.7766051,Enthusiasm,0.05663406,Joy,0.046239067
10014.6,None of Them,0.65453404,Anger,0.16112381,Enthusiasm,0.05782807
10014.5,Anger,0.8123481,None of Them,0.13186525,Sadness,0.023110943
10014.7,Anger,0.82329535,None of Them,0.13229106,Sadness,0.023659302
10014.4,Anger,0.6387931,Sadness,0.25422204,None of Them,0.055468865
10014.0,Anger,0.68832934,None of Them,0.24660893,Sadness,0.029717457
10014.2,None of Them,0.6544705,Anger,0.27103174,Hope,0.019594036
10014.1,None of Them,0.76689476,Hope,0.07997898,Anger,0.044418763
10014.3,Anger,0.6684094,None of Them,0.27435124,Sadness,0.023052832
10015.0,None of Them,0.86938995,Pride,0.04035884,Joy,0.030406935
10015.1,None of Them,0.78054404,Anger,0.10987245,Pride,0.03666822
10016.0,None of Them,0.3206057,Pride,0.21877871,Joy,0.19397639
10017.0,None of Them,0.74848545,Anger,0.17976213,Sadness,0.020590669
10018.0,Anger,0.63612056,None of Them,0.2789015,Sadness,0.035114117
10018.1,None of Them,0.68565387,Anger,0.1906151,Hope,0.029354716
10018.2,None of Them,0.8882117,Anger,0.06409476,Hope,0.0120203225
10019.0,None of Them,0.8931395,Enthusiasm,0.04158619,Hope,0.020939406
1002.0,None of Them,0.7790407,Anger,0.09226886,Enthusiasm,0.051767644
10020.4,Anger,0.79461324,None of Them,0.15515055,Sadness,0.025420846
10020.2,None of Them,0.9065684,Anger,0.036698356,Hope,0.024914619
10020.3,None of Them,0.50472367,Anger,0.32029402,Sadness,0.08698901
10020.0,None of Them,0.61744136,Anger,0.25314945,Hope,0.056781016
10020.1,None of Them,0.36383364,Anger,0.2662203,Fear,0.20374824
10021.0,None of Them,0.9498826,Hope,0.010802313,Anger,0.0097112525
10022.0,Anger,0.82048553,None of Them,0.10316282,Sadness,0.030170342
10022.1,Anger,0.83771366,None of Them,0.09534114,Disgust,0.0324533
10023.0,Anger,0.6565494,None of Them,0.2327952,Sadness,0.06208739
10024.2,None of Them,0.8120247,Anger,0.11703282,Enthusiasm,0.023359857
10024.0,Anger,0.8111324,None of Them,0.09365665,Sadness,0.05583698
10024.1,None of Them,0.77153665,Enthusiasm,0.12734966,Hope,0.054113038
10025.0,None of Them,0.8931395,Enthusiasm,0.04158619,Hope,0.020939406
10026.0,None of Them,0.6403921,Anger,0.17062052,Pride,0.07110596
10027.0,None of Them,0.8686548,Enthusiasm,0.06543766,Hope,0.045917295
10028.0,Enthusiasm,0.48213422,Hope,0.38798326,None of Them,0.092295796
10029.8,None of Them,0.5953289,Anger,0.32442576,Sadness,0.029088777
10029.6,Hope,0.42641604,None of Them,0.35159543,Enthusiasm,0.15802988
10029.7,Anger,0.48464966,None of Them,0.40536496,Enthusiasm,0.04359304
10029.5,Joy,0.5439522,None of Them,0.3635163,Hope,0.03225845
10029.1,Anger,0.7405016,None of Them,0.18081382,Sadness,0.035152577
10029.3,None of Them,0.96559364,Enthusiasm,0.006983835,Pride,0.0066845715
10029.2,None of Them,0.8507761,Anger,0.085540816,Sadness,0.020656142
10029.0,None of Them,0.53261006,Anger,0.32836628,Hope,0.033387244
10029.4,None of Them,0.9168152,Anger,0.03489422,Hope,0.014927973
1003.0,Anger,0.35692227,None of Them,0.2693525,Enthusiasm,0.12355568
10030.0,None of Them,0.5797923,Enthusiasm,0.13698858,Pride,0.12515004
10031.0,Hope,0.42050037,None of Them,0.33568075,Enthusiasm,0.099163406
10032.0,Enthusiasm,0.42274463,None of Them,0.26478055,Hope,0.208915
10032.1,Anger,0.7593902,None of Them,0.17643292,Sadness,0.035715498
10033.0,Anger,0.8080601,None of Them,0.12430424,Sadness,0.04224073
10033.1,Anger,0.74061203,None of Them,0.17901036,Sadness,0.0342224
10034.0,None of Them,0.5042815,Enthusiasm,0.2383149,Hope,0.22952189
10035.0,None of Them,0.51534164,Anger,0.4232589,Fear,0.017277336
10036.1,Anger,0.79703736,None of Them,0.13137552,Sadness,0.04648869
10036.0,Anger,0.5411769,None of Them,0.37712246,Fear,0.025543459
10037.0,None of Them,0.48793274,Hope,0.24145485,Enthusiasm,0.21815315
10037.1,Anger,0.8831043,None of Them,0.060175143,Disgust,0.018518105
10038.0,Anger,0.87434214,None of Them,0.058289975,Disgust,0.041289564
