speaker,speech,speaker_std,source_file
"El señor KOURI BUMACHAR, Alexander.—","Si nosotros logramos que algún parlamentario no tenga nada que; o sea, ni ningún tipo de presencia o ningún futuro que arriesgar, para ser más claros, de la mayoría, que plantee un proyecto de ley en el cual establece un fondo de contingencia frente al fenómeno de El Niño ¿me comprende?, en el cual establece de manera puntual que los recursos del canon aduanero estarán orientados a este fondo ¿me comprende? ¿Esto qué significa en la práctica? Que nos han quitado al Callao 140 millones de soles ¿correcto?",KOURI,10.tsv
El señor KOURI BUMACHAR.—,Esto me significa 4 millones de soles.,KOURI,10.tsv
El señor MONTESINOS TORRES.—,4 millones de soles.,MONTESINOS,10.tsv
El señor KOURI BUMACHAR.—,"Y le voy explicar de dónde sale ese dinero sin ningún problema. Hay cinco entidades del Estado que a mí o a la municipalidad le deben un monto cercano a los 11 millones y medio de soles, que le comenté la vez pasada, pero que es por otro concepto diferente, pero por arbitrios y demás, aquí tengo los documentos sustentatorios, los hemos acotado por un monto más o menos de 5 millones de soles. Enapu ha reclamado porque dice que los muelles no es parte de la infraestructura de ellos, sino que el muelle está sobre el mar y el mar no es territorio (ininteligible).",KOURI,10.tsv
El señor KOURI BUMACHAR.—,"No tengo la menor duda, entiendo, según la información que he recibido, que Enapu tiene un ingreso diario cercano a los 15 millones de soles. Tiene gastos muy fuertes también.",KOURI,10.tsv
El señor KOURI BUMACHAR.—,"Me apoyes con 4 millones de soles y liquidamos el tema con una transacción con Enapu por ese concepto de arbitrios, pero sí vamos a decir no, que hay un problema legal, no que hay una solución por resolver, no que hay un tema jurídico. Yo tengo un problema que afrontar en tres días ¿me comprende?",KOURI,10.tsv
El señor MONTESINOS TORRES.—,"No, Jaililie (ininteligible). El señor KOURI BUMACHAR, Alexander. Definitivamente tengo otro asunto con ETRAMSA por 3 millones de soles. Entiendo que el Primer vicepresidente mañana se reúne con el Ministro de la Presidencia.",MONTESINOS,10.tsv
El señor MONTESINOS TORRES.—,"O sea, usted tiene un pago urgente de 4 millones de soles este fin de semana.",MONTESINOS,10.tsv
El señor ALMIRANTE COLUNGE.—,Yo dejé en caja 40 millones. El señor MONTESINOS TORRES .— ¿De soles o dólares?,SERPA,10.tsv
El señor ALMIRANTE COLUNGE.—,"Soles. El señor MONTESINOS TORRES .— Ah, o sea que están (Inintelegible).",SERPA,10.tsv
El señor MONTESINOS TORRES.—,"Claro, quiero ver, quiero yo saber o por lo menos hagan un adelanto o una cuenta de esa deuda. La deuda está confiscada en 5 millones 620 mil soles.",MONTESINOS,10.tsv
El señor MONTESINOS TORRES.—,"Ahora, yo tengo la información de que en caja tienen 40 millones de soles, o sea, tienen liquidez.",MONTESINOS,10.tsv
BACKGROUND,"﻿Reunión desconocido y Vladimiro Montesinos. (sin fecha). En esta reunión con mucha crudeza confiesan la falsificación de firmas lamen tándose que por 400 soles se haya frustrado un proceso en el que habían invertido cantidades tan elevadas. Luego se referen a movimientos de dinero efectua dos a través del Banco Wiesey del Pacific, estableciendo la realización exitosa de diversas operaciones de lavado. VMTformula planes de contingencia para alquilar departamentos donde depositar dinero para ser usado en caso de necesidad. Luego, elaboran planes a ser ejecutados cuando Carlos Boloña gobierne. Finalmente, revisan la situación del APRAy VMT informa que ha sobornado a Agustín Mantilla, aunque mantienen desconfianza en Alan Carcía.",BACKGROUND,102.csv
Desconocido,"Una situación (?) para que no pase como en la votación, que por 400 soles hemos perdido toda una millonada que hemos invertido.",DESCONOCIDO,102.csv
Desconocido,"Creo que hemos tenido un bajón. (?) por 400 soles nos han jodido, pero yo creo que salimos adelante, hay que aprovechar los errores y...",DESCONOCIDO,102.csv
Desconocido,"Primero el precio era de $19 dólares, hay que pagar una (?).",DESCONOCIDO,104.csv
El señor MONTESINOS TORRES.—,"Pero  yo le estoy diciendo que le podría enseñar, usted sabe cuál es el sueldo, son mil soles o sea no son ni 300 dólares, ese es su sueldo,  usted cree que con ese sueldo podría vivir con mil soles (?) mil soles, con boleta de pago por mil soles, así es, mil soles son 300 dólares (?) obviamente no me voy a dedicar a robar, acá no hay plata para robar y no tienes estilo; además, yo he vivido de mis conocimientos y de mi trabajo de asesoría, lo que hace Camet, ¿cuánto gana un ministro?, un ministro gana ...",MONTESINOS,11.tsv
El señor MONTESINOS TORRES.—,"Claro. Pero no tiene ni la menor idea del aparato que él tiene para poder solucionar el tema del (ininteligible) con la municipalidad. Él debería agarrar y dejar su sillón de Pizarro y ponerse en la (ininteligible) en su oficina en la alcaldía. Si eso hace le ganaría puntos porque (ininteligible). Ahora, vamos al tema, esa es la parte conceptual macro como se llama. La decisión está dada. Estamos trabajando en ese marco jurídico, debe estar a fines de la Semana Santa de manera tal que los primeros días nos podemos reunir y yo les explico el marco jurídico y lo enriquecemos con la experiencia de cada uno de ustedes y ya está listo para su práctica y lanzarse. Ahora viene el tema de cómo debe regularizarse el aparato policial. (ininteligible). Estaba un poco en la luna por eso el General Dianderas. En Lima tenemos 160 comisarías, 160 comisarías, y tenemos 50 mil efectivos. La Dinincri que es la unidad que tiene que ver con el crimen organizado solamente tiene mil efectivos; entonces, vale decir que si ahorita este es el problema número uno estamos cometiendo el mismo error del APRA, tenemos mil hombres para el problema que está agobiando a los empresarios, que está creando un clima de zozobra, que nos está dando mala imagen afuera y la inversión de repente no va a venir por el temor a la inseguridad y nos van a convertir en un país inelegible. Entonces, tenemos que redefinir eso y que estos 50 mil caballeritos pasen a apoyar esto, y para hacer eso entonces tiene que funcionar estas 160 comisarías. ¿Y yo qué he hecho en el esquema,? En cada comisaría les hemos instalado una computadora en red; o sea, hay 160 computadoras en las comisarías y las 160 están instaladas con la base de datos de la Dinincri. O sea, vale decir que en la comisaría de Villa El Salvador hay un hombre que maneja la computadora y hay un elemento que diariamente todo lo que sucede en el área lo mete en su base de datos y por el fax moden me lo pasa a la base de datos central de acá de la Dinincri. ¿Y acá en la Dinincri tengo yo qué cosa? La base de datos (14) de Lima, ¿enriquecida por quién?, por el trabajo de los 50 mil efectivos. O sea todos los días el guardia que entra en la mañana a las 8 de la mañana, tiene que presentarse al jefe, ¿y qué información me traes, compadre?, yo no he salido; ah, no sirves, pun 4 días, si es buena 50 soles, si es muy buena un premio y un viaje al extranjero, entonces vamos haciendo los incentivos, si me desarticulan una banda, se van de adjunto al agregado a Colombia o acá o allá. Entonces estamos incentivando. Ya hemos hecho la reunión con los 160 comandantes jefes de las comisarías, con los 160, y 260 me han nombrado 160 hombres de inteligencia, que son los que me van a trabajar la computadora y que todos los días ese hombre tiene que recabar a cada uno de los policías, o sea los 50 mil se convierten en 50 mil informantes, de esos 50 mil informantes me tienen que reclutar a colaboradores en la calle o los consiguientes que hay en la policía, entonces esa información se paga, entonces el hombre de la comisaría dice: oye tengo una información, ¿es valiosa o no?; ¿a  ver cuanto cuesta?; cuesta tanto; y el tipo va y te pago.",MONTESINOS,16.tsv
