Speaker	Total Word Count	Proportion of Word Count
MONTESINOS	304558	53.85%
MONTES DE OCA	5480	0.97%
VILLANUEVA RUESTA	5060	0.89%
BELLO VAZQUEZ	1531	0.27%
IBARCENA	1174	0.21%
CALMELL	10508	1.86%
DESCONOCIDO	8208	1.45%
HERNANDEZ CANELO	8788	1.55%
SAUCHEDO SANCHEZ	4126	0.73%
FUJIMORI	3374	0.60%
MONROE	820	0.14%
DIANDERAS	79	0.01%
ARCE	12231	2.16%
HERMOZA RIOS	457	0.08%
ESPICHAN	264	0.05%
PANDO	301	0.05%
VERA	4026	0.71%
SERPA	14058	2.49%
VALLE RIESTRA	7189	1.27%
LOCUTOR	524	0.09%
BERGAMINO	1904	0.34%
ISRAEL	1091	0.19%
MILITAR DESCONOCIDO	3021	0.53%
SANTANDER	4880	0.86%
DELGADO PARKER	17714	3.13%
BOROBIO	20248	3.58%
BEDOYA	4334	0.77%
REATEGUI	1248	0.22%
KOURI	24713	4.37%
GUZMAN	374	0.07%
RUIZ	217	0.04%
HUAMAN	387	0.07%
VENERO	1159	0.20%
GAMARRA	1642	0.29%
TAFUR	12	0.00%
EMBAJADORA	306	0.05%
CROUSILLAT	11256	1.99%
HURTADO MILLER	23024	4.07%
IBERICO	14	0.00%
TRELLES	1183	0.21%
MAHUAD	105	0.02%
DELLEPIANE	357	0.06%
LUCCHETTI	4479	0.79%
BELTRAN	541	0.10%
CUCULIZA	8555	1.51%
JOY WAY	4858	0.86%
NORIEGA	1279	0.23%
FERRERO	10987	1.94%
DAVILA	1377	0.24%
SALGADO	1929	0.34%
SCHUTZ	4762	0.84%
MELLADO	445	0.08%
MEDELIUS	2402	0.42%
CAMPOS	927	0.16%
ROMERO SEMINARIO	4351	0.77%
CRNL RAMIREZ	135	0.02%
VELIT	175	0.03%
CASTILLO	541	0.10%
LOZADA	221	0.04%
MARCENARO	76	0.01%
QUISPE	13	0.00%
BLANCO	21	0.00%
AMOIN	32	0.01%
BRINGAS	2	0.00%
BERTINI	5549	0.98%
