Speaker	Total Word Count	Proportion of Word Count
KOURI	24713	9.47%
HURTADO MILLER	23024	8.82%
BOROBIO	20248	7.76%
DELGADO PARKER	17714	6.79%
SERPA	14058	5.39%
ARCE	12231	4.69%
CROUSILLAT	11256	4.31%
FERRERO	10987	4.21%
CALMELL	10508	4.03%
HERNANDEZ CANELO	8788	3.37%
CUCULIZA	8555	3.28%
DESCONOCIDO	8208	3.14%
VALLE RIESTRA	7189	2.75%
BERTINI	5549	2.13%
MONTES DE OCA	5480	2.10%
VILLANUEVA RUESTA	5060	1.94%
SANTANDER	4880	1.87%
JOY WAY	4858	1.86%
SCHUTZ	4762	1.82%
LUCCHETTI	4479	1.72%
ROMERO SEMINARIO	4351	1.67%
BEDOYA	4334	1.66%
SAUCHEDO SANCHEZ	4126	1.58%
VERA	4026	1.54%
FUJIMORI	3374	1.29%
MILITAR DESCONOCIDO	3021	1.16%
MEDELIUS	2402	0.92%
SALGADO	1929	0.74%
BERGAMINO	1904	0.73%
GAMARRA	1642	0.63%
BELLO VAZQUEZ	1531	0.59%
DAVILA	1377	0.53%
NORIEGA	1279	0.49%
REATEGUI	1248	0.48%
TRELLES	1183	0.45%
IBARCENA	1174	0.45%
VENERO	1159	0.44%
ISRAEL	1091	0.42%
CAMPOS	927	0.36%
MONROE	820	0.31%
CASTILLO	541	0.21%
BELTRAN	541	0.21%
LOCUTOR	524	0.20%
HERMOZA RIOS	457	0.18%
MELLADO	445	0.17%
HUAMAN	387	0.15%
GUZMAN	374	0.14%
DELLEPIANE	357	0.14%
EMBAJADORA	306	0.12%
PANDO	301	0.12%
ESPICHAN	264	0.10%
LOZADA	221	0.08%
RUIZ	217	0.08%
VELIT	175	0.07%
CRNL RAMIREZ	135	0.05%
MAHUAD	105	0.04%
DIANDERAS	79	0.03%
MARCENARO	76	0.03%
AMOIN	32	0.01%
BLANCO	21	0.01%
IBERICO	14	0.01%
QUISPE	13	0.00%
TAFUR	12	0.00%
BRINGAS	2	0.00%
